unit_abilities_tables
14
key	supercedes_ability	requires_effect_enabling	icon-name	overpower_option	type	video	uniqueness	is_unit_upgrade	is_hidden_in_ui	source_type
wh_main_unit_passive_bloodknight_regeneration		False	wh_main_lord_passive_the_hunger		wh_type_augment		wh_main_anc_group_uncommon	False	False	unit
wh_main_unit_passive_grailknight_regeneration		False	wh_main_lord_passive_the_ladys_champion		wh_type_augment		wh_main_anc_group_uncommon	False	False	unit
wh_main_unit_passive_stormrage		False	wh_main_lord_abilities_lord_of_the_storm		wh_type_augment		wh_main_anc_group_rare	False	False	unit
wh_main_unit_passive_trollflesh		False	wh_main_spell_big_waaagh_fists_of_gork		wh_type_augment		wh_main_anc_group_uncommon	False	False	unit
unit_ability_leadership_boost_aura		False	unit_ability_leadership_boost_aura		wh_type_area_of_augments		wh_main_anc_group_uncommon	False	False	unit
vmp_black_grail_regeneration		False	wh_main_hero_passive_aura_of_the_lady		wh_type_augment		wh_main_anc_group_uncommon	False	False	unit
vmp_unit_terrorgheist_shreik		False	wh_dlc05_spell_shadow_pit_of_shades		wh_type_area_of_hexes		wh_main_anc_group_rare	False	False	spell
we_spell_passive_shadow_dancers_mana_regen		False	wh_main_character_abilities_arcane_conduit		wh_type_augment		wh_main_anc_group_uncommon	False	False	unit
we_spell_shadow_dancers_withering		False	wh_dlc05_spell_shadow_the_withering		wh_type_area_of_hexes		wh_main_anc_group_uncommon	False	False	spell
bst_tzaangor_magic_aura		False	wh_dlc03_unit_passive_soul_eater		wh_type_area_of_hexes		wh_main_anc_group_common	False	False	unit
unit_ability_dwf_engineers_aura		False	wh_main_hero_abilities_ballistics_calibration		wh_type_augment		wh_main_anc_group_uncommon	False	False	unit
unit_ability_dwf_shieldbearer_aura		False	wh_main_rune_abilities_rune_of_stoicism		wh_type_area_of_augments		wh_main_anc_group_uncommon	False	False	unit
unit_ability_grn_black_orc_bellow_aura		False	wh_main_character_abilities_waaagh		wh_type_area_of_augments		wh_main_anc_group_uncommon	False	False	unit
wh_main_lord_passive_dorghar		False	wh_main_unit_abilities_killing_blow		wh_type_augment		wh_main_anc_group_rare	False	False	lord
wh_main_lord_passive_kemmler		False	wh_dlc05_spell_shadow_melkoths_mystifying_miasma		wh_type_area_of_hexes		wh_main_anc_group_rare	False	False	lord
wh_main_impetuous		False	wh_main_character_abilities_heroic_killing_blow		wh_type_augment		wh_main_anc_group_rare	False	False	unit
wh_emp_last_stand		False	wh_emp_last_stand		wh_type_area_of_augments		wh_main_anc_group_uncommon	False	False	unit
wh_emp_prayer_of_binding		False	wh_dlc04_hero_passive_divine_power		wh_type_hex		wh_main_anc_group_uncommon	False	False	unit
wh_emp_sigmarite_aura_faith		False	wh_main_spell_bound_shield_of_faith		wh_type_area_of_augments		wh_main_anc_group_rare	False	False	unit
wh_main_spell_heavens_chain_lightning_ror		False	wh_main_spell_heavens_chain_lightning		wh_type_vortex		wh_main_anc_group_rare	False	False	spell
chs_passive_regeneration	False	False	wh_dlc03_item_abilities_chalice_of_dark_rain		wh_type_augment		wh_main_anc_group_uncommon	False	False	unit
chs_zealot_dark_healing	False	False	wh_dlc03_hero_passive_unholy_power		wh_type_augment		wh_main_anc_group_rare	False	False	unit
chs_soul_drain	False	False	wh_dlc03_unit_passive_soul_eater		wh_type_direct_damage		wh_main_anc_group_common	False	False	unit
wh_main_unit_passive_hydra		False	wh2_main_spell_dark_magic_soul_stealer_miscast		wh_type_augment		wh_main_anc_group_rare	False	False	unit
wh_lzd_solar		False	wh_lzd_solar		wh_type_area_of_augments		wh_main_anc_group_rare	False	False	unit
wh_hef_dragon_prince		False	wh_hef_dragon_prince		wh_type_augment		wh_main_anc_group_uncommon	False	False	unit
wh_def_dread_glory		False	wh_dlc03_hero_passvie_something_wicked_this_way_comes		wh_type_area_of_augments		wh_main_anc_group_rare	False	False	unit
wh_lzd_slann		False	wh_lzd_slann		wh_type_area_of_augments		wh_main_anc_group_rare	False	False	lord
chs_main1		False	chs_main1		wh_type_augment		wh_main_anc_group_uncommon	False	False	unit
chs_main2		False	chs_main2		wh_type_augment		wh_main_anc_group_rare	False	False	unit
bst_main2		False	bst_main2		wh_type_augment		wh_main_anc_group_rare	False	False	unit
dwf_main1		False	dwf_main1		wh_type_augment		wh_main_anc_group_uncommon	False	False	unit
dwf_main2		False	dwf_main2		wh_type_area_of_augments		wh_main_anc_group_rare	False	False	unit
grn_main1		False	grn_main1		wh_type_augment		wh_main_anc_group_uncommon	False	False	unit
grn_main2		False	grn_main2		wh_type_area_of_augments		wh_main_anc_group_rare	False	False	unit
vmp_main1		False	vmp_main1		wh_type_area_of_augments		wh_main_anc_group_rare	False	False	unit
brt_main1		False	brt_main1		wh_type_augment		wh_main_anc_group_uncommon	False	False	unit
brt_main2		False	brt_main2		wh_type_augment		wh_main_anc_group_rare	False	False	unit
wef_main1		False	wef_main1		wh_type_augment		wh_main_anc_group_uncommon	False	False	unit
wef_main2		False	wef_main2		wh_type_augment		wh_main_anc_group_rare	False	False	unit
emp_main1		False	emp_main1		wh_type_area_of_augments		wh_main_anc_group_rare	False	False	unit
hef_phoenix_guard		False	hef_phoenix_guard		wh_type_area_of_augments		wh_main_anc_group_rare	False	False	unit
skv_overcharge		False	skv_overcharge		wh_type_augment		wh_main_anc_group_rare	False	False	unit
