battle_entities_tables
32
key	type	walk_speed	run_speed	acceleration	deceleration	charge_speed	crawl_speed	charge_distance_commence_run	charge_distance_adopt_charge_pose	charge_distance_pick_target	shape	radius	mass	height	fire_arc_close	turn_speed	hit_points	allow_turn_to_move_anim	allow_static_turn_anim	min_turning_speed	fly_speed	flying_charge_speed	size	strafe_speed	gradient_strategy	audio_entity_type	combat_reaction_radius	entity_effects	hit_reactions_ignore_chance	knock_interrupts_ignore_chance	soft_collision_offset_z	can_climb_ladder_and_stair_pipes	projectile_intersection_radius_ratio	projectile_penetration_speed_change	projectile_penetration_resistance	aura_vfx	porthole_camera	min_tracking_ratio	max_tracking_ratio	vfx_filter_id	can_cast_projectile	porthole_composite_scene	has_blood	can_dismember	combat_camera_shake_type	dismember_head_alive_hp_ratio	dismember_arms_hp_ratio	jump_attack_chance
wh2_main_cavalry_rider_standard_hero	man	2	3.6	3	4	4.5	35	30	30	0.7	circle	1	500	1.8	60	120	8	True	True	0	0	0	medium	1	ignore	wh_human_male	2	infantry_light_effects	70	60	0	True	1	0.8999999	1	wh_main_generic_character_aura		0.5	1.6	30	False		True	False	wh_main_unit_combat	-1	-1	30
wh2_main_cavarly_rider_170_blood	man	1.5	3.3	2	4	4.5	35	30	25	0.6	circle	1	100	1.8	170	90	8	True	True	0	0	0	medium	1	ignore	wh_human_male	0	infantry_light_effects	0	0	0	False	1	0.8999999	2			0.5	1.6	0	False		True	False	wh_main_unit_combat	-1	-1	30
wh2_main_def_art_reaper_bolt_thrower	artillery	1.9	2	2	3	2	30	20	20	1.5	capsule	0.6	2000	1.8	50	45	375	False	False	0	0	0	very_large	1.2	rotation	wh_war_machine_wood_small	0	artillery_effects	0	0	0	False	1	0.75	5		dwf_cannon	0.5	1.45	0	False		False	False	wh_main_unit_combat	-1	-1	30
wh2_main_def_black_dragon_blood	giant	3	7	6	10	9.5	35	28	35	4.5	capsule	0.45	2200	4.5	120	100	8	True	True	0	9	12.5	very_large	1.5	rotation_x	wh_dragon_large_default	6	war_beast_effects	70	50	0	False	1.1	0.75	5			0	1.45	27	False		True	False	wh_main_unit_combat	-1	-1	30
wh2_main_def_cavalry_cold_one_170_hero_blood	horse	2	7	4	6	10.2	40	35	35	1.5	ellipse	0.5	1500	1.9	170	80	8	True	True	1	0	0	medium	1	rotation_x	wh_horse_normal	0	cavalry_effects	0	0	0	False	1	0.85	3			0.5	1.6	7	False		True	False	wh_main_unit_combat	-1	-1	30
wh2_main_def_cavalry_cold_one_blood	horse	2	7	4	6	10.2	40	35	35	1.5	ellipse	0.5	1000	1.9	360	80	8	True	True	1	0	0	medium	1	rotation_x	wh_horse_normal	0	cavalry_effects	0	0	0	False	1	0.85	2			0.5	1.6	0	False		True	False	wh_main_unit_combat	-1	-1	30
wh2_main_def_cavalry_fast_170_blood	horse	2	10	6.5	7	11	35	30	30	1.4	ellipse	0.5	600	2	170	120	8	True	True	1	0	0	medium	3	rotation_x	wh_horse_normal	0	cavalry_effects	0	0	0	False	1	0.85	2			0.5	1.6	0	False		True	False	wh_main_unit_combat	-1	-1	30
wh2_main_def_cavarly_rider_170_hero_blood	man	1.5	3.5	2	4	4.5	35	30	25	0.6	circle	1	100	1.8	170	120	8	True	True	0	0	0	medium	1	ignore	wh_human_male	0	infantry_light_effects	70	60	0	False	1	0.8999999	2	wh_main_generic_character_aura		0.5	1.6	1	False		True	False	wh_main_unit_combat	-1	-1	30
wh2_main_def_cold_one_chariot	giant	1.5	6.6	4	6	10.2	40	35	35	2	capsule	0.6	1500	2	360	60	8	True	True	1	0	0	large	1	rotation	wh_chariot_metal	3	artillery_effects	0	0	0	False	1	0.8	4			0.5	1.6	0	False	composite_scene\porthole\cold_one_chariot_porthole.csc	False	False	wh_main_unit_combat	-1	-1	30
wh2_main_def_cold_one_chariot_articulation	chariot	1.5	6.6	5.3	6	10.2	40	35	35	4.4	capsule	0.29	1800	2	360	60	8	True	True	1	0	0	large	1	rotation	wh_chariot_metal	3	artillery_effects	0	0	0.3	False	1	0.8	4			0.5	1.6	0	False		False	False	wh_main_unit_combat	-1	-1	30
