battle_entities_tables
32
key	type	walk_speed	run_speed	acceleration	deceleration	charge_speed	crawl_speed	charge_distance_commence_run	charge_distance_adopt_charge_pose	charge_distance_pick_target	shape	radius	mass	height	fire_arc_close	turn_speed	hit_points	allow_turn_to_move_anim	allow_static_turn_anim	min_turning_speed	fly_speed	flying_charge_speed	size	strafe_speed	gradient_strategy	audio_entity_type	combat_reaction_radius	entity_effects	hit_reactions_ignore_chance	knock_interrupts_ignore_chance	soft_collision_offset_z	can_climb_ladder_and_stair_pipes	projectile_intersection_radius_ratio	projectile_penetration_speed_change	projectile_penetration_resistance	aura_vfx	porthole_camera	min_tracking_ratio	max_tracking_ratio	vfx_filter_id	can_cast_projectile	porthole_composite_scene	has_blood	can_dismember	combat_camera_shake_type	dismember_head_alive_hp_ratio	dismember_arms_hp_ratio	jump_attack_chance
wh_main_brt_infantry_heavy	man	1.4	3.1	2	3	4	30	30	25	0.6	circle	1	180	1.8	80	120	8	True	True	0	0	0	small	1	ignore	wh_human_male	0	infantry_light_effects	20	30	0	True	1	0.9	2			0.5	1.45	0	False		True	True	wh_main_unit_combat	-1	-1	30
wh_main_brt_infantry_crossbowmen	man	1.4	3.1	2	3	4	30	25	25	0.6	circle	1	108	1.8	80	120	8	True	True	0	0	0	small	1	ignore	wh_human_male	0	infantry_light_effects	0	0	0	True	1	0.9	2			0.5	1.45	0	False		True	True	wh_main_unit_combat	-1	-1	30
Pestigor	man	1.35	3.5	3.1	3.1	3.8	35	30	30	0.7	circle	1	300	2	60	120	8	True	True	0	0	0	small	1	ignore	none	0	infantry_light_effects	28	70	0	True	1	0.9	2			0.5	1.45	0	False		True	True	wh_main_unit_combat	-1	-1	30
Khorngor	man	1.5	4.6	4.4	4.5	5.5	35	35	35	0.7	circle	1	250	2	60	120	8	True	True	0	0	0	small	1	ignore	none	0	infantry_light_effects	20	55	0	True	1	0.9	2			0.5	1.45	0	False		True	True	wh_main_unit_combat	-1	-1	30
Slaangor	man	1.5	5.9	5.1	5.2	6.2	35	40	35	0.7	circle	1	200	2	60	140	8	True	True	0	0	0	small	1	ignore	none	0	infantry_light_effects	15	50	0	True	1	0.9	2			0.5	1.45	0	False		False	True	wh_main_unit_combat	-1	-1	30
Tzaangor	man	1.5	4.6	4.4	4.5	5.5	35	35	35	0.7	circle	1	200	2	60	120	8	True	True	0	0	0	small	1	ignore	none	0	infantry_light_effects	15	50	0	True	1	0.9	2			0.5	1.45	0	False		False	True	wh_main_unit_combat	-1	-1	30
chs_chaos_dragon	giant	4	8	6	10	9.5	35	35	35	5	capsule	0.45	2250	4.5	120	100	10642	True	True	0	8	10.4	very_large	1.5	rotation	wh_dragon_large_default	6	ethereal_effects	60	60	0	False	1	0.75	5			0	1.45	0	False		True	False	wh_main_unit_combat	-1	-1	30
chs_zealot_medium	man	1.4	3.6	2.6	3	4	35	30	30	0.7	circle	1	200	2	90	120	8	True	True	0	0	0	small	1	ignore	wh_human_male	2	infantry_light_effects	60	60	0	True	1	0.9	2			0.5	1.45	1	False		True	True	wh_main_unit_combat	-1	-1	30
chs_marauder_mutant_heavy	man	1.4	4.5	3.8	4.2	5.2	35	35	30	0.75	circle	1	250	2	60	140	8	True	True	0	0	0	small	1	ignore	wh_human_male	0	infantry_light_effects	40	60	0	True	1	0.9	2			0.5	1.45	0	False		True	True	wh_main_unit_combat	-1	-1	30
wh_main_dwf_inf_dwarfs_heavy_oathsworn	man	1.4	3.2	2.1	3	4.1	30	25	25	0.6	circle	1	250	1.4	80	120	8	True	True	0	0	0	small	1	ignore	wh_dwarf_default	0	infantry_light_effects	75	85	0	True	1	0.9	2			0.5	1.45	0	False		True	True	wh_main_unit_combat	-1	-1	30
