battle_vortexs_tables
14
change_max_angle	contact_effect	damage	damage_ap	duration	expansion_speed	goal_radius	infinite_height	move_change_freq	movement_speed	start_radius	vortex_key	ignition_amount	is_magical	composite_scene	detonation_force	launch_source	building_collision	launch_vfx	height_off_ground	delay	num_vortexs	composite_scene_blood	affects_allies	launch_source_offset
0		0	223	1	25	25	False	0	0	0.1	wh2_main_army_abilities_dark_conduit	0	True	composite_scene\spells_and_abilities\wh2_main_abilities_dark_conduit.csc	200	target_centre	1.ignore		0	0.8	1		False	0
0		20	20	2	6	12	False	0	24	0.1	wh2_main_army_abilities_shadows_of_anlec	1	True	composite_scene\spells_and_abilities\wh2_main_abilities_shadows_of_anlec.csc	45	target_near_edge	1.ignore		0	0	1		True	24
0		0	223	1	25	25	False	0	0	0.1	wh2_main_army_abilities_warpbomb	0	True	composite_scene\spells_and_abilities\wh2_main_abilities_warpbomb.csc	200	target_centre	1.ignore		0	0.8	1		True	0
170		0	14	18	-30	12	True	1	3	12	wh2_main_bound_banishment	0	True	composite_scene/spells_and_abilities/banishment.csc	40	target_centre	1.ignore		0	0	1		True	0
2		0	43	3	30	7	False	0.25	44	7	wh2_main_bound_fiery_convocation	0	True	composite_scene\spells_and_abilities\wh2_fiery_convocation.csc	30	target_near_edge	1.ignore		0	4.6	1		True	24
170		31	18	27	25	7	True	1	3	7	wh2_main_bound_flame_storm	1	True	composite_scene/spells_and_abilities/flame_storm.csc	40	target_centre	1.ignore		0	0	1		True	0
120		0	14	1	-15	15	True	1	0	15	wh2_main_bound_pit_of_shades	0	True	composite_scene\spells_and_abilities\pit_of_shades.csc	200	target_centre	1.ignore		0	0	1		True	0
0		40	0	1	15	15	False	0	0	0.1	wh2_main_bound_viletide	0	True	composite_scene/spells_and_abilities/viletide.csc	200	target_centre	1.ignore		0	0.8	1		True	0
0		43	22	1	35	15	False	0	0	0.1	wh2_main_character_abilities_arcane_vassal	0	True	composite_scene\spells_and_abilities\wh2_main_abilities_arcane_vassel.csc	200	target_centre	1.ignore		0	0.8	1		False	0
0		0	0	1	25	25	False	0	0	1	wh2_main_character_abilities_swiftness_of_itzl	0	False	composite_scene\spells_and_abilities\wh2_main_abilities_swiftness_of_itzl.csc	200	target_centre	1.ignore		0	0	1		False	0
