special_ability_phase_stat_effects_tables
3
phase	value	stat	how
wh2_main_army_abilities_holy_stela	0.75	scalar_missile_damage_base	mult
wh2_main_army_abilities_holy_stela	0.7	stat_accuracy	mult
wh2_main_army_abilities_mors_clanstone	1.4	stat_melee_damage_ap	mult
wh2_main_army_abilities_skyre_clanstone	-44	stat_resistance_magic	add
wh2_main_army_abilities_temple_of_mists	0.75	scalar_missile_damage_base	mult
wh2_main_army_abilities_temple_of_mists	0.1	stat_accuracy	mult
wh2_main_banner_passive_battle_banner	-4	stat_morale	add
wh2_main_banner_passive_sacred_banner_of_the_horned_rat	-8	stat_morale	add
wh2_main_banner_passive_storm_banner	0.9400001	scalar_missile_damage_base	mult
wh2_main_character_abilities_assassins_trophy	-26	stat_melee_attack	add
wh2_main_character_abilities_assassins_trophy	-27	stat_melee_defence	add
wh2_main_character_abilities_cold_blooded	0.76	scalar_speed	mult
wh2_main_character_abilities_cold_blooded	-26	stat_melee_attack	add
wh2_main_character_abilities_cold_blooded	-27	stat_melee_defence	add
wh2_main_character_abilities_dark_venom	1.75	stat_melee_damage_base	mult
wh2_main_character_abilities_shield_of_the_old_ones	8	stat_morale	add
wh2_main_character_abilities_shield_of_the_old_ones	44	stat_resistance_magic	add
wh2_main_character_abilities_swiftness_of_itzl	1.36	scalar_speed	mult
wh2_main_character_abilities_verminous_valour	1.24	scalar_speed	mult
wh2_main_character_abilities_verminous_valour	8	stat_morale	add
wh2_main_character_abilities_witchbrew	26	stat_melee_attack	add
wh2_main_character_abilities_witchbrew	1.5	stat_melee_damage_base	mult
wh2_main_character_passive_aura_of_pestilence	-5	stat_melee_attack	add
wh2_main_character_passive_darken_the_skies	20	stat_reloading	add
wh2_main_character_passive_horn_of_isha	5	stat_melee_attack	add
wh2_main_character_passive_horn_of_isha	5	stat_reloading	add
wh2_main_character_passive_loose	10	stat_reloading	add
wh2_main_faction_abilities_murderous_mastery	1.25	stat_charge_bonus	mult
wh2_main_faction_abilities_murderous_mastery	1.25	stat_melee_attack	mult
wh2_main_faction_abilities_murderous_mastery	15	stat_morale	add
wh2_main_faction_abilities_murderous_prowess	1.2	scalar_missile_damage_ap	mult
wh2_main_faction_abilities_murderous_prowess	1.25	stat_charge_bonus	mult
wh2_main_faction_abilities_murderous_prowess	1.25	stat_melee_attack	mult
wh2_main_faction_abilities_murderous_prowess	15	stat_morale	add
wh2_main_item_abilities_amulet_of_itzl	66	stat_resistance_all	add
wh2_main_item_abilities_aura_of_quetzl	30	stat_armour	add
wh2_main_item_abilities_aura_of_quetzl	27	stat_melee_defence	add
wh2_main_item_abilities_blade_of_bel_korhadris	26	stat_melee_attack	add
wh2_main_item_abilities_blade_of_bel_korhadris	1.2	stat_melee_damage_ap	mult
wh2_main_item_abilities_dragonhorn	1.25	scalar_missile_damage_base	mult
wh2_main_item_abilities_dragonhorn	1.25	stat_melee_damage_base	mult
wh2_main_item_abilities_plaque_of_dominion	-8	stat_morale	add
wh2_main_item_abilities_rival_hide_talisman	-44	stat_melee_attack	add
wh2_main_item_abilities_scrying_stone	8	stat_morale	add
wh2_main_item_abilities_scrying_stone	22	stat_resistance_all	add
wh2_main_item_abilities_skavenbrew	-30	stat_armour	add
wh2_main_item_abilities_skavenbrew	44	stat_melee_attack	add
wh2_main_item_abilities_skavenbrew	1.25	stat_melee_damage_base	mult
wh2_main_item_abilities_talisman_of_loec	26	stat_melee_attack	add
wh2_main_item_abilities_talisman_of_loec	1.25	stat_melee_damage_base	mult
wh2_main_item_abilities_the_bane_shield	30	stat_armour	add
wh2_main_item_abilities_the_bane_shield	24	stat_missile_block_chance	add
wh2_main_item_abilities_the_guiding_eye	1.2	scalar_missile_damage_ap	mult
wh2_main_item_abilities_the_horn_of_kygor	1.18	stat_charge_bonus	mult
wh2_main_item_abilities_the_horn_of_kygor	25	stat_melee_attack	add
wh2_main_item_abilities_the_horn_of_kygor	8	stat_morale	add
wh2_main_item_abilities_the_tricksters_pendant	1.5	scalar_miscast_chance	mult
wh2_main_item_abilities_warpstorm_scroll	0.52	scalar_speed	mult
wh2_main_item_abilities_worlds_edge_armour	60	stat_armour	add
wh2_main_item_passive_blessed_tome	8	stat_morale	add
wh2_main_item_passive_circlet_of_iron	1.5	scalar_miscast_chance	mult
wh2_main_item_passive_curse_charm_of_tepok	1.25	scalar_miscast_chance	mult
wh2_main_item_passive_diamond_guardian_phoenix	12	stat_resistance_physical	add
wh2_main_item_passive_enchanted_spyglass	1.15	scalar_missile_damage_base	mult
wh2_main_item_passive_loremasters_cloak	22	stat_resistance_magic	add
wh2_main_item_passive_pipes_of_piebald	0.96	scalar_charge_speed	mult
wh2_main_item_passive_pipes_of_piebald	0.92	stat_charge_bonus	mult
wh2_main_item_passive_portents_of_verminous_doom	-4	stat_morale	add
wh2_main_item_passive_ring_of_hotek	1.25	scalar_miscast_chance	mult
wh2_main_item_passive_ruby_guardian_phoenix	12	stat_resistance_flame	add
wh2_main_item_passive_sacred_incense	12	stat_resistance_missile	add
wh2_main_item_passive_sapphire_guardian_phoenix	12	stat_resistance_magic	add
wh2_main_item_passive_shadow_magnet_trinket	12	stat_missile_block_chance	add
wh2_main_item_passive_shield_of_distraction	-5	stat_melee_attack	add
wh2_main_item_passive_shield_of_ghrond	0.88	stat_melee_damage_base	mult
wh2_main_item_passive_sunburst_standard_of_hexoatl	9	stat_melee_defence	add
wh2_main_item_passive_sunburst_standard_of_hexoatl	12	stat_resistance_missile	add
wh2_main_item_passive_war_drum_of_xahutec	1.06	scalar_speed	mult
wh2_main_item_passive_war_drum_of_xahutec	1.04	stat_charge_bonus	mult
wh2_main_item_passive_war_drum_of_xahutec	4	stat_morale	add
wh2_main_item_passive_warp_shard_armour	-18	stat_armour	add
wh2_main_lord_abilities_feint_and_reposte	26	stat_melee_attack	add
wh2_main_lord_abilities_feint_and_reposte	27	stat_melee_defence	add
wh2_main_lord_abilities_feint_and_reposte	22	stat_resistance_physical	add
wh2_main_lord_abilities_potion_of_charoi	44	stat_resistance_all	add
wh2_main_lord_abilities_sacred_spawning_of_xhotl	22	stat_resistance_physical	add
wh2_main_lord_abilities_trophy_heads	-26	stat_melee_attack	add
wh2_main_lord_abilities_trophy_heads	-45	stat_melee_defence	add
wh2_main_lord_passive_enchanting_beauty	0.92	stat_charge_bonus	mult
wh2_main_lord_passive_enchanting_beauty	-9	stat_melee_attack	add
wh2_main_lord_passive_glamour_of_hoeth	3	scalar_bracing	mult
wh2_main_lord_passive_glamour_of_hoeth	4	stat_morale	add
wh2_main_lord_passive_kindle_the_fury	9	stat_melee_attack	add
wh2_main_lord_passive_kindle_the_fury	1.06	stat_melee_damage_base	mult
wh2_main_lord_passive_strength_through_spite	5	stat_melee_attack	add
wh2_main_lore_passive_musk_of_fear	-13	stat_melee_attack	add
wh2_main_lore_passive_musk_of_fear	-4	stat_morale	add
wh2_main_lore_passive_plague_rash	0.88	scalar_speed	mult
wh2_main_lore_passive_shield_of_saphery	11	stat_resistance_all	add
wh2_main_lore_passive_spiteful_conjuration	-15	stat_armour	add
wh2_main_mount_abilities_unholy_clamour	16	stat_morale	add
wh2_main_mount_passive_wall_of_unholy_sound	5	stat_melee_attack	add
wh2_main_mount_passive_wall_of_unholy_sound	5	stat_morale	add
wh2_main_spell_bound_embers_of_the_phoenix	1.25	scalar_missile_damage_base	mult
wh2_main_spell_bound_embers_of_the_phoenix	1.25	stat_melee_damage_base	mult
wh2_main_spell_bound_the_seerstaff_of_saphery	26	stat_melee_attack	add
wh2_main_spell_bound_the_seerstaff_of_saphery	40	stat_reloading	add
wh2_main_spell_bound_whip_of_agony	0.7	stat_accuracy	mult
wh2_main_spell_bound_whip_of_agony	-26	stat_melee_attack	add
wh2_main_spell_dark_magic_chillwind_upgraded	0.52	scalar_speed	mult
wh2_main_spell_dark_magic_chillwind_upgraded	-20	stat_reloading	add
wh2_main_spell_dark_magic_chillwind	0.76	scalar_speed	mult
wh2_main_spell_dark_magic_word_of_pain_upgraded	0.4	stat_accuracy	mult
wh2_main_spell_dark_magic_word_of_pain_upgraded	-44	stat_melee_attack	add
wh2_main_spell_dark_magic_word_of_pain_upgraded	-27	stat_melee_defence	add
wh2_main_spell_dark_magic_word_of_pain	0.4	stat_accuracy	mult
wh2_main_spell_dark_magic_word_of_pain	-44	stat_melee_attack	add
wh2_main_spell_high_magic_hand_of_glory_upgraded	1.25	scalar_speed	mult
wh2_main_spell_high_magic_hand_of_glory_upgraded	30	stat_melee_attack	add
wh2_main_spell_high_magic_hand_of_glory_upgraded	45	stat_reloading	add
wh2_main_spell_high_magic_hand_of_glory	20	stat_melee_attack	add
wh2_main_spell_high_magic_hand_of_glory	30	stat_reloading	add
wh2_main_spell_plague_wither_upgraded	-60	stat_resistance_physical	add
wh2_main_spell_plague_wither	-30	stat_resistance_physical	add
wh2_main_spell_ruin_death_frenzy	1.36	stat_charge_bonus	mult
wh2_main_spell_ruin_death_frenzy	26	stat_melee_attack	add
wh2_main_spell_ruin_death_frenzy	1.25	stat_melee_damage_base	mult
wh2_main_spell_ruin_skitterleap_upgraded	1.24	scalar_speed	mult
wh2_main_spell_ruin_skitterleap	1.24	scalar_speed	mult
wh2_main_unit_abilities_fury_of_khaine	1.18	stat_charge_bonus	mult
wh2_main_unit_abilities_fury_of_khaine	26	stat_melee_attack	add
