_kv_key_buildings_tables
0
key	value
archery_dojo_ammo_replenish_rate_local_modifier	0.07000001
archery_dojo_reload_skill_global_modifier	20
farmhouse_fatigue_modifier	-0.35
farmhouse_speed_global_modifier	0.15
fort_tower_fire_arc	43
fort_tower_fire_frequency_large	8
fort_tower_fire_frequency_medium	10
fort_tower_fire_frequency_small	12
fort_tower_fire_frequency_ultra	6
gate_capture_time	20
gate_points_required_to_capture	200
gate_points_restore_per_second	2
keep_capture_time	60
key_building_capture_time	110
local_bonus_radius	55
major_points_required_to_capture	600
major_points_restore_per_second	2
minor_points_required_to_capture	500
minor_points_restore_per_second	2
settlement_location_capture_time	60
settlement_victory_condition_time	30
shrine_morale_global_modifier	4
shrine_morale_local_modifier	0
sword_dojo_charge_bonus_global_modifier	5
sword_dojo_charge_bonus_local_modifier	0
sword_dojo_melee_attack_global_modifier	2
sword_dojo_melee_attack_local_modifier	0
tower_capture_time	30
tower_points_required_to_capture	50
tower_points_restore_per_second	12.5
workshop_armour_global_modifier	2
workshop_armour_local_modifier	0
workshop_defence_global_modifier	3
workshop_defence_local_modifier	0
