_kv_morale_tables
0
key	value
army_destruction_alliance_strength_ratio	0.22
army_destruction_enemy_strength_ratio	2.6
artillery_near_miss_distance_squared	144
blood_bonus_12	0
blood_bonus_5	0
blood_bonus_7	0
broken_finish_base_timeout	180
broken_finish_timer_experience_bonus	10
cavalry_effect_range	20
charge_bonus	15
charge_timeout	60
commanding_general_alive_effect_amount_max	0
commanding_general_alive_effect_amount_min	0
difficulty_modifier_ai_easy	-4
difficulty_modifier_ai_hard	4
difficulty_modifier_ai_normal	0
difficulty_modifier_ai_very_hard	10
difficulty_modifier_player_easy	4
difficulty_modifier_player_hard	-2
difficulty_modifier_player_normal	0
difficulty_modifier_player_very_hard	-4
enemy_control_land_defender_land_force_strength_modifier	10
enemy_effect_range	70
enemy_numbers_morale_penalty_multiplier	2
extended_casualties_penalty_10	-4
extended_casualties_penalty_15	-6
extended_casualties_penalty_33	-14
extended_casualties_penalty_50	-32
extended_casualties_penalty_80	-60
fear_effect_range	20
fighting_cavalry	0
general_aura_radius	70
general_inspire_effect_amount_max	3
general_inspire_effect_amount_min	3
inspiration_radius_max_effect_range_modifier	1.5
losing_combat	-3
losing_combat_significantly	-8
max_reinforcement_bonus	0
max_routing_enemies_to_consider	5
max_routing_friends_to_consider	4
minimium_increment_update_per_tick	1
morale_base	0
morale_shock_rout_immunity_timer	85
morale_shock_rout_timer_long	14
morale_shock_rout_timer_short	14
morale_shock_terror_morale_threshold_long	13
morale_shock_terror_morale_threshold_short	13
neighbour_effect_range	120
only_units_with_living_commanding_general_may_enter_non_shattered_rout_enabled	0
open_flanks_effect_range	120
percent_update_per_tick	0.15
post_rally_no_rout_timer	10
recent_casualties_penalty_10	-12
recent_casualties_penalty_15	-20
recent_casualties_penalty_33	-44
recent_casualties_penalty_50	-80
recent_casualties_penalty_6	-6
recent_casualties_shock_threshold	25
routing_enemies_effect_weighting	2.5
routing_friends_effect_weighting	3
routing_unit_effect_distance_flank	100
routing_unit_effect_distance_front	100
shatter_after_first_rout_if_casulties_higher_than	0.05
shatter_after_rout_count	3
shatter_after_second_rout_if_casulties_higher_than	0.1
surprise_timeout	200
terror_effect_range	5
total_casualties_penalty_10	-2
total_casualties_penalty_20	-4
total_casualties_penalty_30	-7
total_casualties_penalty_40	-11
total_casualties_penalty_50	-16
total_casualties_penalty_60	-22
total_casualties_penalty_70	-32
total_casualties_penalty_80	-47
total_casualties_penalty_90	-74
ume_concerned_army_destruction	-120
ume_concerned_attacked_by_artillery	-8
ume_concerned_attacked_by_projectile	-5
ume_concerned_captain_died_recently	-2
ume_concerned_damaged_by_artillery	-10
ume_concerned_elephants_frightened	-30
ume_concerned_exhausted	-6
ume_concerned_flanks_exposed_multiple	-6
ume_concerned_flanks_exposed_single	-3
ume_concerned_general_dead	-10
ume_concerned_general_dead_ai	-10
ume_concerned_general_died_recently	-16
ume_concerned_general_died_recently_ai	-16
ume_concerned_general_fled_recently	-16
ume_concerned_general_fled_recently_ai	-16
ume_concerned_horses_frightened	-20
ume_concerned_night_battle_unprepared	-5
ume_concerned_panic	-50
ume_concerned_settlement_destruction_max	0
ume_concerned_surprised	-30
ume_concerned_tired	0
ume_concerned_under_friendly_fire	0
ume_concerned_unit_frightened	-8
ume_concerned_very_tired	-2
ume_encouraged_flanks_secure	5
ume_encouraged_fortification	4
ume_encouraged_fortification_compromised	0
ume_encouraged_inspired	30
ume_encouraged_on_the_hill	10
ume_encouraged_settlement_plaza	5
ums_broken_threshold_lower	-50
ums_broken_threshold_upper	0
ums_confident_threshold_lower	0.65
ums_confident_threshold_upper	1
ums_eager_threshold_lower	0.8999999
ums_eager_threshold_upper	1.1
ums_impetuous_threshold_lower	1.1
ums_shaken_threshold_lower	12
ums_shaken_threshold_upper	32
ums_steady_threshold_lower	30
ums_steady_threshold_upper	0.8
ums_wavering_threshold_lower	0
ums_wavering_threshold_upper	16
unit_inspire_effect_amount	8
use_hitpoints_instead_of_casualties_prop_in_morale_calculation	1
warcry_effect_range	225
was_attacked_in_flank	-6
was_attacked_in_front	0
was_attacked_in_rear	-14
waver_base_timeout	25
winning_combat	6
winning_combat_significantly	8
winning_combat_slightly	3
