action_results_additional_outcomes_tables
3
unknown0	unknown1	unknown2	unknown3	unknown4	unknown5	unknown6	unknown7	unknown8
generic_bonus_value	wh2_main_agent_action_assist_army_cannot_fail_increase_mobility	10	wh_main_effect_agent_action_outcome_parent_army_ap	force_to_force_own	wh2_main_agent_action_assist_army_cannot_fail_increase_mobility_generic_bonus_value		True	start_round_completed
generic_bonus_value	wh2_main_agent_action_assist_army_cannot_fail_replenish_troops	8	wh_main_effect_agent_action_outcome_target_army_replenishment_increase	agent_to_parent_army_own	wh2_main_agent_action_assist_army_cannot_fail_replenish_troops_generic_bonus_value		True	start_round_completed
generic_bonus_value	wh2_main_agent_action_assist_army_cannot_fail_scavenge	15	wh_main_effect_force_all_campaign_post_battle_loot_mod	force_to_general_own	wh2_main_agent_action_assist_army_cannot_fail_scavenge_generic_bonus_value		True	start_round_completed
generic_bonus_value	wh2_main_agent_action_assist_army_cannot_fail_scouting	10	wh_main_effect_character_mod_ancillary_drop	agent_to_parent_army_general_own	wh2_main_agent_action_assist_army_cannot_fail_scouting_generic_bonus_value		True	start_round_completed
containing_army_unit_xp_gain	wh2_main_agent_action_assist_army_cannot_fail_training	30	wh_main_effect_agent_action_outcome_parent_army_xp_gain	agent_to_parent_army_own	wh2_main_agent_action_assist_army_cannot_fail_training_containing_army_unit_xp_gain		True	start_round_completed
generic_bonus_value	wh2_main_agent_action_passive_cannot_fail_increase_trade	20	wh2_main_effect_region_tradable_resource_production	character_to_region_own_provincewide	wh2_main_agent_action_champion_passive_cannot_fail_increase_trade_generic_bonus_value		False	start_round_completed
generic_bonus_value	wh2_main_agent_action_passive_cannot_fail_spread_public_order	1	EMPTY_EFFECT	character_to_province_own	wh2_main_agent_action_champion_passive_cannot_fail_spread_public_order_generic_bonus_value		False	start_round_completed
generic_bonus_value	wh2_main_agent_action_passive_cannot_fail_spread_public_order_horde	-1	EMPTY_EFFECT	character_to_any_province	wh2_main_agent_action_champion_passive_cannot_fail_spread_public_order_horde_generic_bonus_value		False	start_round_completed
generic_bonus_value	wh2_main_agent_action_passive_cannot_fail_stimulate_growth	10	EMPTY_EFFECT	character_to_province_own	wh2_main_agent_action_champion_passive_cannot_fail_stimulate_growth_generic_bonus_value		False	start_round_completed
downgrade_settlement_and_damage_buildings	wh2_main_agent_action_engineer_hinder_settlement_success_warlock_engineer_ritual	40			wh2_main_agent_action_engineer_hinder_settlement_success_warlock_engineer_ritual_outcome_target_settlement_buildings_damaged		True	start_round_completed
damage_walls	wh2_main_agent_action_engineer_hinder_settlement_success_warlock_engineer_ritual	2			wh2_main_agent_action_engineer_hinder_settlement_success_warlock_engineer_ritual_outcome_target_settlement_damage_walls		True	start_round_completed
agent_killed	wh2_main_agent_action_wizard_hinder_settlement_success_plague_priest_ritual	0			wh2_main_agent_action_engineer_hinder_settlement_success_warlock_engineer_ritual_outcome_target_settlement_kill_agent		True	start_round_completed
target_army_damage_single_unit	wh2_main_agent_action_hinder_army_success_assault_unit	25			wh2_main_agent_action_hinder_army_success_assault_unit_target_army_damage_single_unit		True	start_round_completed
target_army_damage_units	wh2_main_agent_action_hinder_army_success_assault_units	10			wh2_main_agent_action_hinder_army_success_assault_units_target_army_damage_units		True	start_round_completed
generic_bonus_value	wh2_main_agent_action_hinder_army_success_block_army	-50	wh_main_effect_agent_action_outcome_target_army_ap	force_to_general_own	wh2_main_agent_action_hinder_army_success_block_army_generic_bonus_value		True	end_turn_completed
generic_bonus_value	wh2_main_agent_action_hinder_army_success_block_army	-20	wh_main_effect_agent_action_outcome_target_defence_success_chance_enemy_hidden	force_to_general_own	wh2_main_agent_action_hinder_army_success_block_army_generic_bonus_value_chance		True	end_turn_completed
generic_bonus_value	wh2_main_agent_action_hinder_army_success_hinder_replenishment	-20	wh_main_effect_agent_action_outcome_target_army_replenishment_increase	army_to_army_own_unseen	wh2_main_agent_action_hinder_army_success_hinder_replenishment_generic_bonus_value		True	end_turn_completed
generic_bonus_value	wh2_main_agent_action_hinder_army_success_hinder_replenishment	-20	wh_main_effect_agent_action_outcome_target_defence_success_chance_enemy_hidden	force_to_general_own	wh2_main_agent_action_hinder_army_success_hinder_replenishment_generic_bonus_value_chance		True	end_turn_completed
target_settlement_garrison_units_damaged	wh2_main_agent_action_hinder_settlement_success_assault_garrison	15			wh2_main_agent_action_hinder_settlement_success_assault_garrison_target_settlement_garrison_units_damaged		True	start_round_completed
target_settlement_single_building_damaged	wh2_main_agent_action_hinder_settlement_success_damage_building	25			wh2_main_agent_action_hinder_settlement_success_damage_building_target_settlement_single_building_damaged		True	start_round_completed
damage_walls	wh2_main_agent_action_hinder_settlement_success_damage_walls	2			wh2_main_agent_action_hinder_settlement_success_damage_walls_damage_walls		True	start_round_completed
gain_influence	wh2_main_agent_action_hinder_settlement_success_gain_influence	3			wh2_main_agent_action_hinder_settlement_success_gain_influence_gain_influence		False	start_round_completed
generic_bonus_value	wh2_main_agent_action_hinder_settlement_success_gain_influence	3	EMPTY_EFFECT	character_to_character_own	wh2_main_agent_action_hinder_settlement_success_gain_influence_generic_bonus_value		False	start_round_completed
generic_bonus_value	wh2_main_agent_action_hinder_settlement_success_steal_technology	20	wh_main_effect_technology_research_points_mod	character_to_faction_unseen	wh2_main_agent_action_hinder_settlement_success_steal_technology_generic_bonus_value		False	start_round_completed
generic_bonus_value	wh2_main_agent_action_hinder_settlement_success_steal_technology	-20	wh_main_effect_technology_research_points_mod_agent_action_hidden	region_to_faction_own	wh2_main_agent_action_hinder_settlement_success_steal_technology_generic_bonus_value_enemy		True	start_round_completed
generic_bonus_value	wh2_main_agent_action_passive_cannot_fail_boost_income	5	EMPTY_EFFECT	character_to_region_own_provincewide	wh2_main_agent_action_passive_cannot_fail_boost_income_generic_bonus_value		False	start_round_completed
generic_bonus_value	wh2_main_agent_action_passive_cannot_fail_increase_slave_income	10	EMPTY_EFFECT	character_to_province_own	wh2_main_agent_action_passive_cannot_fail_increase_slave_income_generic_bonus_value		False	start_round_completed
generic_bonus_value	wh2_main_agent_action_passive_cannot_fail_spread_corruption	2	EMPTY_EFFECT	character_to_character_own	wh2_main_agent_action_passive_cannot_fail_spread_corruption_generic_bonus_value		False	start_round_completed
target_settlement_exposed	wh2_main_agent_action_hinder_settlement_cannot_fail_scout_settlement	0			wh2_main_agent_action_scout_settlement_success_expose_settlement		True	start_round_completed
agent_killed	wh2_main_agent_action_engineer_hinder_settlement_success_warlock_engineer_ritual	0			wh2_main_agent_action_wizard_hinder_settlement_success_plague_priest_ritual_outcome_target_settlement_kill_agent		True	start_round_completed
infect_with_plague	wh2_main_agent_action_wizard_hinder_settlement_success_plague_priest_ritual	0			wh2_main_agent_action_wizard_hinder_settlement_success_plague_priest_ritual_outcome_target_settlement_plague		True	start_round_completed
agent_wounded	wh_main_agent_action_all_hinder_army_critical_failure	0			wh_main_agent_action_all_hinder_army_critical_failure_outcome_agent_wounded		True	start_round_completed
agent_wounded	wh_main_agent_action_all_hinder_character_critical_failure	0			wh_main_agent_action_all_hinder_character_critical_failure_outcome_agent_wounded		True	start_round_completed
target_agent_killed	wh_main_agent_action_all_hinder_agent_critical_success	0			wh_main_agent_action_all_hinder_character_critical_success_outcome_target_agent_killed	0	True	start_round_completed
target_agent_wounded	wh_main_agent_action_all_hinder_agent_success	0			wh_main_agent_action_all_hinder_character_success_outcome_target_agent_wounded	0	True	start_round_completed
agent_wounded	wh_main_agent_action_all_hinder_settlement_critical_failure	0			wh_main_agent_action_all_hinder_settlement_critical_failure_outcome_agent_wounded		True	start_round_completed
