advice_levels_tables
3
key	advice_thread	advice_thread_level	points_needed	game_area	category	sub_category	max_repeat_count	repeat_interval	unknown9	unknown10	high_verbosity_only	locatable	parameter	unknown14	unknown15	suppressible	unknown17	audio_clip	advisor_name	for_loading_screen	movie_link
1002513161	wh2.camp.kroqgar.intro.004	1	1	Campaign	Advice	Camera Fly-bys	0	0	0	False	False	False	none	False	False	False	False	n	standard_advisor	False	
1002997383	wh2.camp.advice.black_arks.001	1	1	Scripted	Advice	Scripted	0	0	0	False	False	False	none	False	False	False	False	n	standard_advisor	False	
1005966996	wh2.camp.advice.doom_engineers.001	1	1	Scripted	Advice	Scripted	0	0	0	False	False	False	none	False	False	False	False	n	standard_advisor	False	
1010943657	wh2.camp.vortex.malekith.intro.003	1	1	Campaign	Advice	Camera Fly-bys	0	0	0	False	False	False	none	False	False	False	False	n	faction_leader	False	
1011854112	wh2.camp.prelude.ft.130.lzd	1	1	Scripted	Scripted	Scripted	0	0	0	False	False	False	none	False	False	False	False	n	standard_advisor	False	
1014047831	wh2.camp.vortex.advice.early_game.public_order.020	1	1	Campaign	Advice	Camera Fly-bys	0	0	0	False	False	False	none	False	False	False	False	n	standard_advisor	False	
101728061	wh2.camp.vortex.advice.early_game.ritual_buildings.010	1	1	Campaign	Advice	Camera Fly-bys	0	0	0	False	False	False	none	False	False	False	False	n	standard_advisor	False	
1023283365	wh2.camp.vortex.mazdamundi.intro.002	1	1	Campaign	Advice	Camera Fly-bys	0	0	0	False	False	False	none	False	False	False	False	n	faction_leader	False	
1023779481	wh2.camp.queek.intro.001	1	1	Campaign	Advice	Camera Fly-bys	0	0	0	False	False	False	none	False	False	False	False	n	standard_advisor	False	
1026760375	wh2.camp.prelude.ft.150.skv	1	1	Scripted	Scripted	Scripted	0	0	0	False	False	False	none	False	False	False	False	n	standard_advisor	False	
1031454882	wh2.camp.advice.black_arks.002	1	1	Scripted	Advice	Scripted	0	0	0	False	False	False	none	False	False	False	False	n	standard_advisor	False	
1033789383	wh2.battle.advice.final_battle_mid.003	1	1	Scripted	Advice	Scripted	0	0	0	False	False	False	none	False	False	False	False	n	standard_advisor	False	
103620200	wh2.camp.advice.plagues.002	1	1	Scripted	Advice	Scripted	0	0	0	False	False	False	none	False	False	False	False	n	standard_advisor	False	
1037329003	wh2.camp.vortex.mazdamundi.intro.003	1	1	Campaign	Advice	Camera Fly-bys	0	0	0	False	False	False	none	False	False	False	False	n	faction_leader	False	
1043695353	wh2.camp.malekith.intro.001	1	1	Campaign	Advice	Camera Fly-bys	0	0	0	False	False	False	none	False	False	False	False	n	standard_advisor	False	
1044581348	wh2.camp.vortex.skrolk.intro.003	1	1	Campaign	Advice	Camera Fly-bys	0	0	0	False	False	False	none	False	False	False	False	n	faction_leader	False	
1045911796	wh2.camp.vortex.kroqgar.early_game.004	1	1	Campaign	Advice	Camera Fly-bys	0	0	0	False	False	False	none	False	False	False	False	n	faction_leader	False	
10496947	wh2.camp.vortex.advice.early_game.ritual_settlements.071	1	1	Campaign	Advice	Camera Fly-bys	0	0	0	False	False	False	none	False	False	False	False	n	standard_advisor	False	
1065475264	wh2.camp.morathi.intro.003	1	1	Campaign	Advice	Camera Fly-bys	0	0	0	False	False	False	none	False	False	False	False	n	standard_advisor	False	
1070313870	wh2.camp.advice.skaven_corruption.001	1	1	Scripted	Advice	Scripted	0	0	0	False	False	False	none	False	False	False	False	n	standard_advisor	False	
1089991496	wh2.camp.vortex.advice.early_game.ritual_settlements.061	1	1	Campaign	Advice	Camera Fly-bys	0	0	0	False	False	False	none	False	False	False	False	n	standard_advisor	False	
1094799890	wh2.camp.prelude.ft.020.def	1	1	Scripted	Scripted	Scripted	0	0	0	False	False	False	none	False	False	False	False	n	standard_advisor	False	
1102251077	wh2.camp.prelude.ft.150.def	1	1	Scripted	Scripted	Scripted	0	0	0	False	False	False	none	False	False	False	False	n	standard_advisor	False	
1104870115	wh2.camp.prelude.ft.003.skv	1	1	Scripted	Scripted	Scripted	0	0	0	False	False	False	none	False	False	False	False	n	standard_advisor	False	
1121644705	wh2.camp.vortex.advice.early_game.recruit_hero.001	1	1	Campaign	Advice	Camera Fly-bys	0	0	0	False	False	False	none	False	False	False	False	n	standard_advisor	False	
1123618823	war.camp.advice.quest.kroqgar.revered_spear_of_tlanxla.001	1	1	Campaign	Advice	Camera Fly-bys	0	0	0	False	False	False	none	False	False	False	False	n	standard_advisor	False	
1129017451	war.camp.advice.quest.skrolk.liber_bubonicus.001	1	1	Campaign	Advice	Camera Fly-bys	0	0	0	False	False	False	none	False	False	False	False	n	standard_advisor	False	
1130425126	wh2.camp.vortex.advice.early_game.ritual_settlements.070	1	1	Campaign	Advice	Camera Fly-bys	0	0	0	False	False	False	none	False	False	False	False	n	standard_advisor	False	
1132954538	wh2.camp.prelude.ft.001.lzd	1	1	Scripted	Scripted	Scripted	0	0	0	False	False	False	none	False	False	False	False	n	standard_advisor	False	
1134648660	wh2.battle.intro.521	1	1	Scripted	Scripted	Scripted	0	0	0	False	False	False	none	False	False	False	False	n	standard_advisor	False	
1135831239	wh2.camp.vortex.advice.early_game.ritual_settlements.002	1	1	Campaign	Advice	Camera Fly-bys	0	0	0	False	False	False	none	False	False	False	False	n	standard_advisor	False	
1141752065	wh2.camp.prelude.ft.003.def	1	1	Scripted	Scripted	Scripted	0	0	0	False	False	False	none	False	False	False	False	n	standard_advisor	False	
1149636452	wh2.camp.vortex.advice.early_game.trade_agreements.003	1	1	Campaign	Advice	Camera Fly-bys	0	0	0	False	False	False	none	False	False	False	False	n	standard_advisor	False	
1150753379	wh2.camp.morathi.intro.004	1	1	Campaign	Advice	Camera Fly-bys	0	0	0	False	False	False	none	False	False	False	False	n	standard_advisor	False	
1156042853	war.camp.advice.quest.queek.dwarfgouger.001	1	1	Campaign	Advice	Camera Fly-bys	0	0	0	False	False	False	none	False	False	False	False	n	standard_advisor	False	
1158945647	wh2.camp.vortex.advice.early_game.tech_buildings.020	1	1	Campaign	Advice	Camera Fly-bys	0	0	0	False	False	False	none	False	False	False	False	n	standard_advisor	False	
1179002925	war.camp.advice.quest.mazdamundi.cobra_mace_of_mazdamundi.001	1	1	Campaign	Advice	Camera Fly-bys	0	0	0	False	False	False	none	False	False	False	False	n	standard_advisor	False	
1193637493	wh2.camp.prelude.ft.011.skv	1	1	Scripted	Scripted	Scripted	0	0	0	False	False	False	none	False	False	False	False	n	standard_advisor	False	
1196816282	wh2.camp.advice.skills.legendary.001	1	1	Campaign	Advice	Scripted	0	0	0	False	False	False	none	False	False	False	False	n	standard_advisor	False	
1197657421	wh2.battle.advice.final_battle_intro.001	1	1	Scripted	Advice	Scripted	0	0	0	False	False	False	none	False	False	False	False	n	standard_advisor	False	
1209266566	wh2.camp.advice.untainted_corruption.001	1	1	Scripted	Advice	Scripted	0	0	0	False	False	False	none	False	False	False	False	n	standard_advisor	False	
1217107518	war.camp.advice.quest.kroqgar.hand_of_gods.001	1	1	Campaign	Advice	Camera Fly-bys	0	0	0	False	False	False	none	False	False	False	False	n	standard_advisor	False	
122464715	wh2.camp.prelude.ft.002.def	1	1	Scripted	Scripted	Scripted	0	0	0	False	False	False	none	False	False	False	False	n	standard_advisor	False	
1230618316	wh2.camp.prelude.ft.022.def	1	1	Scripted	Scripted	Scripted	0	0	0	False	False	False	none	False	False	False	False	n	standard_advisor	False	
1237404650	wh2.camp.vortex.teclis.early_game.004	1	1	Campaign	Advice	Camera Fly-bys	0	0	0	False	False	False	none	False	False	False	False	n	faction_leader	False	
1239938283	wh2.camp.prelude.ft.030.skv	1	1	Scripted	Scripted	Scripted	0	0	0	False	False	False	none	False	False	False	False	n	standard_advisor	False	
1242366289	wh2.camp.vortex.advice.early_game.non_aggression_pacts.002	1	1	Campaign	Advice	Camera Fly-bys	0	0	0	False	False	False	none	False	False	False	False	n	standard_advisor	False	
1255400792	wh2.battle.advice.final_battle_mid.005	1	1	Scripted	Advice	Scripted	0	0	0	False	False	False	none	False	False	False	False	n	standard_advisor	False	
1271073751	war.camp.advice.race.wood_elves.001	1	1	Campaign	Advice	Camera Fly-bys	0	0	0	False	False	False	none	False	False	False	False	n	standard_advisor	False	
1273587657	wh2.camp.vortex.kroqgar.early_game.002	1	1	Campaign	Advice	Camera Fly-bys	0	0	0	False	False	False	none	False	False	False	False	n	faction_leader	False	
12788321	war.camp.advice.race.bretonnia.002	1	1	Campaign	Advice	Camera Fly-bys	0	0	0	False	False	False	none	False	False	False	False	n	standard_advisor	False	
128837092	wh2.camp.prelude.ft.002.lzd	1	1	Scripted	Scripted	Scripted	0	0	0	False	False	False	none	False	False	False	False	n	standard_advisor	False	
128886462	wh2.camp.vortex.kroqgar.intro.001	1	1	Campaign	Advice	Camera Fly-bys	0	0	0	False	False	False	none	False	False	False	False	n	faction_leader	False	
1289671237	wh2.camp.vortex.malekith.early_game.002	1	1	Campaign	Advice	Camera Fly-bys	0	0	0	False	False	False	none	False	False	False	False	n	faction_leader	False	
1294864382	wh2.camp.teclis.intro.002	1	1	Campaign	Advice	Camera Fly-bys	0	0	0	False	False	False	none	False	False	False	False	n	standard_advisor	False	
129526122	wh2.camp.vortex.advice.early_game.ritual_settlements.001	1	1	Campaign	Advice	Camera Fly-bys	0	0	0	False	False	False	none	False	False	False	False	n	standard_advisor	False	
1298191441	war.camp.advice.race.dark_elves.001	1	1	Campaign	Advice	Camera Fly-bys	0	0	0	False	False	False	none	False	False	False	False	n	standard_advisor	False	
1302035794	wh2.camp.vortex.advice.early_game.ritual_settlements.030	1	1	Campaign	Advice	Camera Fly-bys	0	0	0	False	False	False	none	False	False	False	False	n	standard_advisor	False	
1307559367	wh2.camp.advice.vortex_ritual.011	1	1	Scripted	Advice	Scripted	0	0	0	False	False	False	none	False	False	False	False	n	standard_advisor	False	
1307875030	wh2.camp.prelude.ft.002.skv	1	1	Scripted	Scripted	Scripted	0	0	0	False	False	False	none	False	False	False	False	n	standard_advisor	False	
1309086770	wh2.camp.advice.horned_rat.001	1	1	Scripted	Advice	Scripted	0	0	0	False	False	False	none	False	False	False	False	n	standard_advisor	False	
