agent_uniforms_tables
9
filename	uniform_name	battle_filename	campaign_porthole_filename	unknown4
wh2_main_campaign_def_ship_agent	wh2_main_campaign_def_ship_agent	wh2_main_campaign_def_ship_agent	wh2_main_campaign_def_ship_agent	False
wh2_main_def_ship_army	wh2_main_campaign_def_ship_army	wh2_main_def_ship_army	wh2_main_def_ship_army	False
wh2_main_campaign_hef_ship_agent	wh2_main_campaign_hef_ship_agent	wh2_main_campaign_hef_ship_agent	wh2_main_campaign_hef_ship_agent	False
wh2_main_campaign_hef_ship_transport	wh2_main_campaign_hef_ship_transport	wh2_main_campaign_hef_ship_transport	wh2_main_campaign_hef_ship_transport	False
wh2_main_campaign_lzd_ship_agent	wh2_main_campaign_lzd_ship_agent	wh2_main_campaign_lzd_ship_agent	wh2_main_campaign_lzd_ship_agent	False
wh2_main_campaign_lzd_ship_transport	wh2_main_campaign_lzd_ship_transport	wh2_main_campaign_lzd_ship_transport	wh2_main_campaign_lzd_ship_transport	False
wh2_main_campaign_skv_ship_agent	wh2_main_campaign_skv_ship_agent	wh2_main_campaign_skv_ship_agent	wh2_main_campaign_skv_ship_agent	False
wh2_main_campaign_skv_ship_transport	wh2_main_campaign_skv_ship_transport	wh2_main_campaign_skv_ship_transport	wh2_main_campaign_skv_ship_transport	False
wh2_main_def_black_ark	wh2_main_uniform_def_black_ark	wh2_main_def_black_ark	wh2_main_def_black_ark	False
wh2_main_def_death_hag_campaign_01	wh2_main_uniform_def_death_hag_01	wh2_main_def_death_hag_campaign_01	wh2_main_def_death_hag_campaign_01	False
wh2_main_def_death_hag_campaign_02	wh2_main_uniform_def_death_hag_02	wh2_main_def_death_hag_campaign_02	wh2_main_def_death_hag_campaign_02	False
wh2_main_def_death_hag_campaign_03	wh2_main_uniform_def_death_hag_03	wh2_main_def_death_hag_campaign_03	wh2_main_def_death_hag_campaign_03	False
wh2_main_def_dreadlord_campaign_01	wh2_main_uniform_def_dreadlord_01	wh2_main_def_dreadlord_campaign_01	wh2_main_def_dreadlord_campaign_01	False
wh2_main_def_dreadlord_campaign_02	wh2_main_uniform_def_dreadlord_02	wh2_main_def_dreadlord_campaign_02	wh2_main_def_dreadlord_campaign_02	False
wh2_main_def_dreadlord_campaign_03	wh2_main_uniform_def_dreadlord_03	wh2_main_def_dreadlord_campaign_03	wh2_main_def_dreadlord_campaign_03	False
wh2_main_def_dreadlord_female_campaign_01	wh2_main_uniform_def_dreadlord_fem_01	wh2_main_def_dreadlord_female_campaign_01	wh2_main_def_dreadlord_female_campaign_01	False
wh2_main_def_dreadlord_female_campaign_02	wh2_main_uniform_def_dreadlord_fem_02	wh2_main_def_dreadlord_female_campaign_02	wh2_main_def_dreadlord_female_campaign_02	False
wh2_main_def_dreadlord_female_campaign_03	wh2_main_uniform_def_dreadlord_fem_03	wh2_main_def_dreadlord_female_campaign_03	wh2_main_def_dreadlord_female_campaign_03	False
wh2_main_def_assassin_campaign_01	wh2_main_uniform_def_khainite_assassin_01	wh2_main_def_assassin_campaign_01	wh2_main_def_assassin_campaign_01	False
wh2_main_def_assassin_campaign_02	wh2_main_uniform_def_khainite_assassin_02	wh2_main_def_assassin_campaign_02	wh2_main_def_assassin_campaign_02	False
wh2_main_def_assassin_campaign_03	wh2_main_uniform_def_khainite_assassin_03	wh2_main_def_assassin_campaign_03	wh2_main_def_assassin_campaign_03	False
wh2_main_def_assassin_campaign_04	wh2_main_uniform_def_khainite_assassin_04	wh2_main_def_assassin_campaign_04	wh2_main_def_assassin_campaign_04	False
wh2_main_def_malekith	wh2_main_uniform_def_malekith	wh2_main_def_malekith	wh2_main_def_malekith	False
wh2_main_def_morathi	wh2_main_uniform_def_morathi	wh2_main_def_morathi	wh2_main_def_morathi	False
wh2_main_def_sorceress_campaign_01	wh2_main_uniform_def_sorceress_01	wh2_main_def_sorceress_campaign_01	wh2_main_def_sorceress_campaign_01	False
wh2_main_def_sorceress_campaign_02	wh2_main_uniform_def_sorceress_02	wh2_main_def_sorceress_campaign_02	wh2_main_def_sorceress_campaign_02	False
wh2_main_def_sorceress_campaign_03	wh2_main_uniform_def_sorceress_03	wh2_main_def_sorceress_campaign_03	wh2_main_def_sorceress_campaign_03	False
wh2_main_def_sorceress_campaign_04	wh2_main_uniform_def_sorceress_04	wh2_main_def_sorceress_campaign_04	wh2_main_def_sorceress_campaign_04	False
wh2_main_hef_loremaster_campaign_01	wh2_main_uniform_hef_loremaster_of_hoeth_01	wh2_main_hef_loremaster_campaign_01	wh2_main_hef_loremaster_campaign_01	False
wh2_main_hef_loremaster_campaign_02	wh2_main_uniform_hef_loremaster_of_hoeth_02	wh2_main_hef_loremaster_campaign_02	wh2_main_hef_loremaster_campaign_02	False
wh2_main_hef_loremaster_campaign_03	wh2_main_uniform_hef_loremaster_of_hoeth_03	wh2_main_hef_loremaster_campaign_03	wh2_main_hef_loremaster_campaign_03	False
wh2_main_hef_mage_campaign_01	wh2_main_uniform_hef_mage_01	wh2_main_hef_mage_campaign_01	wh2_main_hef_mage_campaign_01	False
wh2_main_hef_mage_campaign_02	wh2_main_uniform_hef_mage_02	wh2_main_hef_mage_campaign_02	wh2_main_hef_mage_campaign_02	False
wh2_main_hef_mage_campaign_03	wh2_main_uniform_hef_mage_03	wh2_main_hef_mage_campaign_03	wh2_main_hef_mage_campaign_03	False
wh2_main_hef_noble_campaign_01	wh2_main_uniform_hef_noble_01	wh2_main_hef_noble_campaign_01	wh2_main_hef_noble_campaign_01	False
wh2_main_hef_noble_campaign_02	wh2_main_uniform_hef_noble_02	wh2_main_hef_noble_campaign_02	wh2_main_hef_noble_campaign_02	False
wh2_main_hef_noble_campaign_03	wh2_main_uniform_hef_noble_03	wh2_main_hef_noble_campaign_03	wh2_main_hef_noble_campaign_03	False
wh2_main_hef_prince_campaign_01	wh2_main_uniform_hef_prince_01	wh2_main_hef_prince_campaign_01	wh2_main_hef_prince_campaign_01	False
wh2_main_hef_prince_campaign_02	wh2_main_uniform_hef_prince_02	wh2_main_hef_prince_campaign_02	wh2_main_hef_prince_campaign_02	False
wh2_main_hef_prince_campaign_03	wh2_main_uniform_hef_prince_03	wh2_main_hef_prince_campaign_03	wh2_main_hef_prince_campaign_03	False
wh2_main_hef_prince_campaign_04	wh2_main_uniform_hef_prince_04	wh2_main_hef_prince_campaign_04	wh2_main_hef_prince_campaign_04	False
wh2_main_hef_alastair	wh2_main_uniform_hef_prince_alastair	wh2_main_hef_alastair	wh2_main_hef_alastair	False
wh2_main_hef_alastair_rider	wh2_main_uniform_hef_prince_alastair_rider	wh2_main_hef_alastair_rider	wh2_main_hef_alastair	False
wh2_main_hef_princess_campaign_01	wh2_main_uniform_hef_princess_01	wh2_main_hef_princess_campaign_01	wh2_main_hef_princess_campaign_01	False
wh2_main_hef_princess_campaign_02	wh2_main_uniform_hef_princess_02	wh2_main_hef_princess_campaign_02	wh2_main_hef_princess_campaign_02	False
