ancillaries_categories_faction_junctions_tables
1
allowed_per_character	ancillary_category	faction
1	arcane_item	
0	arcane_item	wh2_main_dwf_greybeards_prospectors
0	arcane_item	wh2_main_dwf_karak_zorn
0	arcane_item	wh2_main_dwf_spine_of_sotek_dwarfs
0	arcane_item	wh_dlc05_dwf_mini_karak_ziflin
0	arcane_item	wh_main_dwf_barak_varr
0	arcane_item	wh_main_dwf_dwarf_rebels
0	arcane_item	wh_main_dwf_dwarfs
0	arcane_item	wh_main_dwf_dwarfs_qb1
0	arcane_item	wh_main_dwf_dwarfs_qb2
0	arcane_item	wh_main_dwf_dwarfs_qb3
0	arcane_item	wh_main_dwf_dwarfs_qb4
0	arcane_item	wh_main_dwf_karak_azul
0	arcane_item	wh_main_dwf_karak_hirn
0	arcane_item	wh_main_dwf_karak_izor
0	arcane_item	wh_main_dwf_karak_kadrin
0	arcane_item	wh_main_dwf_karak_norn
0	arcane_item	wh_main_dwf_karak_ziflin
0	arcane_item	wh_main_dwf_kraka_drak
0	arcane_item	wh_main_dwf_zhufbar
1	armour	
1	enchanted_item	
6	general	
1	mount	
1	talisman	
1	weapon	
