animation_set_prebattle_group_junctions_tables
0
unknown0	unknown1
cam_agent_ship_01	default
cam_agent_ship_02	default
cam_bc2_griffon	large
cam_bc2b_hippogryph	large
cam_bc3_manticore	enormous
cam_bch1_grn_warboss_boar_chariot	chariots
cam_beastmen_ship01	default
cam_bi1_eagle	large
cam_bi2_wyvern	enormous
cam_black_ark_01	default
cam_bo1_warboar	default_mounted
cam_ce02_dragon_orgre_2handed_axe	enormous
cam_dr1_dragon	dragon
cam_dr1b_chaos_dragon	dragon
cam_gh1_ghost	default
cam_heavy_ship_01	default
cam_heavy_ship_02	default
cam_heavy_ship_03	default
cam_heavy_ship_04	default
cam_hero_bi3_terradon	large
cam_hero_hu1b_elf_rp3_cold_one_staff_and_sword	default_mounted
cam_hero_hu1b_elf_wm_tiranoc_chariot_01_staff_and_sword	chariots
cam_hero_hu1d_elf_2handed_sword	default
cam_hero_hu1d_elf_halberd	default
cam_hero_hu1d_elf_hr1_warhorse_halberd	default_mounted
cam_hero_hu1d_elf_sword_and_handbow	default
cam_hero_hu1d_elf_wm_tiranoc_chariot01_halberd	chariots
cam_hero_hu7_skink_bi3_terradon_wb_club_blowpipe	large
cam_hero_hu7_skink_bi3_terradon_wb_staff_and_club	large
cam_hero_hu7_skink_club_and_blowpipe	small
cam_hero_hu7_skink_hq1_stegadon_staff_and_club	enormous
cam_hero_hu7_skink_staff_and_club	small
cam_hero_hu7b_saurus_rp3_cold_one_spear_and_shield	default_mounted
cam_hero_wm_tiranoc_chariot_01	chariots
cam_hr1_pegasus	default_mounted
cam_hr1_warhorse	default_mounted
cam_hu12_minotaur_2handed_axe	big_characters
cam_hu17_skaven_censer	default
cam_hu17_skaven_dual_sword	default
cam_hu17_skaven_staff_and_sword	default
cam_hu1_arch_lector_dual_hammer	default
cam_hu1_bretonnian_bc2b_hippogryph_wb_lance_sword_shield	large
cam_hu1_bretonnian_bc2b_hippogryph_wb_sword_shield	large
cam_hu1_bretonnian_hr1_pegasus_lancer	default_mounted
cam_hu1_empire_bc2_griffon_wb_lance_sword_shield	large
cam_hu1_empire_bc2_wb_griffon_hammer	large
cam_hu1_empire_dr1_dragon_wb_sword_and_shield	dragon
cam_hu1_empire_hammer	default
cam_hu1_empire_hammer_and_book	default
cam_hu1_empire_hr1_pegasus_sword_and_shield	default_mounted
cam_hu1_empire_hr1_warhorse_hammer	default_mounted
cam_hu1_empire_hr1_warhorse_hammer_and_book	default_mounted
cam_hu1_empire_hr1_warhorse_lance_sword_shield	default_mounted
cam_hu1_empire_hr1_warhorse_staff_and_sword	default_mounted
cam_hu1_empire_hr1_warhorse_sword	default_mounted
cam_hu1_empire_staff_and_sword	default
cam_hu1_empire_sword	default
cam_hu1_empire_sword_and_pistol	default
cam_hu1_empire_sword_and_shield	default
cam_hu1_empire_war_altar_staff_and_sword	corpse_cart
cam_hu1_empire_wm_corpsecart01_staff_and_sword	corpse_cart
cam_hu1_leoncoeur_bc2b_hippogryph_wb_sword_shield	large
cam_hu1_leoncoeur_hr1_pegasus_sword_and_shield	default_mounted
cam_hu1_leoncoeur_hr1_warhorse_lance_sword_shield	default_mounted
cam_hu1_leoncoeur_sword_and_shield	default
cam_hu1_vlad_sword	default
cam_hu1_volkmar_staff_and_hammer	default
cam_hu1b_bretonnian_hr1_warhorse_staff_and_sword	default_mounted
cam_hu1b_bretonnian_staff_and_sword	default
cam_hu1b_bretonnian_sword_and_chalice	default
cam_hu1b_elf_spellsinger	default
cam_hu1b_elf_spellsinger_bi1_eagle	large
cam_hu1b_elf_spellsinger_hr1_warhorse	default_mounted
cam_hu1b_elf_sword_and_bow	default
cam_hu1b_elf_sword_and_bow_bi1_eagle_sword_and_bow	large
