army_special_abilities_tables
2
unknown0	unknown1	unknown2	unknown3	unknown4
wh2_main_army_abilities_bloodwrack_cauldron	wh2_main_army_abilities_bloodwrack_cauldron	76		0
wh2_main_army_abilities_bolt_of_spite	wh2_main_army_abilities_bolt_of_spite	84		0
wh2_main_army_abilities_brazen_cauldron	wh2_main_army_abilities_brazen_cauldron	62		0
wh2_main_army_abilities_channeling_spire	wh2_main_army_abilities_channeling_spire	211770093		0
wh2_main_army_abilities_dark_conduit	wh2_main_army_abilities_dark_conduit	487601050		0
wh2_main_army_abilities_eagle_sanctuary	wh2_main_army_abilities_eagle_sanctuary	41480480		0
wh2_main_army_abilities_eshin_clanstone	wh2_main_army_abilities_eshin_clanstone	16556503		0
wh2_main_army_abilities_feral_cold_ones	wh2_main_army_abilities_feral_cold_ones	889702284		0
wh2_main_army_abilities_geomantic_nexus	wh2_main_army_abilities_geomantic_nexus	1945700588		0
wh2_main_army_abilities_heal_splosion	wh2_main_army_abilities_vortic_enrichment	1701168890		0
wh2_main_army_abilities_holy_stela	wh2_main_army_abilities_holy_stela	504788177		0
wh2_main_army_abilities_khaines_flail	wh2_main_army_abilities_khaines_flail	53		0
wh2_main_army_abilities_khaines_lash	wh2_main_army_abilities_khaines_lash	30		0
wh2_main_army_abilities_khaines_scourge	wh2_main_army_abilities_khaines_scourge	64		0
wh2_main_army_abilities_lure_of_the_pale_queen	wh2_main_army_abilities_lure_of_the_pale_queen	411757914		0
wh2_main_army_abilities_mors_clanstone	wh2_main_army_abilities_mors_clanstone	817573956		0
wh2_main_army_abilities_moulder_clanstone	wh2_main_army_abilities_moulder_clanstone	1346584156		0
wh2_main_army_abilities_pestilens_clanstone	wh2_main_army_abilities_pestilens_clanstone	488546543		0
wh2_main_army_abilities_shadows_of_anlec	wh2_main_army_abilities_shadows_of_anlec	29071372		0
wh2_main_army_abilities_skaven_bomb	wh2_main_army_abilities_vortic_blast	2066870953		0
wh2_main_army_abilities_sky_cauldron	wh2_main_army_abilities_sky_cauldron	46		0
wh2_main_army_abilities_skyre_clanstone	wh2_main_army_abilities_skyre_clanstone	1671267645		0
wh2_main_army_abilities_soul_rain	wh2_main_army_abilities_soul_rain	36		0
wh2_main_army_abilities_soul_storm	wh2_main_army_abilities_soul_storm	71		0
wh2_main_army_abilities_soul_torrent	wh2_main_army_abilities_soul_torrent	55		0
wh2_main_army_abilities_temple_of_mists	wh2_main_army_abilities_temple_of_mists	1555958348		0
wh2_main_army_abilities_the_menace_below	wh2_main_army_abilities_the_menace_below	749510796		0
wh2_main_army_abilities_vauls_hammer	wh2_main_army_abilities_vauls_hammer	1341892182		16777216
wh2_main_army_abilities_warpbomb	wh2_main_army_abilities_warpbomb	11739743		0
