audio_abilities_tables
5
unknown0	unknown1	unknown2	unknown3	unknown4	unknown5	unknown6	unknown7	unknown8	unknown9	unknown10	unknown11	unknown12	unknown13	unknown14	unknown15
wh2_main_spell_dark_magic_bladewind	UI_BAT_SABL_Spell_Dark_Magic_Bladewind_Enable		UI_BAT_SABL_Generic_Targetting_Start	UI_BAT_SABL_Generic_Targetting_Stop	Play_WH_UI_Ability_Click_Generic_Dark_Magic		False	100	False	False		False	100	False	False
wh2_main_spell_dark_magic_bladewind_upgraded	UI_BAT_SABL_Spell_Dark_Magic_Bladewind_Upgraded_Enable		UI_BAT_SABL_Generic_Targetting_Start	UI_BAT_SABL_Generic_Targetting_Stop	Play_WH_UI_Ability_Click_Generic_Dark_Magic		False	100	False	False		False	100	False	False
wh2_main_spell_dark_magic_chillwind	UI_BAT_SABL_Spell_Dark_Magic_Chillwind_Enable		UI_BAT_SABL_Generic_Targetting_Start	UI_BAT_SABL_Generic_Targetting_Stop	Play_WH_UI_Ability_Click_Generic_Dark_Magic		False	100	False	False	Battle_IND_Magic_Dark_Chillwind_Incoming	False	100	True	False
wh2_main_spell_dark_magic_chillwind_upgraded	UI_BAT_SABL_Spell_Dark_Magic_Chillwind_Upgraded_Enable		UI_BAT_SABL_Generic_Targetting_Start	UI_BAT_SABL_Generic_Targetting_Stop	Play_WH_UI_Ability_Click_Generic_Dark_Magic		False	100	False	False	Battle_IND_Magic_Dark_Chillwind_Incoming	False	100	True	False
wh2_main_spell_dark_magic_doombolt	UI_BAT_SABL_Spell_Dark_Magic_Doombolt_Enable		UI_BAT_SABL_Generic_Targetting_Start	UI_BAT_SABL_Generic_Targetting_Stop	Play_WH_UI_Ability_Click_Generic_Dark_Magic		False	100	False	False		False	100	False	False
wh2_main_spell_dark_magic_doombolt_upgraded	UI_BAT_SABL_Spell_Dark_Magic_Doombolt_Upgraded_Enable		UI_BAT_SABL_Generic_Targetting_Start	UI_BAT_SABL_Generic_Targetting_Stop	Play_WH_UI_Ability_Click_Generic_Dark_Magic		False	100	False	False		False	100	False	False
wh2_main_spell_dark_magic_power_of_darkness	UI_BAT_SABL_Spell_Dark_Magic_Power_Of_Darkness_Enable		UI_BAT_SABL_Generic_Targetting_Start	UI_BAT_SABL_Generic_Targetting_Stop	Play_WH_UI_Ability_Click_Generic_Dark_Magic		False	100	False	False		False	100	False	False
wh2_main_spell_dark_magic_power_of_darkness_upgraded	UI_BAT_SABL_Spell_Dark_Magic_Power_Of_Darkness_Upgraded_Enable		UI_BAT_SABL_Generic_Targetting_Start	UI_BAT_SABL_Generic_Targetting_Stop	Play_WH_UI_Ability_Click_Generic_Dark_Magic		False	100	False	False		False	100	False	False
wh2_main_spell_dark_magic_soul_stealer	UI_BAT_SABL_Spell_Dark_Magic_Soul_Stealer_Enable		UI_BAT_SABL_Generic_Targetting_Start	UI_BAT_SABL_Generic_Targetting_Stop	Play_WH_UI_Ability_Click_Generic_Dark_Magic		False	100	False	False		False	100	False	False
wh2_main_spell_dark_magic_soul_stealer_upgraded	UI_BAT_SABL_Spell_Dark_Magic_Soul_Stealer_Upgraded_Enable		UI_BAT_SABL_Generic_Targetting_Start	UI_BAT_SABL_Generic_Targetting_Stop	Play_WH_UI_Ability_Click_Generic_Dark_Magic		False	100	False	False		False	100	False	False
wh2_main_spell_dark_magic_word_of_pain	UI_BAT_SABL_Spell_Dark_Magic_Word_Of_Pain_Enable		UI_BAT_SABL_Generic_Targetting_Start	UI_BAT_SABL_Generic_Targetting_Stop	Play_WH_UI_Ability_Click_Generic_Dark_Magic		False	100	False	False		False	100	False	False
wh2_main_spell_dark_magic_word_of_pain_upgraded	UI_BAT_SABL_Spell_Dark_Magic_Word_Of_Pain_Upgraded_Enable		UI_BAT_SABL_Generic_Targetting_Start	UI_BAT_SABL_Generic_Targetting_Stop	Play_WH_UI_Ability_Click_Generic_Dark_Magic		False	100	False	False		False	100	False	False
wh2_main_spell_high_magic_apotheosis	UI_BAT_SABL_Spell_High_Magic_Apotheosis_Enable		UI_BAT_SABL_Generic_Targetting_Start	UI_BAT_SABL_Generic_Targetting_Stop	Play_WH_UI_Ability_Click_Generic_High_Magic		False	100	False	False		False	100	False	False
wh2_main_spell_high_magic_apotheosis_upgraded	UI_BAT_SABL_Spell_High_Magic_Apotheosis_Upgraded_Enable		UI_BAT_SABL_Generic_Targetting_Start	UI_BAT_SABL_Generic_Targetting_Stop	Play_WH_UI_Ability_Click_Generic_High_Magic		False	100	False	False		False	100	False	False
wh2_main_spell_high_magic_arcane_unforging	UI_BAT_SABL_Spell_High_Magic_Arcane_Unforging_Enable		UI_BAT_SABL_Generic_Targetting_Start	UI_BAT_SABL_Generic_Targetting_Stop	Play_WH_UI_Ability_Click_Generic_High_Magic		False	100	False	False		False	100	False	False
wh2_main_spell_high_magic_arcane_unforging_upgraded	UI_BAT_SABL_Spell_High_Magic_Arcane_Unforging_Upgraded_Enable		UI_BAT_SABL_Generic_Targetting_Start	UI_BAT_SABL_Generic_Targetting_Stop	Play_WH_UI_Ability_Click_Generic_High_Magic		False	100	False	False		False	100	False	False
wh2_main_spell_high_magic_fiery_convocation	UI_BAT_SABL_Spell_High_Magic_Fiery_Convocation_Enable		UI_BAT_SABL_Generic_Targetting_Start	UI_BAT_SABL_Generic_Targetting_Stop	Play_WH_UI_Ability_Click_Generic_High_Magic		False	100	False	False		False	100	False	False
wh2_main_spell_high_magic_fiery_convocation_upgraded	UI_BAT_SABL_Spell_High_Magic_Fiery_Convocation_Upgraded_Enable		UI_BAT_SABL_Generic_Targetting_Start	UI_BAT_SABL_Generic_Targetting_Stop	Play_WH_UI_Ability_Click_Generic_High_Magic		False	100	False	False		False	100	False	False
wh2_main_spell_high_magic_hand_of_glory	UI_BAT_SABL_Spell_High_Magic_Hand_Of_Glory_Enable		UI_BAT_SABL_Generic_Targetting_Start	UI_BAT_SABL_Generic_Targetting_Stop	Play_WH_UI_Ability_Click_Generic_High_Magic		False	100	False	False		False	100	False	False
wh2_main_spell_high_magic_hand_of_glory_upgraded	UI_BAT_SABL_Spell_High_Magic_Hand_Of_Glory_Upgraded_Enable		UI_BAT_SABL_Generic_Targetting_Start	UI_BAT_SABL_Generic_Targetting_Stop	Play_WH_UI_Ability_Click_Generic_High_Magic		False	100	False	False		False	100	False	False
wh2_main_spell_high_magic_soul_quench	UI_BAT_SABL_Spell_High_Magic_Soul_Quench_Enable		UI_BAT_SABL_Generic_Targetting_Start	UI_BAT_SABL_Generic_Targetting_Stop	Play_WH_UI_Ability_Click_Generic_High_Magic		False	100	False	False		False	100	False	False
