audio_ability_phases_tables
1
unknown0	unknown1	unknown2	unknown3	unknown4	unknown5	unknown6	unknown7
wh2_main_ability_amulet_of_itzl_group	wh2_main_ability_amulet_of_itzl	300			True	False	True
wh2_main_ability_armour_of_the_stars_group	wh2_main_ability_armour_of_the_stars	300			True	False	True
	wh2_main_ability_channeling_spire	300	Battle_IND_Magic_Mors_Clanstone_Loop_Start	Battle_IND_Magic_Mors_Clanstone_Loop_Stop	True	False	True
wh2_main_ability_cold_blooded_group	wh2_main_ability_cold_blooded	300			True	False	True
	wh2_main_ability_eshin_clanstone	300	Battle_IND_Magic_Eshin_Clanstone_Loop_Start	Battle_IND_Magic_Eshin_Clanstone_Loop_Stop	True	False	True
	wh2_main_ability_holy_stela	300	Battle_IND_Magic_Holy_Stela_Loop_Start	Battle_IND_Magic_Holy_Stela_Loop_Stop	True	False	False
	wh2_main_ability_mors_clanstone	300	Battle_IND_Magic_Mors_Clanstone_Loop_Start	Battle_IND_Magic_Mors_Clanstone_Loop_Stop	True	False	True
	wh2_main_ability_moulder_clanstone	300	Battle_IND_Magic_Moulder_Clanstone_Loop_Start	Battle_IND_Magic_Moulder_Clanstone_Loop_Stop	True	False	True
wh2_main_ability_murderous_prowess_group	wh2_main_ability_murderous_prowess	350			True	False	True
	wh2_main_ability_pestilens_clanstone	300	Battle_IND_Magic_Pestilens_Clanstone_Loop_Start	Battle_IND_Magic_Pestilens_Clanstone_Loop_Stop	True	False	True
wh2_main_ability_plaque_of_dominion_group	wh2_main_ability_plaque_of_dominion	300			True	False	True
wh2_main_ability_scrying_stone_group	wh2_main_ability_scrying_stone	300			True	False	True
wh2_main_ability_shield_of_the_old_ones_group	wh2_main_ability_shield_of_the_old_ones	300			True	False	True
	wh2_main_ability_skyre_clanstone	300	Battle_IND_Magic_Skyre_Clanstone_Loop_Start	Battle_IND_Magic_Skyre_Clanstone_Loop_Stop	True	False	True
	wh2_main_ability_temple_of_mists	300	Battle_IND_Magic_Temple_Of_Mists_Loop_Start	Battle_IND_Magic_Temple_Of_Mists_Loop_Stop	True	False	False
wh2_main_spell_high_magic_apotheosis	wh2_main_spell_high_magic_apotheosis	700			True	False	True
wh2_main_spell_high_magic_arcane_unforging	wh2_main_spell_high_magic_arcane_unforging	700			True	False	True
wh2_main_spell_high_magic_hand_of_glory	wh2_main_spell_high_magic_hand_of_glory	700			True	False	True
wh2_main_spell_high_magic_soul_quench_tail	wh2_main_spell_high_magic_soul_quench_tail	700			True	False	True
wh2_main_spell_plague_bless_with_filth	wh2_main_spell_plague_bless_with_filth	700			True	False	True
wh2_main_spell_plague_wither	wh2_main_spell_plague_wither	700			True	False	True
wh2_main_unit_abilities_concealment_bombs_group	wh2_main_unit_abilities_concealment_bombs	300			True	False	True
wh2_main_unit_abilities_snare_net	wh2_main_unit_abilities_snare_net	700			True	False	False
wh_ability_negative_group	wh_ability_negative	300			True	False	True
	wh_ability_negative_banner	300	Battle_IND_Magic_Generic_Debuff_Loop_Start	Battle_IND_Magic_Generic_Debuff_Loop_Stop	True	False	False
	wh_ability_negative_one_shot	300	Battle_IND_Magic_Generic_Debuff_One_Shot		True	False	False
wh_ability_positive_group	wh_ability_positive	300			True	False	True
	wh_ability_positive_banner	300	Battle_IND_Magic_Generic_Buff_Loop_Start	Battle_IND_Magic_Generic_Buff_Loop_Stop	True	False	False
	wh_ability_positive_one_shot	300	Battle_IND_Magic_Generic_Buff_One_Shot		True	False	False
wh_dlc03_spell_beasts_curse_of_anraheir	wh_dlc03_spell_beasts_curse_of_anraheir	0			True	False	True
wh_dlc03_spell_beasts_flock_of_doom	wh_dlc03_spell_beasts_flock_of_doom	0			True	False	False
wh_dlc03_spell_beasts_panns_impenetrable_pelt	wh_dlc03_spell_beasts_panns_impenetrable_pelt	0			True	False	True
wh_dlc03_spell_beasts_wyssans_wildform	wh_dlc03_spell_beasts_wyssans_wildform	0			True	False	True
wh_dlc03_spell_wild_devolve	wh_dlc03_spell_wild_devolve	0			True	False	True
wh_dlc03_spell_wild_mantle_of_ghorok	wh_dlc03_spell_wild_mantle_of_ghorok	0			True	False	True
wh_dlc03_spell_wild_traitor_kin	wh_dlc03_spell_wild_traitor_kin	0			True	False	True
	wh_dlc04_unit_abilities_vigour_mortis	0			True	False	False
wh_dlc05_ability_shadows_coil	wh_dlc05_ability_shadows_coil	0			True	False	False
wh_dlc05_spell_life_earth_blood	wh_dlc05_spell_life_earth_blood	0			True	False	True
wh_dlc05_spell_life_flesh_to_stone	wh_dlc05_spell_life_flesh_to_stone	0			True	False	True
wh_dlc05_spell_life_regrowth	wh_dlc05_spell_life_regrowth	0			True	False	True
wh_dlc05_spell_life_shield_of_thorns	wh_dlc05_spell_life_shield_of_thorns	0			True	False	True
wh_dlc05_spell_shadow_melkoths_mystifying_miasma	wh_dlc05_spell_shadow_melkoths_mystifying_miasma	0			True	False	True
