audio_battle_environments_tables
1
unknown0	unknown1	unknown2	unknown3	unknown4	unknown5
Generic_Water_Percentage	False	beastmen		Generic_Forest_Percentage	Generic_Urban_Percentage
Generic_Water_Percentage	False	cave		Generic_Forest_Percentage	Generic_Urban_Percentage
Generic_Water_Percentage	False	chaos		Generic_Forest_Percentage	Generic_Urban_Percentage
Generic_Water_Percentage	False	dark_elves_beach		Generic_Forest_Percentage	Generic_Urban_Percentage
Generic_Water_Percentage	False	dark_elves_cold		Generic_Forest_Percentage	Generic_Urban_Percentage
Generic_Water_Percentage	False	dark_elves_desert		Generic_Forest_Percentage	Generic_Urban_Percentage
Generic_Water_Percentage	False	dark_elves_hills		Generic_Forest_Percentage	Generic_Urban_Percentage
Generic_Water_Percentage	False	dark_elves_marsh		Generic_Forest_Percentage	Generic_Urban_Percentage
Generic_Water_Percentage	False	dark_elves_qb_altar_of_darkness		Generic_Forest_Percentage	Generic_Urban_Percentage
Generic_Water_Percentage	False	dark_elves_volcanic		Generic_Forest_Percentage	Generic_Urban_Percentage
Generic_Water_Percentage	False	dwarf		Generic_Forest_Percentage	Generic_Urban_Percentage
Generic_Water_Percentage	True	empire		Generic_Forest_Percentage	Generic_Urban_Percentage
Generic_Water_Percentage	False	greenskin		Generic_Forest_Percentage	Generic_Urban_Percentage
Generic_Water_Percentage	False	high_elves_beach		Generic_Forest_Percentage	Generic_Urban_Percentage
Generic_Water_Percentage	False	high_elves_hills		Generic_Forest_Percentage	Generic_Urban_Percentage
Generic_Water_Percentage	False	high_elves_qb_arnheim		Generic_Forest_Percentage	Generic_Urban_Percentage
Generic_Water_Percentage	False	high_elves_qb_tower_of_hoeth		Generic_Forest_Percentage	Generic_Urban_Percentage
Generic_Water_Percentage	False	lizardmen_jungle		Generic_Forest_Percentage	Generic_Urban_Percentage
Generic_Water_Percentage	False	lizardmen_mountain		Generic_Forest_Percentage	Generic_Urban_Percentage
Generic_Water_Percentage	False	lizardmen_qb_crimson_skull		Generic_Forest_Percentage	Generic_Urban_Percentage
Generic_Water_Percentage	False	lizardmen_qb_fallen_gates		Generic_Forest_Percentage	Generic_Urban_Percentage
Generic_Water_Percentage	False	lizardmen_qb_mosquito_swamp		Generic_Forest_Percentage	Generic_Urban_Percentage
Generic_Water_Percentage	False	lizardmen_swamp		Generic_Forest_Percentage	Generic_Urban_Percentage
Generic_Water_Percentage	False	nordic		Generic_Forest_Percentage	Generic_Urban_Percentage
Generic_Water_Percentage	False	skaven_cavern		Generic_Forest_Percentage	Generic_Urban_Percentage
Generic_Water_Percentage	False	skaven_desert		Generic_Forest_Percentage	Generic_Urban_Percentage
Generic_Water_Percentage	False	skaven_marsh		Generic_Forest_Percentage	Generic_Urban_Percentage
Generic_Water_Percentage	False	vampire		Generic_Forest_Percentage	Generic_Urban_Percentage
Generic_Water_Percentage	False	wood_elves_autumn		Generic_Forest_Percentage	Generic_Urban_Percentage
Generic_Water_Percentage	False	wood_elves_generic		Generic_Forest_Percentage	Generic_Urban_Percentage
Generic_Water_Percentage	False	wood_elves_night		Generic_Forest_Percentage	Generic_Urban_Percentage
Generic_Water_Percentage	False	wood_elves_winter		Generic_Forest_Percentage	Generic_Urban_Percentage
