audio_campaign_buildings_tables
0
unknown0	unknown1	unknown2	unknown3	unknown4	unknown5	unknown6	unknown7	unknown8	unknown9	unknown10
wh2_cam_settlement_capital_darkelves	Campaign_Environment_Dark_Elves_Settlement_Capital_Play	Campaign_Environment_Dark_Elves_Settlement_Capital_Stop	True	True		2	4	True	True	Campaign_Environment_Dark_Elves_Settlement_Capital_Selection_Play
wh2_cam_settlement_capital_highelves	Campaign_Environment_High_Elves_Settlement_Capital_Play	Campaign_Environment_High_Elves_Settlement_Capital_Stop	True	True		2	4	True	True	Campaign_Environment_High_Elves_Settlement_Capital_Selection_Play
wh2_cam_settlement_capital_lizardmen	Campaign_Environment_Lizardmen_Settlement_Capital_Play	Campaign_Environment_Lizardmen_Settlement_Capital_Stop	True	True		2	4	True	True	Campaign_Environment_Lizardmen_Settlement_Capital_Selection_Play
wh2_cam_settlement_capital_savage	Campaign_Environment_Greenskin_Settlement_Capital_Play	Campaign_Environment_Greenskin_Settlement_Capital_Stop	True	True		2	4	True	True	Campaign_Environment_Greenskin_Settlement_Selection
wh2_cam_settlement_capital_skaven	Campaign_Environment_Skaven_Settlement_Capital_Play	Campaign_Environment_Skaven_Settlement_Capital_Stop	True	True		2	4	True	True	Campaign_Environment_Skaven_Settlement_Capital_Selection_Play
wh2_cam_settlement_capital_tombkings	Campaign_Environment_Generic_Ruin_Settlement_Loop_Play	Campaign_Environment_Generic_Ruin_Settlement_Loop_Stop	True	True		2	4	True	True	Campaign_Environment_Generic_Ruin_Settlement_Selection
wh2_cam_settlement_major_generic	Campaign_Environment_Generic_Settlement_Loop_Play	Campaign_Environment_Generic_Settlement_Loop_Stop	True	True		2	4	True	True	Campaign_Environment_Generic_Settlement_Selection
wh_cam_resource_farming			True	True		2	4	True	True	
wh_cam_resource_lumber_mill			True	True		2	4	True	True	
wh_cam_resource_mining			True	True		2	4	True	True	
wh_cam_resource_quarry			True	True		2	4	True	True	
wh_cam_resource_vineyard			True	True		2	4	True	True	
wh_cam_resource_worshop			True	True		2	4	True	True	
wh_cam_settlement_capital_bretonnia	Campaign_Environment_Bretonnia_Settlement_Capital_Play	Campaign_Environment_Bretonnia_Settlement_Capital_Stop	True	True		2	4	True	True	Campaign_Environment_Bretonnia_Settlement_Selection
wh_cam_settlement_capital_chaos	Campaign_Environment_Chaos_Settlement_Capital_Play	Campaign_Environment_Chaos_Settlement_Capital_Stop	True	True		2	4	True	True	Campaign_Environment_Beastmen_Settlement_Selection
wh_cam_settlement_capital_dwarf	Campaign_Environment_Dwarf_Settlement_Capital_Play	Campaign_Environment_Dwarf_Settlement_Capital_Stop	True	True		2	4	True	True	Campaign_Environment_Dwarf_Settlement_Selection
wh_cam_settlement_capital_empire	Campaign_Environment_Empire_Settlement_Capital_Play	Campaign_Environment_Empire_Settlement_Capital_Stop	True	True		2	4	True	True	Campaign_Environment_Empire_Settlement_Selection
wh_cam_settlement_capital_greenskin	Campaign_Environment_Greenskin_Settlement_Capital_Play	Campaign_Environment_Greenskin_Settlement_Capital_Stop	True	True		2	4	True	True	Campaign_Environment_Greenskin_Settlement_Selection
wh_cam_settlement_capital_nordic	Campaign_Environment_Nordic_Settlement_Capital_Play	Campaign_Environment_Nordic_Settlement_Capital_Stop	True	True		2	4	True	True	Campaign_Environment_Nordic_Settlement_Selection
wh_cam_settlement_capital_rogue	Campaign_Environment_Greenskin_Settlement_Capital_Play	Campaign_Environment_Greenskin_Settlement_Capital_Stop	True	True		2	4	True	True	Campaign_Environment_Greenskin_Settlement_Selection
wh_cam_settlement_capital_vampire	Campaign_Environment_Vampire_Settlement_Capital_Play	Campaign_Environment_Vampire_Settlement_Capital_Stop	True	True		2	4	True	True	Campaign_Environment_Vampire_Settlement_Selection
wh_cam_settlement_darkelves_port	Campaign_Environment_Dark_Elves_Settlement_Port_Play	Campaign_Environment_Dark_Elves_Settlement_Port_Stop	True	True		2	4	True	True	Campaign_Environment_Dark_Elves_Settlement_Port_Selection_Play
wh_cam_settlement_generic_port	Campaign_Environment_Generic_Port_Settlement_Loop_Play	Campaign_Environment_Generic_Port_Settlement_Loop_Stop	True	True		2	4	True	True	Campaign_Environment_Generic_Port_Settlement_Selection
wh_cam_settlement_generic_ruin	Campaign_Environment_Generic_Ruin_Settlement_Loop_Play	Campaign_Environment_Generic_Ruin_Settlement_Loop_Stop	True	True		2	4	True	True	Campaign_Environment_Generic_Ruin_Settlement_Selection
wh_cam_settlement_highelves_port	Campaign_Environment_High_Elves_Settlement_Port_Play	Campaign_Environment_High_Elves_Settlement_Port_Stop	True	True		2	4	True	True	Campaign_Environment_High_Elves_Settlement_Port_Selection_Play
wh_cam_settlement_lizardmen_port	Campaign_Environment_Lizardmen_Settlement_Port_Play	Campaign_Environment_Lizardmen_Settlement_Port_Stop	True	True		2	4	True	True	Campaign_Environment_Lizardmen_Settlement_Port_Selection_Play
wh_cam_settlement_major_bretonnia	Campaign_Environment_Bretonnia_Settlement_Major_Play	Campaign_Environment_Bretonnia_Settlement_Major_Stop	True	True		2	4	True	True	Campaign_Environment_Bretonnia_Settlement_Selection
wh_cam_settlement_major_chaos	Campaign_Environment_Chaos_Settlement_Major_Play	Campaign_Environment_Chaos_Settlement_Major_Stop	True	True		2	4	True	True	Campaign_Environment_Chaos_Settlement_Selection
wh_cam_settlement_major_darkelves	Campaign_Environment_Dark_Elves_Settlement_Major_Play	Campaign_Environment_Dark_Elves_Settlement_Major_Stop	True	True		2	4	True	True	Campaign_Environment_Dark_Elves_Settlement_Major_Selection_Play
wh_cam_settlement_major_dwarf	Campaign_Environment_Dwarf_Settlement_Major_Play	Campaign_Environment_Dwarf_Settlement_Major_Stop	True	True		2	4	True	True	Campaign_Environment_Dwarf_Settlement_Selection
wh_cam_settlement_major_empire	Campaign_Environment_Empire_Settlement_Major_Play	Campaign_Environment_Empire_Settlement_Major_Stop	True	True		2	4	True	True	Campaign_Environment_Empire_Settlement_Selection
wh_cam_settlement_major_greenskin	Campaign_Environment_Greenskin_Settlement_Major_Play	Campaign_Environment_Greenskin_Settlement_Major_Stop	True	True		2	4	True	True	Campaign_Environment_Greenskin_Settlement_Selection
wh_cam_settlement_major_highelves	Campaign_Environment_High_Elves_Settlement_Major_Play	Campaign_Environment_High_Elves_Settlement_Major_Stop	True	True		2	4	True	True	Campaign_Environment_High_Elves_Settlement_Major_Selection_Play
wh_cam_settlement_major_lizardmen	Campaign_Environment_Lizardmen_Settlement_Major_Play	Campaign_Environment_Lizardmen_Settlement_Major_Stop	True	True		2	4	True	True	Campaign_Environment_Lizardmen_Settlement_Major_Selection_Play
wh_cam_settlement_major_nordic	Campaign_Environment_Nordic_Settlement_Major_Play	Campaign_Environment_Nordic_Settlement_Major_Stop	True	True		2	4	True	True	Campaign_Environment_Nordic_Settlement_Selection
wh_cam_settlement_major_rogue	Campaign_Environment_Greenskin_Settlement_Major_Play	Campaign_Environment_Greenskin_Settlement_Major_Stop	True	True		2	4	True	True	Campaign_Environment_Greenskin_Settlement_Selection
wh_cam_settlement_major_skaven	Campaign_Environment_Skaven_Settlement_Major_Play	Campaign_Environment_Skaven_Settlement_Major_Stop	True	True		2	4	True	True	Campaign_Environment_Skaven_Settlement_Major_Selection_Play
wh_cam_settlement_major_vampire	Campaign_Environment_Vampire_Settlement_Major_Play	Campaign_Environment_Vampire_Settlement_Major_Stop	True	True		2	4	True	True	Campaign_Environment_Vampire_Settlement_Selection
wh_cam_settlement_minor_bretonnia	Campaign_Environment_Bretonnia_Settlement_Minor_Play	Campaign_Environment_Bretonnia_Settlement_Minor_Stop	True	True		2	4	True	True	Campaign_Environment_Bretonnia_Settlement_Selection
wh_cam_settlement_minor_chaos	Campaign_Environment_Chaos_Settlement_Minor_Play	Campaign_Environment_Chaos_Settlement_Minor_Stop	True	True		2	4	True	True	Campaign_Environment_Chaos_Settlement_Selection
