audio_entity_random_vocalisations_tables
3
unknown0	unknown1	unknown2	unknown3	unknown4	unknown5	unknown6	unknown7	unknown8
Battle_Individual_Vocalisation_Cold_One_Combat	wh2_cold_one_combat	20	10	True		0.4	100	200
Battle_Individual_Vocalisation_Cold_One_Running	wh2_cold_one_running	20	10	True		0.1	100	20
Battle_Individual_Vocalisation_Cold_One_Walking	wh2_cold_one_walking	20	10	True		0.2	100	20
Battle_Individual_Vocalisation_Elf_Female_Dark_Default_Fatigue_Stop	wh2_def_elf_female_default_fatigue_stop	20	10	False		0.1	100	100
Battle_Individual_Vocalisation_Elf_Female_Dark_Default_Idle	wh2_def_elf_female_default_idle	20	10	False		0.1	100	100
Battle_Individual_Vocalisation_Elf_Female_Dark_Default_Running	wh2_def_elf_female_default_running	20	10	False		0.1	100	100
Battle_Individual_Vocalisation_Elf_Female_Dark_Default_Walking	wh2_def_elf_female_default_walking	20	10	False		0.1	100	100
Battle_Individual_Vocalisation_Elf_Male_Dark_Default_Fatigue_Stop	wh2_def_elf_male_default_fatigue_stop	20	10	False		0.05	100	100
Battle_Individual_Vocalisation_Elf_Male_Dark_Default_Idle	wh2_def_elf_male_default_idle	20	10	False		0.05	100	100
Battle_Individual_Vocalisation_Elf_Male_Dark_Default_Running	wh2_def_elf_male_default_running	20	10	False		0.1	100	100
Battle_Individual_Vocalisation_Elf_Male_Dark_Default_Walking	wh2_def_elf_male_default_walking	20	10	False		0.1	100	100
Battle_Individual_Vocalisation_Elf_Female_High_Default_Fatigue_Stop	wh2_hef_elf_female_default_fatigue_stop	20	10	False		0.1	100	100
Battle_Individual_Vocalisation_Elf_Female_High_Default_Idle	wh2_hef_elf_female_default_idle	20	10	False		0.1	100	100
Battle_Individual_Vocalisation_Elf_Female_High_Default_Running	wh2_hef_elf_female_default_running	20	10	False		0.1	100	100
Battle_Individual_Vocalisation_Elf_Female_High_Default_Walking	wh2_hef_elf_female_default_walking	20	10	False		0.1	100	100
