audio_group_sounds_tables
15
unknown0	unknown1	unknown2	unknown3	unknown4	unknown5	unknown6	unknown7	unknown8	unknown9	unknown10	unknown11	unknown12	unknown13	unknown14	unknown15	unknown16	unknown17	unknown18	unknown19	unknown20	unknown21	unknown22	unknown23	unknown24	unknown25	unknown26	unknown27	unknown28	unknown29	unknown30	unknown31	unknown32	unknown33	unknown34	unknown35	unknown36	unknown37
		Battle_Group_Movement_Beast_Medium_Claws_Play	Battle_Group_Movement_Beast_Medium_Claws_Stop	20	400	wh2_grp_movement_beast_medium_claws	False	False	False	0	0	16842752	0	0	0.15	0.5	Battle_Group_Movement_Beast_Medium_Claw_Size	Battle_Ground_Type		Battle_Group_Movement_Beast_Medium_Claw_Speed	Entity_Speed_Moving	Battle_Group_Movement_Cohesion	Entity_Cohesion		0.8	0.6	1	0		5	0	Battle_Group_Azimuth		False	False	False	False
		Battle_Group_Projectile_Bolt_Thrower_Eagle_Claw_Impact		15	240	wh2_grp_projectile_bolt_thrower_eagle_claw_impact	False	False	False	0	0	16777216	0.3	0.6	0	0.5	Battle_Group_Size	Battle_Projectile_Impact_Target							100	100	1	0		5	0	Battle_Group_Azimuth		False	False	False	False
		Battle_Group_Projectile_Bolt_Thrower_Eagle_Claw_InFlight_Play	Battle_Group_Projectile_Bolt_Thrower_Eagle_Claw_InFlight_Stop	18	195	wh2_grp_projectile_bolt_thrower_eagle_claw_inflight	False	False	False	0	0	16777216	0.1	0.6	0.15	0.5	Battle_Group_Size								100	100	1	0		5	0	Battle_Group_Azimuth		False	False	False	False
		Battle_Group_Projectile_Bolt_Thrower_Eagle_Claw_Impact		15	240	wh2_grp_projectile_bolt_thrower_eagle_claw_spread_impact	False	False	False	0	0	16777216	0.3	0.6	0	0.5	Battle_Group_Size	Battle_Projectile_Impact_Target							100	100	1	0		5	0	Battle_Group_Azimuth		False	False	False	False
		Battle_Group_Projectile_Bolt_Thrower_Eagle_Claw_InFlight_Play	Battle_Group_Projectile_Bolt_Thrower_Eagle_Claw_InFlight_Stop	18	195	wh2_grp_projectile_bolt_thrower_eagle_claw_spread_inflight	False	False	False	0	0	16777216	0.1	0.6	0.15	0.5	Battle_Group_Size								100	100	1	0		3	0	Battle_Group_Azimuth		False	False	False	False
		Battle_Group_Small_Arms_Dart_Fire_Normal		15	195	wh2_grp_projectile_dart_fire_normal	False	False	False	0	0	16777216	0.3	0.6	0	0.35	Battle_Group_Size								100	100	1	0		5	0	Battle_Group_Azimuth		False	False	False	False
		Battle_Group_Projectile_Dart_Impact_Normal		15	195	wh2_grp_projectile_dart_impact_normal	False	False	False	0	0	16777216	0.3	0.6	0	0.5	Battle_Group_Size	Battle_Projectile_Impact_Target							100	100	1	0		5	0	Battle_Group_Azimuth		False	False	False	False
		Battle_Group_Projectile_Dart_InFlight_Normal_Play	Battle_Group_Projectile_Dart_InFlight_Normal_Stop	18	195	wh2_grp_projectile_dart_inflight_normal	False	False	False	0	0	16777216	0	0	0.15	0.5	Battle_Group_Size								100	100	1	0		5	0	Battle_Group_Azimuth		False	False	False	False
		Battle_Group_Small_Arms_Dragon_Breath_Dark_Loop_Play	Battle_Group_Small_Arms_Dragon_Breath_Dark_Loop_Stop	100	400	wh2_grp_projectile_dragons_breath_dark_loop	False	False	False	0	0	16777216	0.1	0.3	0	0.35	Battle_Group_Size								100	100	1	0		1	0	Battle_Group_Azimuth		False	False	False	False
		Battle_Group_Small_Arms_Dragon_Breath_Dark_Start		100	300	wh2_grp_projectile_dragons_breath_dark_start	False	False	False	0	0	16777216	0.1	0.3	0	0.35	Battle_Group_Size								100	100	1	0		1	0	Battle_Group_Azimuth		False	False	False	False
				100	300	wh2_grp_projectile_dragons_breath_dark_stop	False	False	False	0	0	16777216	0.1	0.3	0	0.35	Battle_Group_Size								100	100	1	0		1	0	Battle_Group_Azimuth		False	False	False	False
		Battle_Group_Small_Arms_Dragon_Breath_Loop_Play	Battle_Group_Small_Arms_Dragon_Breath_Loop_Stop	100	400	wh2_grp_projectile_dragons_breath_flaming_loop	False	False	False	0	0	16777216	0.1	0.3	0	0.35	Battle_Group_Size								100	100	1	0		1	0	Battle_Group_Azimuth		False	False	False	False
		Battle_Group_Small_Arms_Dragon_Breath_Flaming_Multi_Loop_Play	Battle_Group_Small_Arms_Dragon_Breath_Flaming_Multi_Loop_Stop	100	400	wh2_grp_projectile_dragons_breath_flaming_multi_loop	False	False	False	0	0	16777216	0.1	0.3	0	0.35	Battle_Group_Size								100	100	1	0		1	0	Battle_Group_Azimuth		False	False	False	False
		Battle_Group_Small_Arms_Dragon_Breath_Poison_Loop_Play	Battle_Group_Small_Arms_Dragon_Breath_Poison_Loop_Stop	100	400	wh2_grp_projectile_dragons_breath_poison_loop	False	False	False	0	0	16777216	0.1	0.3	0	0.35	Battle_Group_Size								100	100	1	0		1	0	Battle_Group_Azimuth		False	False	False	False
		Battle_Group_Small_Arms_Dragon_Breath_Poison_Start		100	300	wh2_grp_projectile_dragons_breath_poison_start	False	False	False	0	0	16777216	0.1	0.3	0	0.35	Battle_Group_Size								100	100	1	0		1	0	Battle_Group_Azimuth		False	False	False	False
				100	300	wh2_grp_projectile_dragons_breath_poison_stop	False	False	False	0	0	16777216	0.1	0.3	0	0.35	Battle_Group_Size								100	100	1	0		1	0	Battle_Group_Azimuth		False	False	False	False
		Battle_Group_Projectile_Globe_Explosion		25	400	wh2_grp_projectile_globe_explosion	False	False	False	0	0	16777216	0.1	0.3	0	0.55	Battle_Group_Size_Blasting_Charge	Battle_Material_Type							100	100	1	0		1	0	Battle_Group_Azimuth		False	False	False	False
		Battle_Group_Projectile_Globe_Impact_Magical		15	195	wh2_grp_projectile_globe_impact_magical	False	False	False	0	0	16777216	0.3	0.6	0	0.5	Battle_Group_Size	Battle_Projectile_Impact_Target							100	100	1	0		5	0	Battle_Group_Azimuth		False	False	False	False
		Battle_Group_Projectile_Globe_InFlight_Magical_Play	Battle_Group_Projectile_Globe_InFlight_Magical_Stop	18	195	wh2_grp_projectile_globe_inflight_magical	False	False	False	0	0	16777216	0	0	0.15	0.5	Battle_Group_Size								100	100	1	0		5	0	Battle_Group_Azimuth		False	False	False	False
		Battle_Individual_Projectile_Doom_Wheel_Warp_Lightning_Impact		6	405	wh2_grp_projectile_skv_doomwheel_warp_lightning	False	False	False	0	0	16777216	0.1	0.3	0	0.55	Battle_Group_Size_Blasting_Charge								100	100	1	0		1	0	Battle_Group_Azimuth		False	False	False	False
		Battle_Individual_Projectile_Warp_Lightning_Cannon_Impact		3	600	wh2_grp_projectile_skv_warp_lightning_cannon	False	False	False	0	0	16777216	0.1	0.3	0	0.55	Battle_Group_Size_Blasting_Charge								100	100	1	0		1	0	Battle_Group_Azimuth		False	False	False	False
		Battle_Group_Small_Arms_Slingshot_Fire_Normal		15	195	wh2_grp_projectile_small_rock_fire_normal	False	False	False	0	0	16777216	0.3	0.6	0	0.35	Battle_Group_Size								100	100	1	0		5	0	Battle_Group_Azimuth		False	False	False	False
		Battle_Group_Projectile_Rock_Small_Impact_Normal		15	195	wh2_grp_projectile_small_rock_impact_normal	False	False	False	0	0	16777216	0.3	0.6	0	0.5	Battle_Group_Size	Battle_Projectile_Impact_Target							100	100	1	0		5	0	Battle_Group_Azimuth		False	False	False	False
		Battle_Group_Projectile_Rock_Small_InFlight_Normal_Play	Battle_Group_Projectile_Rock_Small_InFlight_Normal_Stop	18	195	wh2_grp_projectile_small_rock_inflight_normal	False	False	False	0	0	16777216	0	0	0.15	0.5	Battle_Group_Size								100	100	1	0		5	0	Battle_Group_Azimuth		False	False	False	False
		Battle_Individual_Projectile_Warp_Fire_Gun		6	400	wh2_grp_projectile_warpfiregun_flame	False	False	False	0	0	16777216	0.1	0.3	0	0.55	Battle_Group_Size_Blasting_Charge	Battle_Material_Type							100	100	1	0		1	0	Battle_Group_Azimuth		False	False	False	False
		Battle_Group_Vocalisation_DarkElves_Male_Charge		32	400	wh2_grp_vocalisation_darkelves_male_charge	False	False	False	0	0	16842752	0.3	0.6	0	0.5	Battle_Group_Size								100	100	1	0		5	0	Battle_Group_Azimuth		False	False	False	False
		Battle_Group_Vocalisation_DarkElves_Male_Melee_Play	Battle_Group_Vocalisation_DarkElves_Male_Melee_Stop	32	400	wh2_grp_vocalisation_darkelves_male_melee	False	False	False	0	0	16777216	0	0	0.4	0.5	Battle_Group_Size								100	100	1	0	wh_grp_melee_generic_distant	5	0	Battle_Group_Azimuth		False	False	False	False
		Battle_Group_Vocalisation_DarkElves_Male_Pain		32	250	wh2_grp_vocalisation_darkelves_male_pain	False	False	False	0	0	16777216	0.3	0.6	0	0.5	Battle_Group_Size								100	100	1	0		5	0	Battle_Group_Azimuth		False	False	False	False
		Battle_Group_Vocalisation_DarkElves_Male_Taunt		32	400	wh2_grp_vocalisation_darkelves_male_taunt	False	False	False	0	0	16842752	0	0	0	0.5	Battle_Group_Size								100	100	1	0		5	0	Battle_Group_Azimuth		False	False	False	False
		Battle_Group_Vocalisation_DarkElves_Male_Taunt_Play	Battle_Group_Vocalisation_DarkElves_Male_Taunt_Stop	32	400	wh2_grp_vocalisation_darkelves_male_taunting	False	False	False	0	0	16777216	0	0	0.4	0.5	Battle_Group_Size								100	100	1	0		5	0	Battle_Group_Azimuth		False	False	False	False
		Battle_Group_Vocalisation_DarkElves_Male_Unit_Response		32	400	wh2_grp_vocalisation_darkelves_male_unit_response	False	False	False	0	0	16777216	0.3	0.6	0	0.5	Battle_Group_Size								100	100	1	0		5	0	Battle_Group_Azimuth		False	False	False	False
		Battle_Group_Vocalisation_DarkElves_Male_Unit_Response		32	400	wh2_grp_vocalisation_darkelves_male_unit_selection	False	False	False	0	0	16842752	0.3	0.6	0	0.5	Battle_Group_Size								100	100	1	0		5	0	Battle_Group_Azimuth		False	False	False	False
		Battle_Group_Vocalisation_HighElves_Male_Charge		32	400	wh2_grp_vocalisation_highelves_male_charge	False	False	False	0	0	16842752	0.3	0.6	0	0.5	Battle_Group_Size								100	100	1	0		5	0	Battle_Group_Azimuth		False	False	False	False
		Battle_Group_Vocalisation_HighElves_Male_Melee_Play	Battle_Group_Vocalisation_HighElves_Male_Melee_Stop	32	400	wh2_grp_vocalisation_highelves_male_melee	False	False	False	0	0	16777216	0	0	0.4	0.5	Battle_Group_Size								100	100	1	0	wh_grp_melee_generic_distant	5	0	Battle_Group_Azimuth		False	False	False	False
		Battle_Group_Vocalisation_HighElves_Male_Pain		32	250	wh2_grp_vocalisation_highelves_male_pain	False	False	False	0	0	16777216	0.3	0.6	0	0.5	Battle_Group_Size								100	100	1	0		5	0	Battle_Group_Azimuth		False	False	False	False
		Battle_Group_Vocalisation_HighElves_Male_Taunt		32	400	wh2_grp_vocalisation_highelves_male_taunt	False	False	False	0	0	16842752	0	0	0	0.5	Battle_Group_Size								100	100	1	0		5	0	Battle_Group_Azimuth		False	False	False	False
		Battle_Group_Vocalisation_HighElves_Male_Taunt_Play	Battle_Group_Vocalisation_HighElves_Male_Taunt_Stop	32	400	wh2_grp_vocalisation_highelves_male_taunting	False	False	False	0	0	16777216	0	0	0.4	0.5	Battle_Group_Size								100	100	1	0		5	0	Battle_Group_Azimuth		False	False	False	False
		Battle_Group_Vocalisation_HighElves_Male_Unit_Response		32	400	wh2_grp_vocalisation_highelves_male_unit_response	False	False	False	0	0	16777216	0.3	0.6	0	0.5	Battle_Group_Size								100	100	1	0		5	0	Battle_Group_Azimuth		False	False	False	False
		Battle_Group_Vocalisation_HighElves_Male_Unit_Response		32	400	wh2_grp_vocalisation_highelves_male_unit_selection	False	False	False	0	0	16842752	0.3	0.6	0	0.5	Battle_Group_Size								100	100	1	0		5	0	Battle_Group_Azimuth		False	False	False	False
		Battle_Group_Vocalisation_Rat_Ogre_Charge		32	400	wh2_grp_vocalisation_rat_ogre_charge	False	False	False	0	0	16842752	0.3	0.6	0	0.5	Battle_Group_Size								100	100	1	0		5	0	Battle_Group_Azimuth		False	False	False	False
		Battle_Group_Vocalisation_Rat_Ogre_Unit_Selection		32	400	wh2_grp_vocalisation_rat_ogre_unit_response	False	False	False	0	0	16777216	0.3	0.6	0	0.5	Battle_Group_Size								100	100	1	0		5	0	Battle_Group_Azimuth		False	False	False	False
		Battle_Group_Vocalisation_Rat_Ogre_Unit_Selection		32	400	wh2_grp_vocalisation_rat_ogre_unit_selection	False	False	False	0	0	16842752	0.3	0.6	0	0.5	Battle_Group_Size								100	100	1	0		5	0	Battle_Group_Azimuth		False	False	False	False
		Battle_Group_Vocalisation_Saurus_Idle_Play	Battle_Group_Vocalisation_Saurus_Idle_Stop	32	200	wh2_grp_vocalisation_saurus_Idle	False	False	False	0	0	16842752	0	0	0.4	0.5	Battle_Group_Size								100	100	1	0		5	0	Battle_Group_Azimuth		False	False	False	False
		Battle_Group_Vocalisation_Saurus_Charge		32	400	wh2_grp_vocalisation_saurus_charge	False	False	False	0	0	16842752	0.3	0.6	0	0.5	Battle_Group_Size								100	100	1	0		5	0	Battle_Group_Azimuth		False	False	False	False
		Battle_Group_Vocalisation_Saurus_Melee_Play	Battle_Group_Vocalisation_Saurus_Melee_Stop	32	400	wh2_grp_vocalisation_saurus_melee	False	False	False	0	0	16777216	0	0	0.4	0.5	Battle_Group_Size								100	100	1	0	wh_grp_melee_generic_distant	5	0	Battle_Group_Azimuth		False	False	False	False
		Battle_Group_Vocalisation_Saurus_Pain		32	250	wh2_grp_vocalisation_saurus_pain	False	False	False	0	0	16777216	0.3	0.6	0	0.5	Battle_Group_Size								100	100	1	0		5	0	Battle_Group_Azimuth		False	False	False	False
		Battle_Group_Vocalisation_Saurus_Taunt_Play	Battle_Group_Vocalisation_Saurus_Taunt_Stop	32	400	wh2_grp_vocalisation_saurus_taunting	False	False	False	0	0	16777216	0	0	0.4	0.5	Battle_Group_Size								100	100	1	0		5	0	Battle_Group_Azimuth		False	False	False	False
		Battle_Group_Vocalisation_Saurus_Unit_Response		32	400	wh2_grp_vocalisation_saurus_unit_response	False	False	False	0	0	16777216	0.3	0.6	0	0.5	Battle_Group_Size								100	100	1	0		5	0	Battle_Group_Azimuth		False	False	False	False
		Battle_Group_Vocalisation_Saurus_Unit_Selection		32	400	wh2_grp_vocalisation_saurus_unit_selection	False	False	False	0	0	16842752	0.3	0.6	0	0.5	Battle_Group_Size								100	100	1	0		5	0	Battle_Group_Azimuth		False	False	False	False
		Battle_Group_Vocalisation_Skaven_Idle_Play	Battle_Group_Vocalisation_Skaven_Idle_Stop	32	200	wh2_grp_vocalisation_skaven_Idle	False	False	False	0	0	16842752	0	0	0.4	0.5	Battle_Group_Size								100	100	1	0		5	0	Battle_Group_Azimuth		False	False	False	False
		Battle_Group_Vocalisation_Skaven_Charge		32	400	wh2_grp_vocalisation_skaven_charge	False	False	False	0	0	16842752	0.3	0.6	0	0.5	Battle_Group_Size								100	100	1	0		5	0	Battle_Group_Azimuth		False	False	False	False
