audio_metadata_tag_entity_overrides_tables
0
unknown0	unknown1	unknown2	unknown3	unknown4	unknown5
wh2_dragon_large_hydra	Effect_fire_burst_Large	Battle_Individual_Foley_Special_Effects_Fire_PFX_Large			
wh2_hef_phoenix_flamespyre	Effect_fire_burst_Large	Battle_Individual_Foley_Special_Effects_Fire_PFX_Large			
wh2_dragon_large_hydra	Effect_fire_burst_Medium	Battle_Individual_Foley_Special_Effects_Fire_PFX_Medium			
wh2_hef_phoenix_flamespyre	Effect_fire_burst_Medium	Battle_Individual_Foley_Special_Effects_Fire_PFX_Medium			
wh_dlc_wef_medium_bird_eagle	Foley_Special_Fire_PFX_Large				
wh_dlc_wef_medium_bird_eagle_LH	Foley_Special_Fire_PFX_Large				
wh_dlc_wef_medium_bird_hawk	Foley_Special_Fire_PFX_Large				
wh_dlc_wef_medium_bird_hawk_LH	Foley_Special_Fire_PFX_Large				
wh_dlc_wef_medium_bird_eagle	Foley_Special_Fire_PFX_Medium				
wh_dlc_wef_medium_bird_eagle_LH	Foley_Special_Fire_PFX_Medium				
wh_dlc_wef_medium_bird_hawk	Foley_Special_Fire_PFX_Medium				
wh_dlc_wef_medium_bird_hawk_LH	Foley_Special_Fire_PFX_Medium				
wh2_rat_ogre_LH	Melee_Weapon_Claw_Large_Impact	Battle_Individual_Melee_Weapon_Bonebreaker_Drill_Hit_Armour			
wh2_hef_dragon_large_black	Vocalisation_Dragon_Breath_Start	Battle_Group_Small_Arms_Dragon_Breath_Poison_Start			
wh_dlc_dragon_large_2_heads_chaos	Vocalisation_Dragon_Breath_Start	Battle_Group_Small_Arms_Dragon_Breath_Dark_Start			
wh_dlc_wef_dragon_large_forest	Vocalisation_Dragon_Breath_Start	Battle_Group_Small_Arms_Dragon_Breath_Poison_Start			
wh_dragon_large_zombie	Vocalisation_Dragon_Breath_Start	Battle_Group_Small_Arms_Dragon_Breath_Dark_Start			
wh2_hef_dragon_large_black	Vocalisation_Dragon_Large_Breath_Flying	Battle_Individual_Vocalisation_Black_Dragon_Breath_Flying		Campaign_Individual_Vocalisation_Black_Dragon_Breath_Flying	
wh2_hef_dragon_large_moon	Vocalisation_Dragon_Large_Breath_Flying	Battle_Individual_Vocalisation_Moon_Dragon_Breath_Flying		Campaign_Individual_Vocalisation_Moon_Dragon_Breath_Flying	
wh2_hef_dragon_large_star	Vocalisation_Dragon_Large_Breath_Flying	Battle_Individual_Vocalisation_Star_Dragon_Breath_Flying		Campaign_Individual_Vocalisation_Star_Dragon_Breath_Flying	
wh2_hef_dragon_large_sun	Vocalisation_Dragon_Large_Breath_Flying	Battle_Individual_Vocalisation_Sun_Dragon_Breath_Flying		Campaign_Individual_Vocalisation_Sun_Dragon_Breath_Flying	
wh_dlc_wef_dragon_large_forest	Vocalisation_Dragon_Large_Breath_Flying	Battle_Individual_Vocalisation_Forest_Dragon_Breath_Flying		Campaign_Individual_Vocalisation_Forest_Dragon_Breath_Flying	
wh2_hef_dragon_large_black	Vocalisation_Dragon_Large_Breath_Short	Battle_Individual_Vocalisation_Black_Dragon_Breath_Short		Campaign_Individual_Vocalisation_Black_Dragon_Breath_Short	
wh2_hef_dragon_large_moon	Vocalisation_Dragon_Large_Breath_Short	Battle_Individual_Vocalisation_Moon_Dragon_Breath_Short		Campaign_Individual_Vocalisation_Moon_Dragon_Breath_Short	
wh2_hef_dragon_large_star	Vocalisation_Dragon_Large_Breath_Short	Battle_Individual_Vocalisation_Star_Dragon_Breath_Short		Campaign_Individual_Vocalisation_Star_Dragon_Breath_Short	
wh2_hef_dragon_large_sun	Vocalisation_Dragon_Large_Breath_Short	Battle_Individual_Vocalisation_Sun_Dragon_Breath_Short		Campaign_Individual_Vocalisation_Sun_Dragon_Breath_Short	
wh_dlc_wef_dragon_large_forest	Vocalisation_Dragon_Large_Breath_Short	Battle_Individual_Vocalisation_Forest_Dragon_Breath_Short		Campaign_Individual_Vocalisation_Forest_Dragon_Breath_Short	
wh2_hef_dragon_large_black	Vocalisation_Dragon_Large_Breath	Battle_Individual_Vocalisation_Black_Dragon_Breath		Campaign_Individual_Vocalisation_Black_Dragon_Breath	
wh2_hef_dragon_large_moon	Vocalisation_Dragon_Large_Breath	Battle_Individual_Vocalisation_Moon_Dragon_Breath		Campaign_Individual_Vocalisation_Moon_Dragon_Breath	
wh2_hef_dragon_large_star	Vocalisation_Dragon_Large_Breath	Battle_Individual_Vocalisation_Star_Dragon_Breath		Campaign_Individual_Vocalisation_Star_Dragon_Breath	
wh2_hef_dragon_large_sun	Vocalisation_Dragon_Large_Breath	Battle_Individual_Vocalisation_Sun_Dragon_Breath		Campaign_Individual_Vocalisation_Sun_Dragon_Breath	
wh_dlc_wef_dragon_large_forest	Vocalisation_Dragon_Large_Breath	Battle_Individual_Vocalisation_Forest_Dragon_Breath		Campaign_Individual_Vocalisation_Forest_Dragon_Breath	
wh2_hef_dragon_large_black	Vocalisation_Dragon_Large_Death	Battle_Individual_Vocalisation_Black_Dragon_Death		Campaign_Individual_Vocalisation_Black_Dragon_Death	
wh2_hef_dragon_large_moon	Vocalisation_Dragon_Large_Death	Battle_Individual_Vocalisation_Moon_Dragon_Death		Campaign_Individual_Vocalisation_Moon_Dragon_Death	
wh2_hef_dragon_large_star	Vocalisation_Dragon_Large_Death	Battle_Individual_Vocalisation_Star_Dragon_Death		Campaign_Individual_Vocalisation_Star_Dragon_Death	
wh2_hef_dragon_large_sun	Vocalisation_Dragon_Large_Death	Battle_Individual_Vocalisation_Sun_Dragon_Death		Campaign_Individual_Vocalisation_Sun_Dragon_Death	
wh_dlc_wef_dragon_large_forest	Vocalisation_Dragon_Large_Death	Battle_Individual_Vocalisation_Forest_Dragon_Death		Campaign_Individual_Vocalisation_Forest_Dragon_Death	
