audio_projectiles_tables
14
key	max_attenuation_fire	max_attenuation_impact	max_attenuation_inflight	unknown4	unknown5	unknown6	unknown7	unknown8	unknown9	unknown10	unknown11	unknown12	unknown13	unknown14	unknown15	unknown16	unknown17	unknown18	unknown19	unknown20	unknown21	unknown22	unknown23	unknown24	unknown25	unknown26	unknown27	unknown28	unknown29	unknown30	unknown31	unknown32	unknown33	unknown34	unknown35	unknown36	unknown37	unknown38	unknown39	unknown40	unknown41	unknown42
none	0	0	0	0		False										0	False	False		False	True				1						False	False	False		10		large	1	0	1	0.5	0.5
wh2_Terradon_Bomb	150	240	255	22		False	Battle_Individual_Projectile_Incoming_Terradon_Bomb									100	False	False		False	False				1						False	False	False		20	Battle_Projectile_Doppler	large	1	1	5	0.5	0.5
wh2_bolas	0	50	100	10		False				Battle_Individual_Projectile_Bolas_InFlight_Play	Battle_Individual_Projectile_Bolas_InFlight_Stop					100	False	False		False	False				1						False	False	False		10		small	1	0	1	0.5	0.5
wh2_bolt_thrower_eagle_claw	150	240	255	22		False	Battle_Individual_Projectile_Incoming_Bolt_Thrower_Bolt	Battle_Individual_Projectile_Bolt_Thrower_Eagle_Claw_Impact		Battle_Individual_Projectile_Bolt_Thrower_Eagle_Claw_InFlight_Play	Battle_Individual_Projectile_Bolt_Thrower_Eagle_Claw_InFlight_Stop	Battle_Individual_Projectile_Impact_Tree_Canopy_Small_Play	Battle_Individual_Projectile_Impact_Tree_Canopy_Small_Stop			100	False	False		False	False				1						False	False	False	Battle_Individual_Projectile_Incoming_Bolt_Thrower_Bolt	20	Battle_Projectile_Doppler	large	1	1	5	0.5	0.5
wh2_bolt_thrower_eagle_claw_spread	150	240	255	15		False	Battle_Individual_Projectile_Incoming_Bolt_Thrower_Bolt	Battle_Individual_Projectile_Bolt_Thrower_Eagle_Claw_Impact								100	False	False		False	False		wh2_grp_projectile_bolt_thrower_eagle_claw_inflight	wh2_grp_projectile_bolt_thrower_eagle_claw_impact	1						False	True	False	Battle_Individual_Projectile_Incoming_Bolt_Thrower_Bolt	20	Battle_Projectile_Doppler	large	1	0.5	1	0.5	0.5
wh2_catapult_plagueclaw	250	500	300	10	Battle_Individual_Projectile_Plagueclaw_Catapult_Launch_Whoosh	False	Battle_Individual_Projectile_Incoming_Rock	Battle_Individual_Projectile_Plagueclaw_Catapult_Impact		Battle_Individual_Projectile_Plagueclaw_Catapult_InFlight_Play	Battle_Individual_Projectile_Plagueclaw_Catapult_InFlight_Stop	Battle_Individual_Projectile_Impact_Tree_Canopy_Large_Play	Battle_Individual_Projectile_Impact_Tree_Canopy_Large_Stop			100	False	False		False	True				1	Battle_Projectile_Speed	Projectile_Speed				False	False	False	Battle_Individual_Projectile_Incoming_Rock	25	Battle_Projectile_Doppler	medium	1	0	1	0.5	0.5
wh2_dart_normal	150	100	100	22		False		Battle_Individual_Projectile_Dart_Impact		Battle_Individual_Projectile_Dart_InFlight_Normal_Play	Battle_Individual_Projectile_Dart_InFlight_Normal_Stop	Battle_Individual_Projectile_Impact_Tree_Canopy_Small_Play	Battle_Individual_Projectile_Impact_Tree_Canopy_Small_Stop			100	False	False		False	False	wh2_grp_projectile_dart_fire_normal	wh2_grp_projectile_dart_inflight_normal	wh2_grp_projectile_dart_impact_normal	1						False	False	False		10		small	1	0	1	0.5	0.5
wh2_dragon_breath_dark	100	300	200	10		False										100	False	False		False	False		wh2_grp_projectile_dragons_breath_dark_loop		1						False	False	False		10		medium	1	0	1	0.5	0.5
wh2_dragon_breath_flame_multi	100	300	200	10		False										100	False	False		False	False		wh2_grp_projectile_dragons_breath_flaming_multi_loop		1						False	False	False		10		medium	1	0	1	0.5	0.5
wh2_dragon_breath_poison	100	300	200	10		False										100	False	False		False	False		wh2_grp_projectile_dragons_breath_poison_loop		1						False	False	False		10		medium	1	0	1	0.5	0.5
