audio_ui_categories_tables
0
unknown0	unknown1	unknown2	unknown3	unknown4	unknown5	unknown6	unknown7	unknown8	unknown9
UI_BAT_HUD_ADC_Hint_Tab	UI_CLICK_Generic_Small		UI_MSO_Generic_Small			UI_CLICK_Generic_Small	UI_CLICK_Generic_Small		
UI_BAT_HUD_Ability_Button			UI_MSO_Generic_Small						
UI_BAT_HUD_Cinematic_Mode	UI_CLICK_Generic_Small		UI_MSO_Generic_Small			UI_CLICK_Generic_Small	UI_CLICK_Generic_Small		
UI_BAT_HUD_Deployment_End	UI_CLICK_Deployment_End		UI_MSO_Generic_Small			UI_CLICK_Deployment_End	UI_CLICK_Deployment_End		
UI_BAT_HUD_Deployment_Gamble	UI_CLICK_Deployment_Gamble		UI_MSO_Generic_Small			UI_CLICK_Deployment_Gamble	UI_CLICK_Deployment_Gamble		
UI_BAT_HUD_Deployment_Start	UI_CLICK_Deployment_Start		UI_MSO_Generic_Small			UI_CLICK_Deployment_Start	UI_CLICK_Deployment_Start		
UI_BAT_HUD_End_Battle	UI_CLICK_Generic_Small		UI_MSO_Generic_Small			UI_CLICK_Generic_Small	UI_CLICK_Generic_Small		
UI_BAT_HUD_Generic_Click	UI_CLICK_Generic_Small		UI_MSO_Generic_Small			UI_CLICK_Generic_Small	UI_CLICK_Generic_Small		
UI_BAT_HUD_Group_Unit_Tab	UI_CLICK_Group_Unit_Tab		UI_MSO_Generic_Small			UI_CLICK_Group_Unit_Tab	UI_CLICK_Group_Unit_Tab		
UI_BAT_HUD_Map_Expand_Drag	UI_CLICK_HUD_Click_01	UI_CLICK_HUD_Click_01	UI_MSO_Generic_Small			UI_CLICK_HUD_Click_01	UI_CLICK_HUD_Click_01		
UI_BAT_MSO_ESC_Menu_Open			UI_MSO_Generic_Small						
UI_BAT_POPUP_Generic									
UI_BAT_POPUP_Results									UI_POPUP_Results
UI_CAM_HUD_Agent_Raise	UI_CLICK_Raise_Army		UI_MSO_Generic_Small			UI_CLICK_Raise_Army	UI_CLICK_Raise_Army		
UI_CAM_HUD_Agent_Recruit	UI_CLICK_Generic_Medium		UI_MSO_Generic_Small			UI_CLICK_Generic_Medium	UI_CLICK_Generic_Medium		
UI_CAM_HUD_Begin_Ritual	UI_CLICK_Begin_Ritual		UI_MSO_Generic_Small			UI_CLICK_Begin_Ritual	UI_CLICK_Begin_Ritual		
UI_CAM_HUD_Building_Abandon	UI_CLICK_Building_Destroy		UI_MSO_Generic_Small			UI_CLICK_Building_Destroy	UI_CLICK_Building_Destroy		
UI_CAM_HUD_Building_Convert	UI_CLICK_Building_Destroy		UI_MSO_Generic_Small			UI_CLICK_Building_Destroy	UI_CLICK_Building_Destroy		
UI_CAM_HUD_Building_Raze	UI_CLICK_Building_Destroy		UI_MSO_Generic_Small			UI_CLICK_Building_Destroy	UI_CLICK_Building_Destroy		
UI_CAM_HUD_Building_Repair	UI_CLICK_Building_Repair		UI_MSO_Generic_Small			UI_CLICK_Building_Repair	UI_CLICK_Building_Repair		
UI_CAM_HUD_Character_Skill_Button	UI_CLICK_Generic_Small		UI_MSO_Generic_Small			UI_CLICK_Generic_Small	UI_CLICK_Generic_Small		
