banners_tables
1
unknown0	unknown1
wh2_main_banner_magic_standard_banner_of_ellyrion	wh2_main_bundle_magic_standard_banner_of_ellyrion
wh2_main_banner_magic_standard_banner_of_murder	wh2_main_bundle_magic_standard_banner_of_murder
wh2_main_banner_magic_standard_banner_of_the_under_empire	wh2_main_bundle_magic_standard_banner_of_the_under_empire
wh2_main_banner_magic_standard_banner_of_the_world_dragon	wh2_main_bundle_magic_standard_banner_of_the_world_dragon
wh2_main_banner_magic_standard_banner_of_verminous_scurrying	wh2_main_bundle_magic_standard_banner_of_verminous_scurrying
wh2_main_banner_magic_standard_battle_banner	wh2_main_bundle_magic_standard_battle_banner
wh2_main_banner_magic_standard_dread_banner	wh2_main_bundle_magic_standard_dread_banner
wh2_main_banner_magic_standard_dwarf_hide_banner	wh2_main_bundle_magic_standard_dwarf_hide_banner
wh2_main_banner_magic_standard_grand_banner_of_clan_superiority	wh2_main_bundle_magic_standard_grand_banner_of_clan_superiority
wh2_main_banner_magic_standard_horn_of_isha	wh2_main_bundle_magic_standard_horn_of_isha
wh2_main_banner_magic_standard_huanchis_blessed_totem	wh2_main_bundle_magic_standard_huanchis_blessed_totem
wh2_main_banner_magic_standard_hydra_banner	wh2_main_bundle_magic_standard_hydra_banner
wh2_main_banner_magic_standard_lion_standard	wh2_main_bundle_magic_standard_lion_standard
wh2_main_banner_magic_standard_sacred_banner_of_the_horned_rat	wh2_main_bundle_magic_standard_sacred_banner_of_the_horned_rat
wh2_main_banner_magic_standard_sea_serpent_standard	wh2_main_bundle_magic_standard_sea_serpent_standard
wh2_main_banner_magic_standard_shroud_of_dripping_death	wh2_main_bundle_magic_standard_shroud_of_dripping_death
wh2_main_banner_magic_standard_skavenpelt_banner	wh2_main_bundle_magic_standard_skavenpelt_banner
wh2_main_banner_magic_standard_standard_of_hag_graef	wh2_main_bundle_magic_standard_standard_of_hag_graef
wh2_main_banner_magic_standard_storm_banner	wh2_main_bundle_magic_standard_storm_banner
wh2_main_banner_magic_standard_sun_standard_of_chotec	wh2_main_bundle_magic_standard_sun_standard_of_chotec
wh2_main_banner_magic_standard_sunburst_standard_of_hexoatl	wh2_main_bundle_magic_standard_sunburst_standard_of_hexoatl
wh2_main_banner_magic_standard_the_blood_banner	wh2_main_bundle_magic_standard_the_blood_banner
