battle_ai_abilities_usage_templates_to_params_tables
0
unknown0	unknown1	unknown2
bool_flying_currently	always_use_only_land	0
bool_flying_currently	aoe_bombardment	0
bool_in_melee	aoe_bombardment	6
bool_out_of_melee	aoe_bombardment	0
value_enemy_units_in_area	aoe_bombardment	5
value_melee_attack	aoe_bombardment	4
value_num_men	aoe_bombardment	2
bool_in_melee	aoe_centred_on_self	6
bool_out_of_melee	aoe_centred_on_self	0.25
value_enemy_units_in_area	aoe_centred_on_self	1.5
bool_flying_currently	aoe	0
value_enemy_units_in_area	aoe	10
value_melee_attack	aoe	2
value_num_men	aoe	2
value_enemy_units_in_area_inverse	artillery_opportunity	1
bool_charged_at	assault_opportunity	5
bool_in_melee	assault_opportunity	2
bool_out_of_melee	assault_opportunity	0.5
bool_threatened	assault_opportunity	50
value_enemy_units_in_area_inverse	assault_opportunity	5
bool_in_melee	augment_defense_area	3
bool_out_of_melee	augment_defense_area	0.33
bool_threatened	augment_defense_area	100
bool_under_fire	augment_defense_area	2
value_armour	augment_defense_area	1
value_friendly_units_in_area	augment_defense_area	1.5
bool_in_melee	augment_defense	3
bool_out_of_melee	augment_defense	0.4
bool_threatened	augment_defense	100
bool_under_fire	augment_defense	2
value_armour	augment_defense	1
bool_flying_unit	augment_flying_area	1
value_friendly_units_in_area	augment_flying_area	1
bool_flying_unit	augment_flying	1
bool_charging	augment_melee_area	10
bool_in_melee	augment_melee_area	6
bool_out_of_melee	augment_melee_area	0.15
value_friendly_units_in_area	augment_melee_area	1.5
value_melee_attack	augment_melee_area	2
bool_ability_final_use	augment_melee_healing_single_use	0.5
bool_charging	augment_melee_healing_single_use	10
bool_in_melee	augment_melee_healing_single_use	6
bool_out_of_melee	augment_melee_healing_single_use	0.25
bool_threatened	augment_melee_healing_single_use	100
value_hitpoint_damage_taken	augment_melee_healing_single_use	10
value_melee_attack	augment_melee_healing_single_use	2
bool_charging	augment_melee_healing	10
bool_in_melee	augment_melee_healing	6
bool_out_of_melee	augment_melee_healing	0.25
bool_threatened	augment_melee_healing	100
value_hitpoint_damage_taken	augment_melee_healing	2
value_melee_attack	augment_melee_healing	2
bool_in_melee	augment_melee_morale_area	6
bool_out_of_melee	augment_melee_morale_area	0.15
bool_under_fire	augment_melee_morale_area	1.5
value_friendly_units_in_area	augment_melee_morale_area	1
value_melee_attack	augment_melee_morale_area	2
value_morale_score_inverse	augment_melee_morale_area	10
bool_in_melee	augment_melee_morale	6
bool_out_of_melee	augment_melee_morale	0.15
bool_under_fire	augment_melee_morale	1.5
value_melee_attack	augment_melee_morale	2
value_morale_score_inverse	augment_melee_morale	10
bool_charging	augment_melee	10
bool_in_melee	augment_melee	6
bool_out_of_melee	augment_melee	0.25
bool_threatened	augment_melee	100
value_melee_attack	augment_melee	2
bool_out_of_melee	augment_morale_area	0.15
bool_under_fire	augment_morale_area	1.5
value_friendly_units_in_area	augment_morale_area	1
value_morale_score_inverse	augment_morale_area	2
