battle_camera_shake_parameters_tables
0
unknown0	unknown1	unknown2	unknown3	unknown4	unknown5	unknown6	unknown7	unknown8	unknown9	unknown10	unknown11	unknown12	unknown13	unknown14	unknown15	unknown16	unknown17	unknown18	unknown19
1	0.2	40	1.5	4	Spell_breath_heavy	1.2	1.4	1	1	6	0.2	1	6	1	1	1	6	1	6
1	0.2	20	0.5	2	Spell_breath_light	0.8	1	1	0.5	4	0.2	0.5	4	1	0.5	0.4	4	0.5	4
1	0.2	30	1	3	Spell_breath_medium	1	1.4	1	0.5	5	0.2	0.8	5	1	0.5	0.7	5	0.8	5
2	0.3	40	1.5	6	Spell_explosion_heavy	1.2	1.4	1	1	6	0.7	1	6	5	1	1	6	1	6
2	0.3	20	0.5	4	Spell_explosion_light	0.8	1	1	0.5	4	0.7	0.5	4	5	0.5	0.4	4	0.5	4
2	0.3	30	1	5	Spell_explosion_medium	1	1.2	1	0.5	5	0.7	0.8	5	5	0.5	0.7	5	0.8	5
0.5	0.1	30	1	3	Spell_summoning_multiple	1	1	1	0.5	3	0.1	0.5	4	0.3	0.5	0.7	3	0.5	3
0.5	0.1	20	1	2	Spell_summoning_single	0.8	1	1	0.2	2	0.05	0.5	3	0.3	0.5	0.4	2	0.5	2
1	0.4	40	1.5	6	Spell_vortex_heavy	1.2	1.4	1	1.5	6	1	1.5	6	23	1	1.5	6	1.5	6
1	0.4	40	1.5	6	Spell_vortex_heavy_upg	1.2	1.4	1	1.5	6	1	1.5	6	50	1	1.5	6	1.5	6
1	0.4	20	0.8999999	4	Spell_vortex_light	0.8	1	1	0.8999999	4	0.6	0	4	23	0.5	0.8999999	4	0.8999999	4
1	0.4	20	0.8999999	4	Spell_vortex_light_upg	0.8	1	1	0.8999999	4	0.6	0.8999999	4	50	0.5	0.8999999	4	0.8999999	4
1	0.4	30	1.2	5	Spell_vortex_medium	1	1.2	1	1.2	5	0.6	1.2	5	23	0.5	1.2	5	1.2	5
1	0.4	30	1.2	5	Spell_vortex_medium_upg	1	1.2	1	1.2	5	0.6	1.2	5	50	0.5	1.2	5	1.2	5
2	0.6	40	1.5	6	Spell_wind_heavy	1.2	1.4	1	1	6	0.4	1	6	5	1	1	6	1	6
2	0.6	20	0.5	4	Spell_wind_light	1	1	1	0.5	4	0.4	0.5	4	5	0.5	0.4	4	0.5	4
2	0.6	30	1	5	Spell_wind_medium	1.2	1.4	1	0.5	5	0.4	0.8	5	5	0.5	0.7	5	0.8	5
1	0.5	150	0.2	10	wh2_vauls_hammer	1	1.4	2	0.6	10	5	0.4	10	0.5	0.5	0.2	8	0.3	6
0.5	1.5	40	1	3	wh_main_composite_spell_11	1.2	1.4	2	0.5	5	2	0.5	4	7	1	0.4	3	0.5	5
0.5	1.5	40	1	3	wh_main_composite_spell_12	1.2	1.4	2	0.5	5	2	0.5	4	8	1	0.4	3	0.5	5
0.5	1.5	40	1	3	wh_main_composite_spell_13	1.2	1.4	2	0.5	5	2	0.5	4	9	1	0.4	3	0.5	5
0.5	1.5	40	1	3	wh_main_composite_spell_14	1.2	1.4	2	0.5	5	2	0.5	4	10	1	0.4	3	0.5	5
0.5	1.5	40	1	3	wh_main_composite_spell_15	1.2	1.4	2	0.5	5	2	0.5	4	11	1	0.4	3	0.5	5
0.5	1.5	40	1	3	wh_main_composite_spell_18	1.2	1.4	2	0.5	5	2	0.5	4	14	1	0.4	3	0.5	5
0.5	1.5	40	1	3	wh_main_composite_spell_20	1.2	1.4	2	0.5	5	2	0.5	4	16	1	0.4	3	0.5	5
0.5	1.5	40	1	3	wh_main_composite_spell_21	1.2	1.4	2	0.5	5	2	0.5	4	17	1	0.4	3	0.5	5
0.5	1.5	40	1	3	wh_main_composite_spell_22	1.2	1.4	2	0.5	5	2	0.5	4	18	1	0.4	3	0.5	5
0.5	1.5	40	1	3	wh_main_composite_spell_24	1.2	1.4	2	0.5	5	2	0.5	4	20	1	0.4	3	0.5	5
0.5	1.5	40	1	3	wh_main_composite_spell_26	1.2	1.4	2	0.5	5	2	0.5	4	22	1	0.4	3	0.5	5
0.5	1.5	40	1	3	wh_main_composite_spell_3	1.2	1.4	2	0.5	5	0.5	0.5	4	0.5	1	0.4	3	0.5	5
0.5	1.5	40	1	3	wh_main_composite_spell_40	1.2	1.4	2	0.5	5	2	0.5	4	36	1	0.4	3	0.5	5
0.5	1.5	40	1	3	wh_main_composite_spell_52	1.2	1.4	2	0.5	5	2	0.5	4	48	1	0.4	3	0.5	5
0.5	1.5	40	1	3	wh_main_composite_spell_54	1.2	1.4	2	0.5	5	2	0.5	4	50	1	0.4	3	0.5	5
0.5	1.5	40	1	3	wh_main_composite_spell_6	1.2	1.4	2	0.5	5	1	0.5	4	3	1	0.4	3	0.5	5
0.5	1.5	40	1	3	wh_main_composite_spell_8	1.2	1.4	2	0.5	5	2	0.5	4	4	1	0.4	3	0.5	5
