battle_set_piece_armies_characters_junctions_tables
1
unknown0	unknown1	unknown2
wh2_main_qb_def_malekith_circlet_of_iron_stage_3_altar_of_ultimate_darkness_attacker_01	wh2_main_qb_def_malekith_circlet_of_iron_stage_3_altar_of_ultimate_darkness_attacker_sorcerer_lord	enemy_army
wh2_main_qb_def_malekith_circlet_of_iron_stage_3_altar_of_ultimate_darkness_attacker_02	wh2_main_qb_def_malekith_circlet_of_iron_stage_3_altar_of_ultimate_darkness_attacker_exalted_hero_01	enemy_reinforcements_1
wh2_main_qb_def_malekith_circlet_of_iron_stage_3_altar_of_ultimate_darkness_attacker_03	wh2_main_qb_def_malekith_circlet_of_iron_stage_3_altar_of_ultimate_darkness_attacker_exalted_hero_02	enemy_reinforcements_2
wh2_main_qb_def_malekith_circlet_of_iron_stage_3_altar_of_ultimate_darkness_defender_01	wh2_main_qb_def_malekith_circlet_of_iron_stage_3_altar_of_ultimate_darkness_defender_malekith	player_army
wh2_main_qb_def_malekith_destroyer_stage_3_vauls_anvil_attacker_01	wh2_main_qb_def_malekith_destroyer_stage_3_vauls_anvil_attacker_malekith	player_army
wh2_main_qb_def_malekith_destroyer_stage_3_vauls_anvil_attacker_02	wh2_main_qb_def_malekith_destroyer_stage_3_vauls_anvil_attacker_dreadlord	player_ally_1
wh2_main_qb_def_malekith_destroyer_stage_3_vauls_anvil_defender_01	wh2_main_qb_def_malekith_destroyer_stage_3_vauls_anvil_defender_tyrion	enemy_tyrion
wh2_main_qb_def_malekith_destroyer_stage_3_vauls_anvil_defender_01	wh2_main_qb_hef_tyrion_dragon_armour_of_aenarion_stage_4_vauls_anvil_defender_mage	enemy_tyrion
wh2_main_qb_def_malekith_destroyer_stage_3_vauls_anvil_defender_02	wh2_main_qb_def_malekith_destroyer_stage_3_vauls_anvil_defender_teclis	enemy_teclis_west
wh2_main_qb_def_malekith_supreme_spellshield_stage_3_mosquito_swamps_attacker_01	wh2_main_qb_def_malekith_supreme_spellshield_stage_3_mosquito_swamps_attacker_hag	player_army
wh2_main_qb_def_malekith_supreme_spellshield_stage_3_mosquito_swamps_attacker_01	wh2_main_qb_def_malekith_supreme_spellshield_stage_3_mosquito_swamps_attacker_malekith	player_army
wh2_main_qb_def_malekith_supreme_spellshield_stage_3_mosquito_swamps_defender_01	wh2_main_qb_def_malekith_supreme_spellshield_stage_3_mosquito_swamps_defender_saurus_01	enemy_army_1
wh2_main_qb_def_malekith_supreme_spellshield_stage_3_mosquito_swamps_defender_02	wh2_main_qb_def_malekith_supreme_spellshield_stage_3_mosquito_swamps_defender_saurus_02	enemy_army_2
wh2_main_qb_def_malekith_supreme_spellshield_stage_3_mosquito_swamps_defender_02	wh2_main_qb_def_malekith_supreme_spellshield_stage_3_mosquito_swamps_defender_skink_priest_heavens	enemy_army_2
wh2_main_qb_def_morathi_heartrender_and_the_darksword_stage_6_arnheim_attacker_01	wh2_main_qb_def_morathi_heartrender_and_the_darksword_stage_6_attacker_assassin	player_army
wh2_main_qb_def_morathi_heartrender_and_the_darksword_stage_6_arnheim_attacker_01	wh2_main_qb_def_morathi_heartrender_and_the_darksword_stage_6_attacker_morathi	player_army
wh2_main_qb_def_morathi_heartrender_and_the_darksword_stage_6_arnheim_defender_01	wh2_main_qb_def_morathi_heartrender_and_the_darksword_stage_6_defender_prince	enemy_army
wh2_main_qb_final_battle_ai_def_attacker_ally	wh2_main_qb_final_battle_def_general_attacker_ally	
wh2_main_qb_final_battle_ai_def_attacker_reinforcements	wh2_main_qb_final_battle_def_general	def_wave_2
wh2_main_qb_final_battle_ai_def_attacker_reinforcements	wh2_main_qb_final_battle_def_sorceress	def_wave_2
wh2_main_qb_final_battle_ai_def_defender_reinforcements	wh2_main_qb_final_battle_def_ai_morathi	
wh2_main_qb_final_battle_ai_def_defender	wh2_main_qb_final_battle_def_general_with_army_abilities	
wh2_main_qb_final_battle_ai_def_defender	wh2_main_qb_final_battle_def_khainite_assassin	
wh2_main_qb_final_battle_ai_def_defender	wh2_main_qb_final_battle_def_sorceress	
wh2_main_qb_final_battle_ai_hef_attacker_ally	wh2_main_qb_final_battle_hef_general_attacker_ally	
wh2_main_qb_final_battle_ai_hef_attacker_reinforcements	wh2_main_qb_final_battle_hef_general	hef_wave_2
wh2_main_qb_final_battle_ai_hef_attacker_reinforcements	wh2_main_qb_final_battle_hef_mage	hef_wave_2
wh2_main_qb_final_battle_ai_hef_defender_reinforcements	wh2_main_qb_final_battle_hef_ai_teclis	
wh2_main_qb_final_battle_ai_hef_defender	wh2_main_qb_final_battle_hef_general_with_army_abilities	
wh2_main_qb_final_battle_ai_hef_defender	wh2_main_qb_final_battle_hef_mage	
wh2_main_qb_final_battle_ai_hef_defender	wh2_main_qb_final_battle_hef_noble	
wh2_main_qb_final_battle_ai_hef_skaven_defence	wh2_main_qb_final_battle_ai_hef_skaven_defence_general	
wh2_main_qb_final_battle_ai_lzd_attacker_ally	wh2_main_qb_final_battle_lzd_general_attacker_ally	
wh2_main_qb_final_battle_ai_lzd_attacker_reinforcements	wh2_main_qb_final_battle_lzd_general	lzd_wave_2
wh2_main_qb_final_battle_ai_lzd_attacker_reinforcements	wh2_main_qb_final_battle_lzd_skink_priest	lzd_wave_2
wh2_main_qb_final_battle_ai_lzd_defender_reinforcements	wh2_main_qb_final_battle_lzd_ai_kroq_gar	
wh2_main_qb_final_battle_ai_lzd_defender	wh2_main_qb_final_battle_lzd_general_with_army_abilities	
wh2_main_qb_final_battle_ai_lzd_defender	wh2_main_qb_final_battle_lzd_saurus_scar_veteran	
wh2_main_qb_final_battle_ai_lzd_defender	wh2_main_qb_final_battle_lzd_skink_priest	
wh2_main_qb_final_battle_ai_skv_attacker_ally	wh2_main_qb_final_battle_skv_general_attacker_ally	
wh2_main_qb_final_battle_ai_skv_defender_reinforcements	wh2_main_qb_final_battle_skv_ai_lord_skrolk	
wh2_main_qb_final_battle_ai_skv_defender	wh2_main_qb_final_battle_skv_general_with_army_abilities	
wh2_main_qb_final_battle_ai_skv_defender	wh2_main_qb_final_battle_skv_plague_priest	
wh2_main_qb_final_battle_ai_skv_defender	wh2_main_qb_final_battle_skv_warlock_engineer	
wh2_main_qb_final_battle_ai_skv_grey_seer_clan_reinforcements	wh2_main_qb_final_battle_skv_warlock_engineer	reinforcements
wh2_main_qb_final_battle_ai_skv_grey_seer_clan	wh2_main_qb_final_battle_ai_skv_grey_seer_clan_general	
wh2_main_qb_final_battle_def_frontend_player	wh2_main_qb_final_battle_def_general_with_army_abilities	
wh2_main_qb_final_battle_def_frontend_player	wh2_main_qb_final_battle_def_khainite_assassin	
wh2_main_qb_final_battle_def_frontend_player	wh2_main_qb_final_battle_def_sorceress	
wh2_main_qb_final_battle_head_to_head_skv_grey_seer_clan	wh2_main_qb_final_battle_head_to_head_general	
wh2_main_qb_final_battle_hef_frontend_player	wh2_main_qb_final_battle_hef_general_with_army_abilities	
wh2_main_qb_final_battle_hef_frontend_player	wh2_main_qb_final_battle_hef_mage	
wh2_main_qb_final_battle_hef_frontend_player	wh2_main_qb_final_battle_hef_noble	
wh2_main_qb_final_battle_lzd_frontend_player	wh2_main_qb_final_battle_lzd_general_with_army_abilities	
wh2_main_qb_final_battle_lzd_frontend_player	wh2_main_qb_final_battle_lzd_saurus_scar_veteran	
wh2_main_qb_final_battle_lzd_frontend_player	wh2_main_qb_final_battle_lzd_skink_priest	
wh2_main_qb_final_battle_skv_frontend_player	wh2_main_qb_final_battle_skv_general_with_army_abilities	
wh2_main_qb_final_battle_skv_frontend_player	wh2_main_qb_final_battle_skv_plague_priest	
wh2_main_qb_final_battle_skv_frontend_player	wh2_main_qb_final_battle_skv_warlock_engineer	
wh2_main_qb_hef_teclis_sword_of_teclis_stage_3_vauls_anvil_attacker_01	wh2_main_qb_hef_teclis_sword_of_teclis_stage_3_vauls_anvil_attacker_teclis	player_army
wh2_main_qb_hef_teclis_sword_of_teclis_stage_3_vauls_anvil_attacker_02	wh2_main_qb_hef_teclis_sword_of_teclis_stage_3_vauls_anvil_attacker_tyrion	ally_tyrion_west
wh2_main_qb_hef_teclis_sword_of_teclis_stage_3_vauls_anvil_defender_01	wh2_main_qb_hef_teclis_sword_of_teclis_stage_3_vauls_anvil_defender_dreadlord	enemy_main_army
wh2_main_qb_hef_teclis_sword_of_teclis_stage_3_vauls_anvil_defender_03	wh2_main_qb_hef_teclis_sword_of_teclis_stage_3_vauls_anvil_defender_malekith	enemy_malekith
