battle_set_piece_armies_units_junctions_tables
3
unknown0	unknown1	unknown2	unknown3
wh2_main_qb_def_malekith_circlet_of_iron_stage_3_altar_of_ultimate_darkness_attacker_01	wh_dlc01_chs_inf_forsaken_0_tier_3	enemy_army	3
wh2_main_qb_def_malekith_circlet_of_iron_stage_3_altar_of_ultimate_darkness_attacker_01	wh_main_chs_cav_chaos_knights_0_tier_4	enemy_army	2
wh2_main_qb_def_malekith_circlet_of_iron_stage_3_altar_of_ultimate_darkness_attacker_02	wh_dlc06_chs_inf_aspiring_champions_0	enemy_reinforcements_1	1
wh2_main_qb_def_malekith_circlet_of_iron_stage_3_altar_of_ultimate_darkness_attacker_02	wh_main_chs_inf_chaos_marauders_1_tier_2	enemy_reinforcements_1	2
wh2_main_qb_def_malekith_circlet_of_iron_stage_3_altar_of_ultimate_darkness_attacker_02	wh_main_chs_inf_chaos_warriors_0_tier_3	enemy_reinforcements_1	2
wh2_main_qb_def_malekith_circlet_of_iron_stage_3_altar_of_ultimate_darkness_attacker_03	wh_dlc01_chs_inf_forsaken_0_tier_3	enemy_reinforcements_2	2
wh2_main_qb_def_malekith_circlet_of_iron_stage_3_altar_of_ultimate_darkness_attacker_03	wh_main_chs_mon_chaos_spawn_tier_4	enemy_reinforcements_2	1
wh2_main_qb_def_malekith_circlet_of_iron_stage_3_altar_of_ultimate_darkness_defender_01	wh2_main_def_art_reaper_bolt_thrower	player_army	1
wh2_main_qb_def_malekith_circlet_of_iron_stage_3_altar_of_ultimate_darkness_defender_01	wh2_main_def_cav_cold_one_chariot	player_army	1
wh2_main_qb_def_malekith_circlet_of_iron_stage_3_altar_of_ultimate_darkness_defender_01	wh2_main_def_cav_cold_one_knights_0	player_army	1
wh2_main_qb_def_malekith_circlet_of_iron_stage_3_altar_of_ultimate_darkness_defender_01	wh2_main_def_cav_dark_riders_0	player_army	2
wh2_main_qb_def_malekith_circlet_of_iron_stage_3_altar_of_ultimate_darkness_defender_01	wh2_main_def_inf_black_ark_corsairs_0	player_army	1
wh2_main_qb_def_malekith_circlet_of_iron_stage_3_altar_of_ultimate_darkness_defender_01	wh2_main_def_inf_black_ark_corsairs_1	player_army	1
wh2_main_qb_def_malekith_circlet_of_iron_stage_3_altar_of_ultimate_darkness_defender_01	wh2_main_def_inf_black_guard_0	player_army	1
wh2_main_qb_def_malekith_circlet_of_iron_stage_3_altar_of_ultimate_darkness_defender_01	wh2_main_def_inf_bleakswords_0	player_army	3
wh2_main_qb_def_malekith_circlet_of_iron_stage_3_altar_of_ultimate_darkness_defender_01	wh2_main_def_inf_darkshards_0	player_army	2
wh2_main_qb_def_malekith_circlet_of_iron_stage_3_altar_of_ultimate_darkness_defender_01	wh2_main_def_inf_darkshards_1	player_army	2
wh2_main_qb_def_malekith_circlet_of_iron_stage_3_altar_of_ultimate_darkness_defender_01	wh2_main_def_inf_dreadspears_0	player_army	4
wh2_main_qb_def_malekith_destroyer_stage_3_vauls_anvil_attacker_01	wh2_main_def_cav_cold_one_knights_0	player_army	2
wh2_main_qb_def_malekith_destroyer_stage_3_vauls_anvil_attacker_01	wh2_main_def_cav_dark_riders_2	player_army	1
wh2_main_qb_def_malekith_destroyer_stage_3_vauls_anvil_attacker_01	wh2_main_def_inf_black_ark_corsairs_0	player_army	4
wh2_main_qb_def_malekith_destroyer_stage_3_vauls_anvil_attacker_01	wh2_main_def_inf_black_guard_0	player_army	2
wh2_main_qb_def_malekith_destroyer_stage_3_vauls_anvil_attacker_01	wh2_main_def_inf_darkshards_1	player_army	4
wh2_main_qb_def_malekith_destroyer_stage_3_vauls_anvil_attacker_01	wh2_main_def_inf_har_ganeth_executioners_0	player_army	2
wh2_main_qb_def_malekith_destroyer_stage_3_vauls_anvil_attacker_01	wh2_main_def_inf_harpies	player_army	1
wh2_main_qb_def_malekith_destroyer_stage_3_vauls_anvil_attacker_01	wh2_main_def_inf_witch_elves_0	player_army	2
wh2_main_qb_def_malekith_destroyer_stage_3_vauls_anvil_attacker_01	wh2_main_def_mon_war_hydra	player_army	1
wh2_main_qb_def_malekith_destroyer_stage_3_vauls_anvil_attacker_02	wh2_main_def_inf_bleakswords_0	player_ally_1	5
wh2_main_qb_def_malekith_destroyer_stage_3_vauls_anvil_attacker_02	wh2_main_def_inf_darkshards_0	player_ally_1	4
wh2_main_qb_def_malekith_destroyer_stage_3_vauls_anvil_attacker_02	wh2_main_def_inf_dreadspears_0	player_ally_1	5
wh2_main_qb_def_malekith_destroyer_stage_3_vauls_anvil_defender_01	wh2_main_hef_art_eagle_claw_bolt_thrower	enemy_tyrion	1
wh2_main_qb_def_malekith_destroyer_stage_3_vauls_anvil_defender_01	wh2_main_hef_cav_dragon_princes	enemy_tyrion	1
wh2_main_qb_def_malekith_destroyer_stage_3_vauls_anvil_defender_01	wh2_main_hef_cav_silver_helms_0	enemy_tyrion	3
wh2_main_qb_def_malekith_destroyer_stage_3_vauls_anvil_defender_01	wh2_main_hef_inf_archers_1	enemy_tyrion	4
wh2_main_qb_def_malekith_destroyer_stage_3_vauls_anvil_defender_01	wh2_main_hef_inf_phoenix_guard	enemy_tyrion	3
wh2_main_qb_def_malekith_destroyer_stage_3_vauls_anvil_defender_01	wh2_main_hef_inf_spearmen_0	enemy_tyrion	4
wh2_main_qb_def_malekith_destroyer_stage_3_vauls_anvil_defender_01	wh2_main_hef_inf_white_lions_of_chrace_0	enemy_tyrion	2
wh2_main_qb_def_malekith_destroyer_stage_3_vauls_anvil_defender_02	wh2_main_hef_inf_lothern_sea_guard_1	enemy_teclis_west	3
wh2_main_qb_def_malekith_destroyer_stage_3_vauls_anvil_defender_02	wh2_main_hef_inf_swordmasters_of_hoeth_0	enemy_teclis_west	3
wh2_main_qb_def_malekith_destroyer_stage_3_vauls_anvil_defender_02	wh2_main_hef_mon_phoenix_flamespyre	enemy_teclis_east	1
wh2_main_qb_def_malekith_destroyer_stage_3_vauls_anvil_defender_03	wh2_main_hef_cav_ellyrian_reavers_0	enemy_teclis_east	3
wh2_main_qb_def_malekith_supreme_spellshield_stage_3_mosquito_swamps_attacker_01	wh2_main_def_cav_cold_one_knights_0	player_army	2
wh2_main_qb_def_malekith_supreme_spellshield_stage_3_mosquito_swamps_attacker_01	wh2_main_def_cav_dark_riders_0	player_army	2
wh2_main_qb_def_malekith_supreme_spellshield_stage_3_mosquito_swamps_attacker_01	wh2_main_def_inf_black_ark_corsairs_0	player_army	4
wh2_main_qb_def_malekith_supreme_spellshield_stage_3_mosquito_swamps_attacker_01	wh2_main_def_inf_black_ark_corsairs_1	player_army	3
wh2_main_qb_def_malekith_supreme_spellshield_stage_3_mosquito_swamps_attacker_01	wh2_main_def_inf_black_guard_0	player_army	3
wh2_main_qb_def_malekith_supreme_spellshield_stage_3_mosquito_swamps_attacker_01	wh2_main_def_inf_har_ganeth_executioners_0	player_army	1
wh2_main_qb_def_malekith_supreme_spellshield_stage_3_mosquito_swamps_attacker_01	wh2_main_def_inf_shades_1	player_army	2
wh2_main_qb_def_malekith_supreme_spellshield_stage_3_mosquito_swamps_attacker_01	wh2_main_def_mon_war_hydra	player_army	1
wh2_main_qb_def_malekith_supreme_spellshield_stage_3_mosquito_swamps_attacker_02	wh2_main_def_cav_dark_riders_0	player_ally_1	2
