battle_types_to_victory_conditions_tables
2
battle_type	attacker_victory_condition	defender_victory_condition
ambush	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY
capture_point	BATTLE_SETUP_VICTORY_CONDITION_CAPTURE_ALL_KEY_LOCATIONS	BATTLE_SETUP_VICTORY_CONDITION_CAPTURE_ALL_KEY_LOCATIONS
classic	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY
coastal_battle	BATTLE_SETUP_VICTORY_CONDITION_CAPTURE_BAGGAGE_TRAIN	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY
coastal_battle	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY
free_for_all	BATTLE_SETUP_VICTORY_CONDITION_SCORED_RESOLUTION	BATTLE_SETUP_VICTORY_CONDITION_SCORED_RESOLUTION
limes	BATTLE_SETUP_VICTORY_CONDITION_CAPTURE_LOCATIONS	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY
limes	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY
naval	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY
naval_siege	BATTLE_SETUP_VICTORY_CONDITION_CAPTURE_SETTLEMENT	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY
naval_siege	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY
river_crossing_battle	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY
siege	BATTLE_SETUP_VICTORY_CONDITION_CAPTURE_SETTLEMENT	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY
siege	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY
underground_intercept	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY
unfortified_port	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY
unfortified_settlement	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY
