building_chain_availability_sets_tables
0
building_chain	set_key
wh2_main_def_barracks	wh2_main_bas_def
wh2_main_def_beasts	wh2_main_bas_def
wh2_main_def_coldones	wh2_main_bas_def
wh2_main_def_defence_major	wh2_main_bas_def
wh2_main_def_defence_minor	wh2_main_bas_def
wh2_main_def_defence_norsca	wh2_main_bas_def
wh2_main_def_exiles	wh2_main_bas_def
wh2_main_def_farm	wh2_main_bas_def
wh2_main_def_industry	wh2_main_bas_def
wh2_main_def_murder	wh2_main_bas_def
wh2_main_def_order	wh2_main_bas_def
wh2_main_def_outpostnorsca_major	wh2_main_bas_def
wh2_main_def_outpostnorsca_major_coast	wh2_main_bas_def
wh2_main_def_outpostnorsca_minor	wh2_main_bas_def
wh2_main_def_outpostnorsca_minor_coast	wh2_main_bas_def
wh2_main_def_pleasure_cult	wh2_main_bas_def
wh2_main_def_port	wh2_main_bas_def
wh2_main_def_resource_animals	wh2_main_bas_def
wh2_main_def_resource_dyes	wh2_main_bas_def
wh2_main_def_resource_furs	wh2_main_bas_def
wh2_main_def_resource_gems	wh2_main_bas_def
wh2_main_def_resource_gold	wh2_main_bas_def
wh2_main_def_resource_iron	wh2_main_bas_def
wh2_main_def_resource_marble	wh2_main_bas_def
wh2_main_def_resource_medicine	wh2_main_bas_def
wh2_main_def_resource_obsidian	wh2_main_bas_def
wh2_main_def_resource_pasture	wh2_main_bas_def
wh2_main_def_resource_pottery	wh2_main_bas_def
wh2_main_def_resource_salt	wh2_main_bas_def
wh2_main_def_resource_spices	wh2_main_bas_def
wh2_main_def_resource_wine	wh2_main_bas_def
wh2_main_def_resource_wood	wh2_main_bas_def
wh2_main_def_riders	wh2_main_bas_def
wh2_main_def_roads	wh2_main_bas_def
wh2_main_def_settlement_major	wh2_main_bas_def
wh2_main_def_settlement_major_coast	wh2_main_bas_def
wh2_main_def_settlement_minor	wh2_main_bas_def
wh2_main_def_settlement_minor_coast	wh2_main_bas_def
wh2_main_def_slaves	wh2_main_bas_def
wh2_main_def_sorcery	wh2_main_bas_def
wh2_main_def_worship	wh2_main_bas_def
wh2_main_horde_def_beasts	wh2_main_bas_def
wh2_main_horde_def_bombardment_a	wh2_main_bas_def
wh2_main_horde_def_bombardment_b	wh2_main_bas_def
wh2_main_horde_def_bombardment_c	wh2_main_bas_def
wh2_main_horde_def_entertainment	wh2_main_bas_def
wh2_main_horde_def_military	wh2_main_bas_def
wh2_main_horde_def_settlement	wh2_main_bas_def
wh2_main_horde_def_slavery	wh2_main_bas_def
wh2_main_horde_def_sorcery	wh2_main_bas_def
wh2_main_horde_def_worship	wh2_main_bas_def
wh2_main_ritual_def	wh2_main_bas_def
wh2_main_special_altar_of_ultimate_darkness	wh2_main_bas_def
wh2_main_special_anlec_citadel_def	wh2_main_bas_def
wh2_main_special_chamber_of_visions	wh2_main_bas_def
wh2_main_special_clar_karond_lairs	wh2_main_bas_def
wh2_main_special_def_vauls_anvil	wh2_main_bas_def
wh2_main_special_fortress_gate_eagle_chaos	wh2_main_bas_def
wh2_main_special_fortress_gate_eagle_untainted	wh2_main_bas_def
wh2_main_special_fortress_gate_griffon_chaos	wh2_main_bas_def
wh2_main_special_fortress_gate_griffon_untainted	wh2_main_bas_def
wh2_main_special_fortress_gate_phoenix_chaos	wh2_main_bas_def
wh2_main_special_fortress_gate_phoenix_untainted	wh2_main_bas_def
wh2_main_special_fortress_gate_unicorn_chaos	wh2_main_bas_def
wh2_main_special_fortress_gate_unicorn_untainted	wh2_main_bas_def
wh2_main_special_ghrond_convent_of_sorcery	wh2_main_bas_def
wh2_main_special_glittering_tower	wh2_main_bas_def
wh2_main_special_golden_tower_of_the_gods_other	wh2_main_bas_def
wh2_main_special_hag_graef_mines_def	wh2_main_bas_def
wh2_main_special_hall_of_dragons	wh2_main_bas_def
wh2_main_special_har_ganeth_hellebron_palace	wh2_main_bas_def
wh2_main_special_har_ganeth_temple_of_khaine	wh2_main_bas_def
wh2_main_special_hexoatl_stellar_pyramids_other	wh2_main_bas_def
wh2_main_special_itza_emerald_pools	wh2_main_bas_def
wh2_main_special_karond_kar_slavers	wh2_main_bas_def
wh2_main_special_lothern_port_other	wh2_main_bas_def
wh2_main_special_naggarond_blackguard	wh2_main_bas_def
wh2_main_special_naggarond_witch_king	wh2_main_bas_def
wh2_main_special_pyramid_of_nagash_other	wh2_main_bas_def
wh2_main_special_quintex	wh2_main_bas_def
wh2_main_special_settlement_altdorf_def	wh2_main_bas_def
wh2_main_special_settlement_athel_loren_def	wh2_main_bas_def
wh2_main_special_settlement_black_crag_def	wh2_main_bas_def
wh2_main_special_settlement_castle_drakenhof_def	wh2_main_bas_def
wh2_main_special_settlement_colony_major_other	wh2_main_bas_def
wh2_main_special_settlement_colony_minor_other	wh2_main_bas_def
wh2_main_special_settlement_couronne_def	wh2_main_bas_def
wh2_main_special_settlement_eight_peaks_def	wh2_main_bas_def
wh2_main_special_settlement_hellpit_other	wh2_main_bas_def
wh2_main_special_settlement_hexoatl_def	wh2_main_bas_def
wh2_main_special_settlement_itza_def	wh2_main_bas_def
wh2_main_special_settlement_karaz_a_karak_def	wh2_main_bas_def
wh2_main_special_settlement_khemri_def	wh2_main_bas_def
wh2_main_special_settlement_kislev_def	wh2_main_bas_def
wh2_main_special_settlement_lahmia_def	wh2_main_bas_def
wh2_main_special_settlement_lothern_def	wh2_main_bas_def
wh2_main_special_settlement_miragliano_def	wh2_main_bas_def
wh2_main_special_settlement_naggarond	wh2_main_bas_def
wh2_main_special_settlement_skavenblight_other	wh2_main_bas_def
wh2_main_special_shrine_of_asuryan_def	wh2_main_bas_def
wh2_main_special_shrine_of_khaine_def	wh2_main_bas_def
wh2_main_special_tiranoc_palace_def	wh2_main_bas_def
wh2_main_special_tower_of_hoeth_def	wh2_main_bas_def
wh2_main_special_underworld_sea_gate	wh2_main_bas_def
wh2_main_special_yvresse_amphitheatre_def	wh2_main_bas_def
wh2_main_special_ziggurat_of_dawn_beacon	wh2_main_bas_def
wh2_main_special_ziggurat_of_dawn_beacon_chs	wh2_main_bas_def
wh2_main_wef_oak_of_ages_occupied	wh2_main_bas_def
wh_main_bretonnia_legendary_bordeleaux	wh2_main_bas_def
wh_main_special_bordeleaux_vineyards	wh2_main_bas_def
wh_main_special_erengrad_port	wh2_main_bas_def
wh_main_special_marienburg_port	wh2_main_bas_def
wh2_main_hef_barracks	wh2_main_bas_hef
wh2_main_hef_court	wh2_main_bas_hef
wh2_main_hef_defence_major	wh2_main_bas_hef
wh2_main_hef_defence_minor	wh2_main_bas_hef
wh2_main_hef_defence_norsca	wh2_main_bas_hef
wh2_main_hef_dragons	wh2_main_bas_hef
wh2_main_hef_embassy	wh2_main_bas_hef
wh2_main_hef_farm	wh2_main_bas_hef
wh2_main_hef_hunters	wh2_main_bas_hef
wh2_main_hef_industry	wh2_main_bas_hef
wh2_main_hef_mages	wh2_main_bas_hef
wh2_main_hef_order	wh2_main_bas_hef
wh2_main_hef_outpostnorsca_major	wh2_main_bas_hef
wh2_main_hef_outpostnorsca_major_coast	wh2_main_bas_hef
wh2_main_hef_outpostnorsca_minor	wh2_main_bas_hef
wh2_main_hef_outpostnorsca_minor_coast	wh2_main_bas_hef
wh2_main_hef_port	wh2_main_bas_hef
wh2_main_hef_resource_animals	wh2_main_bas_hef
wh2_main_hef_resource_dyes	wh2_main_bas_hef
wh2_main_hef_resource_furs	wh2_main_bas_hef
wh2_main_hef_resource_gems	wh2_main_bas_hef
wh2_main_hef_resource_gold	wh2_main_bas_hef
wh2_main_hef_resource_iron	wh2_main_bas_hef
wh2_main_hef_resource_marble	wh2_main_bas_hef
wh2_main_hef_resource_medicine	wh2_main_bas_hef
wh2_main_hef_resource_obsidian	wh2_main_bas_hef
wh2_main_hef_resource_pasture	wh2_main_bas_hef
wh2_main_hef_resource_pottery	wh2_main_bas_hef
wh2_main_hef_resource_salt	wh2_main_bas_hef
wh2_main_hef_resource_spices	wh2_main_bas_hef
wh2_main_hef_resource_wine	wh2_main_bas_hef
wh2_main_hef_resource_wood	wh2_main_bas_hef
wh2_main_hef_settlement_major	wh2_main_bas_hef
wh2_main_hef_settlement_major_coast	wh2_main_bas_hef
wh2_main_hef_settlement_minor	wh2_main_bas_hef
wh2_main_hef_settlement_minor_coast	wh2_main_bas_hef
wh2_main_hef_smith	wh2_main_bas_hef
wh2_main_hef_stables	wh2_main_bas_hef
wh2_main_hef_worship	wh2_main_bas_hef
wh2_main_ritual_hef	wh2_main_bas_hef
wh2_main_special_anlec_citadel_hef	wh2_main_bas_hef
wh2_main_special_chamber_of_visions	wh2_main_bas_hef
wh2_main_special_clar_karond_lairs_other	wh2_main_bas_hef
wh2_main_special_cothique_palace	wh2_main_bas_hef
wh2_main_special_def_vauls_anvil_hef	wh2_main_bas_hef
wh2_main_special_ellyrian_stables	wh2_main_bas_hef
wh2_main_special_everqueen_court	wh2_main_bas_hef
wh2_main_special_fortress_gate_eagle_hef	wh2_main_bas_hef
wh2_main_special_fortress_gate_griffon_hef	wh2_main_bas_hef
wh2_main_special_fortress_gate_phoenix_hef	wh2_main_bas_hef
wh2_main_special_fortress_gate_unicorn_hef	wh2_main_bas_hef
wh2_main_special_ghrond_convent_of_sorcery_hef	wh2_main_bas_hef
wh2_main_special_glittering_tower	wh2_main_bas_hef
wh2_main_special_golden_tower_of_the_gods_other	wh2_main_bas_hef
wh2_main_special_hag_graef_mines	wh2_main_bas_hef
