building_effects_junction_tables
3
building	effect	effect_scope	value	value_damaged	value_ruined
wh2_main_brt_resource_animals_1	wh2_main_effect_building_recruitment_cost_reduction_brt_resource_animals	province_to_province_own	-20	-10	0
wh2_main_brt_resource_animals_1	wh_main_effect_economy_gdp_culture	building_to_building_own	100	50	0
wh2_main_brt_resource_animals_1	wh_main_effect_region_resource_animals_production	building_to_building_own	20	10	0
wh2_main_brt_resource_animals_2	wh2_main_effect_building_recruitment_cost_reduction_brt_resource_animals	province_to_province_own	-25	-13	0
wh2_main_brt_resource_animals_2	wh2_main_effect_resource_unit_xp_levels_brt_resource_animals	province_to_province_own	1	1	0
wh2_main_brt_resource_animals_2	wh_main_effect_economy_gdp_culture	building_to_building_own	150	75	0
wh2_main_brt_resource_animals_2	wh_main_effect_region_resource_animals_production	building_to_building_own	30	15	0
wh2_main_brt_resource_animals_3	wh2_main_effect_building_recruitment_cost_reduction_brt_resource_animals	province_to_province_own	-30	-15	0
wh2_main_brt_resource_animals_3	wh2_main_effect_building_upkeep_cost_reduction_brt_resource_animals	faction_to_force_own	-3	-2	0
wh2_main_brt_resource_animals_3	wh2_main_effect_resource_unit_xp_levels_brt_resource_animals	province_to_province_own	2	1	0
wh2_main_brt_resource_animals_3	wh_main_effect_economy_gdp_culture	building_to_building_own	200	100	0
wh2_main_brt_resource_animals_3	wh_main_effect_region_resource_animals_production	building_to_building_own	45	23	0
wh2_main_brt_resource_dyes_1	wh_main_effect_economy_gdp_culture	building_to_building_own	100	50	0
wh2_main_brt_resource_dyes_1	wh_main_effect_region_resource_dyes_production	building_to_building_own	20	10	0
wh2_main_brt_resource_dyes_2	wh_main_effect_economy_gdp_culture	building_to_building_own	150	75	0
wh2_main_brt_resource_dyes_2	wh_main_effect_region_resource_dyes_production	building_to_building_own	30	15	0
wh2_main_brt_resource_dyes_3	wh_main_effect_economy_gdp_culture	building_to_building_own	200	100	0
wh2_main_brt_resource_dyes_3	wh_main_effect_region_resource_dyes_production	building_to_building_own	45	23	0
wh2_main_brt_resource_furs_1	wh_main_effect_province_growth_building	region_to_province_own	5	3	0
wh2_main_brt_resource_furs_1	wh_main_effect_region_resource_furs_production	building_to_building_own	20	10	0
wh2_main_brt_resource_furs_2	wh_main_effect_province_growth_building	region_to_province_own	8	4	0
wh2_main_brt_resource_furs_2	wh_main_effect_region_resource_furs_production	building_to_building_own	30	15	0
wh2_main_brt_resource_furs_3	wh_main_effect_province_growth_building	region_to_province_own	10	5	0
wh2_main_brt_resource_furs_3	wh_main_effect_region_resource_furs_production	building_to_building_own	45	23	0
wh2_main_brt_resource_gemstones_1	wh_main_effect_economy_gdp_mining	building_to_building_own	300	150	0
wh2_main_brt_resource_gemstones_1	wh_main_effect_region_resource_gem_production	building_to_building_own	16	8	0
wh2_main_brt_resource_gemstones_2	wh_main_effect_economy_gdp_mining	building_to_building_own	450	225	0
wh2_main_brt_resource_gemstones_2	wh_main_effect_region_resource_gem_production	building_to_building_own	24	12	0
wh2_main_brt_resource_gemstones_3	wh_main_effect_economy_gdp_mining	building_to_building_own	600	300	0
wh2_main_brt_resource_gemstones_3	wh_main_effect_region_resource_gem_production	building_to_building_own	32	16	0
wh2_main_brt_resource_gold_1	wh_main_effect_economy_gdp_mining	building_to_building_own	600	300	0
wh2_main_brt_resource_gold_2	wh_main_effect_economy_gdp_mining	building_to_building_own	900	450	0
wh2_main_brt_resource_gold_3	wh_main_effect_agent_recruitment_xp_champion_empire	faction_to_province_own	1	1	0
wh2_main_brt_resource_gold_3	wh_main_effect_economy_gdp_mining	building_to_building_own	1200	600	0
