cai_construction_system_synergies_tables
1
existing_building_chain_key	unknown1	unknown2	potential_buiding_chain_key	unknown4	unknown5	synergy_level_key	synergy_policy_key	unknown8	existing_building_super_chain	unknown10	potential_building_super_chain	unknown12
wh2_main_def_settlement_major_coast	wh2_main_def_settlement_major_5_coast	wh2_main_def_settlement_major_1_coast	wh2_main_def_barracks	wh2_main_def_barracks_3	wh2_main_def_barracks_1	cai_cs_negative_level_low	cai_cs_synergy_policy_default		wh_main_sch_settlement_major_coast		wh2_main_sch_military1_barracks	CAI_SYNERGY_SCOPE_REGIONWIDE
wh2_main_def_settlement_major_coast	wh2_main_def_settlement_major_5_coast	wh2_main_def_settlement_major_1_coast	wh2_main_def_exiles	wh2_main_def_exiles_2	wh2_main_def_exiles_1	cai_cs_negative_level_medium	cai_cs_synergy_policy_default		wh_main_sch_settlement_major_coast		wh2_main_sch_military3_warmachines	CAI_SYNERGY_SCOPE_REGIONWIDE
wh2_main_def_settlement_major_coast	wh2_main_def_settlement_major_5_coast	wh2_main_def_settlement_major_1_coast	wh2_main_def_farm	wh2_main_def_farm_3	wh2_main_def_farm_1	cai_cs_negative_level_low	cai_cs_synergy_policy_default		wh_main_sch_settlement_major_coast		wh2_main_sch_infrastructure1_farm	CAI_SYNERGY_SCOPE_REGIONWIDE
wh2_main_def_settlement_major_coast	wh2_main_def_settlement_major_5_coast	wh2_main_def_settlement_major_1_coast	wh2_main_def_industry	wh2_main_def_industry_3	wh2_main_def_industry_1	cai_cs_synergy_level_medium	cai_cs_synergy_policy_default		wh_main_sch_settlement_major_coast		wh2_main_sch_infrastructure2_industry	CAI_SYNERGY_SCOPE_REGIONWIDE
wh2_main_def_settlement_major_coast	wh2_main_def_settlement_major_5_coast	wh2_main_def_settlement_major_1_coast	wh2_main_def_riders	wh2_main_def_riders_2	wh2_main_def_riders_1	cai_cs_negative_level_medium	cai_cs_synergy_policy_default		wh_main_sch_settlement_major_coast		wh2_main_sch_military2_stables	CAI_SYNERGY_SCOPE_REGIONWIDE
wh2_main_def_settlement_major_coast	wh2_main_def_settlement_major_5_coast	wh2_main_def_settlement_major_5_coast	wh2_main_def_farm	wh2_main_def_farm_3	wh2_main_def_farm_1	cai_cs_negative_level_high	cai_cs_synergy_policy_default		wh_main_sch_settlement_major_coast		wh2_main_sch_infrastructure1_farm	CAI_SYNERGY_SCOPE_PROVINCEWIDE
wh2_main_def_settlement_major	wh2_main_def_settlement_major_5	wh2_main_def_settlement_major_1	wh2_main_def_barracks	wh2_main_def_barracks_3	wh2_main_def_barracks_1	cai_cs_negative_level_low	cai_cs_synergy_policy_default		wh_main_sch_settlement_major		wh2_main_sch_military1_barracks	CAI_SYNERGY_SCOPE_REGIONWIDE
wh2_main_def_settlement_major	wh2_main_def_settlement_major_5	wh2_main_def_settlement_major_1	wh2_main_def_exiles	wh2_main_def_exiles_2	wh2_main_def_exiles_1	cai_cs_negative_level_medium	cai_cs_synergy_policy_default		wh_main_sch_settlement_major		wh2_main_sch_military3_warmachines	CAI_SYNERGY_SCOPE_REGIONWIDE
wh2_main_def_settlement_major	wh2_main_def_settlement_major_5	wh2_main_def_settlement_major_1	wh2_main_def_farm	wh2_main_def_farm_3	wh2_main_def_farm_1	cai_cs_negative_level_low	cai_cs_synergy_policy_default		wh_main_sch_settlement_major		wh2_main_sch_infrastructure1_farm	CAI_SYNERGY_SCOPE_REGIONWIDE
wh2_main_def_settlement_major	wh2_main_def_settlement_major_5	wh2_main_def_settlement_major_1	wh2_main_def_industry	wh2_main_def_industry_3	wh2_main_def_industry_1	cai_cs_synergy_level_medium	cai_cs_synergy_policy_default		wh_main_sch_settlement_major		wh2_main_sch_infrastructure2_industry	CAI_SYNERGY_SCOPE_REGIONWIDE
wh2_main_def_settlement_major	wh2_main_def_settlement_major_5	wh2_main_def_settlement_major_1	wh2_main_def_riders	wh2_main_def_riders_2	wh2_main_def_riders_1	cai_cs_negative_level_medium	cai_cs_synergy_policy_default		wh_main_sch_settlement_major		wh2_main_sch_military2_stables	CAI_SYNERGY_SCOPE_REGIONWIDE
wh2_main_def_settlement_major	wh2_main_def_settlement_major_5	wh2_main_def_settlement_major_5	wh2_main_def_farm	wh2_main_def_farm_3	wh2_main_def_farm_1	cai_cs_negative_level_high	cai_cs_synergy_policy_default		wh_main_sch_settlement_major		wh2_main_sch_infrastructure1_farm	CAI_SYNERGY_SCOPE_PROVINCEWIDE
wh2_main_def_settlement_minor_coast	wh2_main_def_settlement_minor_3_coast	wh2_main_def_settlement_minor_1_coast	wh2_main_def_beasts	wh2_main_def_beasts_3	wh2_main_def_beasts_1	cai_cs_negative_level_high	cai_cs_synergy_policy_default		wh_main_sch_settlement_minor_coast		wh2_main_sch_military4_monsters	CAI_SYNERGY_SCOPE_REGIONWIDE
wh2_main_def_settlement_minor_coast	wh2_main_def_settlement_minor_3_coast	wh2_main_def_settlement_minor_1_coast	wh2_main_def_worship	wh2_main_def_worship_1	wh2_main_def_worship_1	cai_cs_negative_level_high	cai_cs_synergy_policy_default		wh_main_sch_settlement_minor_coast		wh2_main_sch_support2_worship	CAI_SYNERGY_SCOPE_REGIONWIDE
wh2_main_def_settlement_minor	wh2_main_def_settlement_minor_3	wh2_main_def_settlement_minor_1	wh2_main_def_beasts	wh2_main_def_beasts_3	wh2_main_def_beasts_1	cai_cs_negative_level_high	cai_cs_synergy_policy_default		wh_main_sch_settlement_minor		wh2_main_sch_military4_monsters	CAI_SYNERGY_SCOPE_REGIONWIDE
wh2_main_def_settlement_minor	wh2_main_def_settlement_minor_3	wh2_main_def_settlement_minor_1	wh2_main_def_worship	wh2_main_def_worship_1	wh2_main_def_worship_1	cai_cs_negative_level_high	cai_cs_synergy_policy_default		wh_main_sch_settlement_minor		wh2_main_sch_support2_worship	CAI_SYNERGY_SCOPE_REGIONWIDE
wh2_main_hef_order	wh2_main_hef_order_5	wh2_main_hef_order_1	wh2_main_hef_court	wh2_main_hef_court_2	wh2_main_hef_court_1	cai_cs_synergy_level_medium	cai_cs_synergy_policy_default		wh2_main_sch_infrastructure3_order		wh2_main_sch_infrastructure4_energy	CAI_SYNERGY_SCOPE_PROVINCEWIDE
wh2_main_hef_port	wh2_main_hef_port_3	wh2_main_hef_port_1	wh2_main_hef_embassy	wh2_main_hef_embassy_1	wh2_main_hef_embassy_1	cai_cs_synergy_level_medium	cai_cs_synergy_policy_default		wh_main_sch_port		wh2_main_sch_infrastructure5_tradingspying	CAI_SYNERGY_SCOPE_PROVINCEWIDE
wh2_main_hef_settlement_major_coast	wh2_main_hef_settlement_major_5_coast	wh2_main_hef_settlement_major_1_coast	wh2_main_hef_barracks	wh2_main_hef_barracks_3	wh2_main_hef_barracks_1	cai_cs_negative_level_medium	cai_cs_synergy_policy_default		wh_main_sch_settlement_major_coast		wh2_main_sch_military1_barracks	CAI_SYNERGY_SCOPE_REGIONWIDE
wh2_main_hef_settlement_major_coast	wh2_main_hef_settlement_major_5_coast	wh2_main_hef_settlement_major_1_coast	wh2_main_hef_court	wh2_main_hef_court_2	wh2_main_hef_court_1	cai_cs_synergy_level_low	cai_cs_synergy_policy_default		wh_main_sch_settlement_major_coast		wh2_main_sch_infrastructure4_energy	CAI_SYNERGY_SCOPE_REGIONWIDE
wh2_main_hef_settlement_major_coast	wh2_main_hef_settlement_major_5_coast	wh2_main_hef_settlement_major_1_coast	wh2_main_hef_hunters	wh2_main_hef_hunters_1	wh2_main_hef_hunters_1	cai_cs_negative_level_high	cai_cs_synergy_policy_default		wh_main_sch_settlement_major_coast		wh2_main_sch_military3_warmachines	CAI_SYNERGY_SCOPE_REGIONWIDE
wh2_main_hef_settlement_major_coast	wh2_main_hef_settlement_major_5_coast	wh2_main_hef_settlement_major_1_coast	wh2_main_hef_stables	wh2_main_hef_stables_2	wh2_main_hef_stables_1	cai_cs_negative_level_medium	cai_cs_synergy_policy_default		wh_main_sch_settlement_major_coast		wh2_main_sch_military2_stables	CAI_SYNERGY_SCOPE_REGIONWIDE
wh2_main_hef_settlement_major_coast	wh2_main_hef_settlement_major_5_coast	wh2_main_hef_settlement_major_5_coast	wh2_main_hef_farm	wh2_main_hef_farm_3	wh2_main_hef_farm_1	cai_cs_negative_level_low	cai_cs_synergy_policy_default		wh_main_sch_settlement_major_coast		wh2_main_sch_infrastructure1_farm	CAI_SYNERGY_SCOPE_PROVINCEWIDE
wh2_main_hef_settlement_major	wh2_main_hef_settlement_major_5	wh2_main_hef_settlement_major_1	wh2_main_hef_barracks	wh2_main_hef_barracks_3	wh2_main_hef_barracks_1	cai_cs_negative_level_medium	cai_cs_synergy_policy_default		wh_main_sch_settlement_major		wh2_main_sch_military1_barracks	CAI_SYNERGY_SCOPE_REGIONWIDE
wh2_main_hef_settlement_major	wh2_main_hef_settlement_major_5	wh2_main_hef_settlement_major_1	wh2_main_hef_court	wh2_main_hef_court_2	wh2_main_hef_court_1	cai_cs_synergy_level_low	cai_cs_synergy_policy_default		wh_main_sch_settlement_major		wh2_main_sch_infrastructure4_energy	CAI_SYNERGY_SCOPE_REGIONWIDE
wh2_main_hef_settlement_major	wh2_main_hef_settlement_major_5	wh2_main_hef_settlement_major_1	wh2_main_hef_hunters	wh2_main_hef_hunters_1	wh2_main_hef_hunters_1	cai_cs_negative_level_high	cai_cs_synergy_policy_default		wh_main_sch_settlement_major		wh2_main_sch_military3_warmachines	CAI_SYNERGY_SCOPE_REGIONWIDE
wh2_main_hef_settlement_major	wh2_main_hef_settlement_major_5	wh2_main_hef_settlement_major_1	wh2_main_hef_stables	wh2_main_hef_stables_2	wh2_main_hef_stables_1	cai_cs_negative_level_medium	cai_cs_synergy_policy_default		wh_main_sch_settlement_major		wh2_main_sch_military2_stables	CAI_SYNERGY_SCOPE_REGIONWIDE
wh2_main_hef_settlement_major	wh2_main_hef_settlement_major_5	wh2_main_hef_settlement_major_5	wh2_main_hef_farm	wh2_main_hef_farm_3	wh2_main_hef_farm_1	cai_cs_negative_level_high	cai_cs_synergy_policy_default		wh_main_sch_settlement_major		wh2_main_sch_infrastructure1_farm	CAI_SYNERGY_SCOPE_PROVINCEWIDE
wh2_main_hef_settlement_minor_coast	wh2_main_hef_settlement_minor_3_coast	wh2_main_hef_settlement_minor_1_coast	wh2_main_hef_court	wh2_main_hef_court_2	wh2_main_hef_court_1	cai_cs_negative_level_medium	cai_cs_synergy_policy_default		wh_main_sch_settlement_major_coast		wh2_main_sch_infrastructure4_energy	CAI_SYNERGY_SCOPE_REGIONWIDE
wh2_main_hef_settlement_minor_coast	wh2_main_hef_settlement_minor_3_coast	wh2_main_hef_settlement_minor_1_coast	wh2_main_hef_smith	wh2_main_hef_smith_2	wh2_main_hef_smith_1	cai_cs_negative_level_medium	cai_cs_synergy_policy_default		wh_main_sch_settlement_minor_coast		wh2_main_sch_support1_smith	CAI_SYNERGY_SCOPE_REGIONWIDE
wh2_main_hef_settlement_minor_coast	wh2_main_hef_settlement_minor_3_coast	wh2_main_hef_settlement_minor_1_coast	wh2_main_hef_worship	wh2_main_hef_worship_3	wh2_main_hef_worship_1	cai_cs_negative_level_medium	cai_cs_synergy_policy_default		wh_main_sch_settlement_minor_coast		wh2_main_sch_support2_worship	CAI_SYNERGY_SCOPE_REGIONWIDE
wh2_main_hef_settlement_minor	wh2_main_hef_settlement_minor_3	wh2_main_hef_settlement_minor_1	wh2_main_hef_court	wh2_main_hef_court_2	wh2_main_hef_court_1	cai_cs_negative_level_medium	cai_cs_synergy_policy_default		wh_main_sch_settlement_major		wh2_main_sch_infrastructure4_energy	CAI_SYNERGY_SCOPE_REGIONWIDE
wh2_main_hef_settlement_minor	wh2_main_hef_settlement_minor_3	wh2_main_hef_settlement_minor_1	wh2_main_hef_smith	wh2_main_hef_smith_2	wh2_main_hef_smith_1	cai_cs_negative_level_medium	cai_cs_synergy_policy_default		wh_main_sch_settlement_minor		wh2_main_sch_support1_smith	CAI_SYNERGY_SCOPE_REGIONWIDE
wh2_main_hef_settlement_minor	wh2_main_hef_settlement_minor_3	wh2_main_hef_settlement_minor_1	wh2_main_hef_worship	wh2_main_hef_worship_3	wh2_main_hef_worship_1	cai_cs_negative_level_medium	cai_cs_synergy_policy_default		wh_main_sch_settlement_minor		wh2_main_sch_support2_worship	CAI_SYNERGY_SCOPE_REGIONWIDE
wh2_main_lzd_beasts	wh2_main_lzd_beasts_3	wh2_main_lzd_beasts_1	wh2_main_lzd_worship_oldones	wh2_main_lzd_worship_oldones_3	wh2_main_lzd_worship_oldones_1	cai_cs_synergy_level_medium	cai_cs_synergy_policy_default		wh2_main_sch_military4_monsters		wh2_main_sch_support2_worship	CAI_SYNERGY_SCOPE_PROVINCEWIDE
