cai_personalities_tables
18
agent_distribution_profile_key	agent_recruitment_profile_key	budget_policy_key	key	military_aggressiveness_policy	military_behavior_policy	reliability_policy_key	religious_conversion_policy	allowed_for_random_selection	diplomatic_component	strategic_component	cultural_component	deal_evaluation_component	deal_generation_component	construction_system_policy	task_management_system_task_generation_profile	negotiation_component	income_allocation_policy	occupation_decision_component	religious_component	empire_rivalry_component	religion_chanage_management_policy	tresspassing_component	agent_embed_profile	character_skill_selection_policy
cai_adp_standard	cai_arp_standard	default_budget_policy	default	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	default	default	default	default	default	default_construction_system_policy	default_task_generator_profile	default	default	default	default	default	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy
cai_adp_standard	cai_arp_standard	militarist	dlc06_skarsnik_belegar_want_karak	cai_pmap_high	cai_pmbp_balanced	cai_prp_medium	cai_prcp_evasive	default	default	aggressive_opportunist	default	aggressive_unreliable_joins_strong	default	militarist_construction_system_policy	pro01_aggressive_anti_player_task_generator_profile	non_diplomatic	militarist	default	default	vhard	default_religion_change_management_policy	unreliable	default_all	default_character_skill_selection_policy
cai_adp_standard	cai_arp_standard	default_budget_policy	random	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	default	default	default	default	default	default_construction_system_policy	default_task_generator_profile	default	default	default	default	default	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy
cai_adp_standard	cai_arp_standard	balanced_naval	wh2_darkelf	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	default	darkelf	default	default	default	default_construction_system_policy	default_vcregion_focused_overseas_attacker_task_generator_profile	default	default	capture_all_climate	default	default	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy
cai_adp_standard	cai_arp_standard	balanced_naval	wh2_darkelf_default	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	default	darkelf	default	default	default	default_construction_system_policy	default_task_generator_profile	default	default	capture_all_climate	default	default	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy
cai_adp_standard	cai_arp_standard	balanced_naval	wh2_darkelf_early	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	default	darkelf	default	default	default	default_construction_system_policy	default_coloniser_avoid_oldworld_races_task_generator_profile	default	default	capture_all_climate_early	default	default	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy
cai_adp_standard	cai_arp_standard	balanced_naval	wh2_darkelf_early_easy	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	default	darkelf	default	default	default	default_construction_system_policy	default_coloniser_avoid_oldworld_races_and_player_task_generator_profile	default	peaceful	capture_all_climate_early	default	default	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy
cai_adp_standard	cai_arp_standard	militarist_naval	wh2_darkelf_early_hard	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	default	darkelf	default	default	default	militarist_construction_system_policy	default_coloniser_avoids_oldworld_races_anti_player_task_generator_profile	default	militarist	capture_all_climate_early	default	vhard	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy
cai_adp_standard	cai_arp_standard	balanced_naval	wh2_darkelf_early_internally_hostile_aggressive	cai_pmap_high	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	default	aggressive_darkelf	dislikes_darkelves_internal	aggressive	default	default_construction_system_policy	aggressive_coloniser_avoid_oldworld_races_task_generator_profile	default	default	capture_all_climate_early	default	default	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy
cai_adp_standard	cai_arp_standard	balanced_naval	wh2_darkelf_early_internally_hostile_aggressive_easy	cai_pmap_high	cai_pmbp_balanced	cai_prp_default	cai_prcp_evasive	default	default	aggressive_darkelf	dislikes_darkelves_internal	aggressive	default	default_construction_system_policy	aggressive_coloniser_avoid_oldworld_races_and_player_task_generator_profile	default	peaceful	capture_all_climate_early	default	default	default_religion_change_management_policy	default	default_all	default_character_skill_selection_policy
