cai_personality_deal_evaluation_component_overrides_tables
0
component	parent
aggressive	default
aggressive_diplomat	diplomat
aggressive_diplomat_unfriendly	aggressive_diplomat
aggressive_joins_strong	aggressive
aggressive_joins_strong_subordinate	aggressive_joins_strong
aggressive_joins_strong_unfriendly	aggressive_joins_strong
aggressive_reliable	reliable
aggressive_reliable_unfriendly	aggressive_reliable
aggressive_repulsive	repulsive
aggressive_repulsive_joins_strong	aggressive_repulsive
aggressive_straightforward	aggressive
aggressive_straightforward_unfriendly	aggressive_unfriendly
aggressive_unfriendly	aggressive
aggressive_unreliable	unreliable
aggressive_unreliable_joins_strong	aggressive_unreliable
aggressive_unreliable_joins_strong_lategame	aggressive_unreliable_joins_strong
aggressive_unreliable_joins_strong_subordinate	aggressive_unreliable_joins_strong
aggressive_unreliable_joins_strong_unfriendly	aggressive_unreliable_joins_strong
aggressive_unreliable_joins_strong_unfriendly_lategame	aggressive_unreliable_joins_strong_unfriendly
aggressive_unreliable_lategame	aggressive_unreliable
aggressive_unreliable_repulsive	aggressive_repulsive
aggressive_unreliable_schemer_lategame	aggressive_unreliable
aggressive_unreliable_schemer_unfriendly_lategame	aggressive_unreliable_unfriendly
aggressive_unreliable_unfriendly	aggressive_unreliable
aggressive_unreliable_unfriendly_lategame	aggressive_unreliable_unfriendly
default_subordinate	default
default_trader	default
default_trader_unfriendly	default_trader
default_unfriendly	default
defensive	default
defensive_diplomat	diplomat
defensive_diplomat_unfriendly	defensive_diplomat
defensive_passive	passive
defensive_passive_nopeace	defensive_passive
defensive_reliable	reliable
defensive_reliable_passive	defensive_passive
defensive_reliable_subordinate	defensive_reliable
defensive_reliable_trader	defensive_reliable
defensive_reliable_trader_unfriendly	defensive_reliable_trader
defensive_reliable_unfriendly	defensive_reliable
defensive_schemer	defensive
defensive_schemer_unfriendly	defensive_schemer
defensive_subordinate	defensive
defensive_trader	defensive
defensive_trader_unfriendly	defensive_trader
defensive_unfriendly	defensive
defensive_unreliable	unreliable
defensive_unreliable_passive	defensive_passive
defensive_unreliable_schemer	defensive_unreliable
defensive_unreliable_schemer_unfriendly	defensive_unreliable_schemer
defensive_unreliable_unfriendly	defensive_unreliable
diplomat	default
diplomat_unfriendly	diplomat
dlc03_beastman_friendly	defensive
dlc03_beastman_hostile	aggressive
dlc03_beastman_mission_sucess	aggressive
dlc05_wood_elves_default	default
dlc05_wood_elves_default_durthu	default
dlc05_wood_elves_default_durthu_mini	default
dlc05_wood_elves_default_mini	default
dlc05_wood_elves_default_orion	default
dlc05_wood_elves_default_orion_mini	default
dlc05_wood_elves_default_rest	default
dlc05_wood_elves_default_rest_mini	default
friendly	default
friendly_diplomat	diplomat
friendly_joins_strong	friendly
joins_strong	default
joins_strong_subordinate	joins_strong
joins_strong_unfriendly	joins_strong
passive	default
reliable	default
reliable_subordinate	reliable
reliable_trader	reliable
reliable_trader_unfriendly	reliable_trader
reliable_unfriendly	reliable
repulsive	passive
schemer	default
schemer_unfriendly	schemer
straightforward	default
straightforward_friendly	friendly
straightforward_unfriendly	default_unfriendly
unreliable	default
unreliable_joins_strong	unreliable
unreliable_joins_strong_subordinate	unreliable_joins_strong
unreliable_joins_strong_unfriendly	unreliable_joins_strong
unreliable_schemer	unreliable
unreliable_schemer_unfriendly	unreliable_schemer
unreliable_unfriendly	unreliable
