cai_personality_occupation_decision_policies_tables
0
unknown0	unknown1	unknown2	unknown3	unknown4
6	-2	default	-30	-4
6	-2	default_early	-30	-4
6	-2	default_early_uncapturable	-30	-4
6	-2	default_uncapturable	-30	-4
6	-2	destroyer	0	-4
6	-2	destroyer_uncapturable	0	-4
6	-2	dlc05_wood_elves	-30	-4
6	-2	dlc05_wood_elves_uncapturable	-30	-4
6	-2	looter	-30	-4
6	-2	looter_early	-30	-4
6	-2	looter_early_uncapturable	-30	-4
6	-2	looter_uncapturable	-30	-4
6	-2	noraze	-30	-4
6	-2	noraze_uncapturable	-30	-4
6	-2	raider	-30	-4
