cai_region_hint_groups_tables
0
unknown0	unknown1	unknown2
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_HEF	CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN	CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_HEF_GRAND_CAMPAIGN	CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_REGIONS_ULTHUAN_GRAND_CAMPAIGN	CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY
CAPTURE_VICTORY_CONDITIONS_COMMON_OAK	VICTORY_CONDITION_REGIONS_OAK_OF_AGES	CAPTURE_VICTORY_CONDITIONS
CAPTURE_VICTORY_CONDITIONS_HEF	VICTORY_CONDITION_REGIONS_HEF	CAPTURE_VICTORY_CONDITIONS
CAPTURE_VICTORY_CONDITION_REGIONS_BRT	VICTORY_CONDITION_REGIONS_BRT	CAPTURE_VICTORY_CONDITIONS
CAPTURE_VICTORY_CONDITION_REGIONS_BST	VICTORY_CONDITION_REGIONS_BST	CAPTURE_VICTORY_CONDITIONS
CAPTURE_VICTORY_CONDITION_REGIONS_BST_ALLY	VICTORY_CONDITION_REGIONS_BST_ALLY	CAPTURE_VICTORY_CONDITIONS
CAPTURE_VICTORY_CONDITION_REGIONS_BST_CHAOS	VICTORY_CONDITION_REGIONS_BST_CHAOS	CAPTURE_VICTORY_CONDITIONS
CAPTURE_VICTORY_CONDITION_REGIONS_DEF	VICTORY_CONDITION_REGIONS_DEF	CAPTURE_VICTORY_CONDITIONS
CAPTURE_VICTORY_CONDITION_REGIONS_DWF	VICTORY_CONDITION_REGIONS_DWF	CAPTURE_VICTORY_CONDITIONS
CAPTURE_VICTORY_CONDITION_REGIONS_LZD	VICTORY_CONDITION_REGIONS_LZD	CAPTURE_VICTORY_CONDITIONS
CAPTURE_VICTORY_CONDITION_REGIONS_SKV	VICTORY_CONDITION_REGIONS_SKV	CAPTURE_VICTORY_CONDITIONS
