cai_region_hint_profiles_to_region_hint_groups_tables
0
unknown0	unknown1
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_HEF	REGION_CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_HEF
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_HEF_GRAND_CAMPAIGN	REGION_CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_HEF_GRAND_CAMPAIGN
CAPTURE_VICTORY_CONDITION_REGIONS_BRT	REGION_HINT_PROFILE_BRT
CAPTURE_VICTORY_CONDITION_REGIONS_BST	REGION_HINT_PROFILE_BST
CAPTURE_VICTORY_CONDITION_REGIONS_BST_ALLY	REGION_HINT_PROFILE_BST_ALLY
CAPTURE_VICTORY_CONDITION_REGIONS_BST_CHAOS	REGION_HINT_PROFILE_BST_CHAOS
CAPTURE_VICTORY_CONDITION_REGIONS_DEF	REGION_HINT_PROFILE_DEF
CAPTURE_VICTORY_CONDITION_REGIONS_DWF	REGION_HINT_PROFILE_DWF
CAPTURE_VICTORY_CONDITIONS_HEF	REGION_HINT_PROFILE_HEF
CAPTURE_VICTORY_CONDITIONS_HEF	REGION_HINT_PROFILE_HEF_NONGUARDIAN
CAPTURE_VICTORY_CONDITION_REGIONS_LZD	REGION_HINT_PROFILE_LZD
CAPTURE_VICTORY_CONDITION_REGIONS_SKV	REGION_HINT_PROFILE_SKV
CAPTURE_VICTORY_CONDITIONS_COMMON_OAK	REGION_HINT_PROFILE_SKV_COMMON_OAK
