cai_ritual_weights_tables
0
unknown0	unknown1
wh2_main_ritual_def_atharti	5
wh2_main_ritual_def_hekarti	1
wh2_main_ritual_def_khaine	2
wh2_main_ritual_def_mathlann	8
wh2_main_ritual_hef_asuryan	5
wh2_main_ritual_hef_hoeth	1
wh2_main_ritual_hef_isha	1
wh2_main_ritual_hef_vaul	1
wh2_main_ritual_lzd_awakening	8
wh2_main_ritual_lzd_ferocity	5
wh2_main_ritual_lzd_primeval_glory	2
wh2_main_ritual_lzd_sotek	1
wh2_main_ritual_skv_ascendancy	5
wh2_main_ritual_skv_doooom	1
wh2_main_ritual_skv_pestilence	1
wh2_main_ritual_skv_thirteen_eshin	1
wh2_main_ritual_skv_thirteen_mors	1
wh2_main_ritual_skv_thirteen_moulder	1
wh2_main_ritual_skv_thirteen_pestilens	1
wh2_main_ritual_skv_thirteen_skyre	1
