cai_task_management_system_task_generator_group_overrides_tables
0
parent_task_generator_group	task_generator_group
	aggressive
aggressive	aggressive_anti_player
aggressive_anti_player	aggressive_anti_player_raider
aggressive_anti_player	aggressive_anti_player_recoloniser
aggressive	aggressive_avoid_player
aggressive_avoid_player	aggressive_avoid_player_raider
aggressive_avoid_player	aggressive_avoid_player_recoloniser
aggressive	aggressive_coloniser
aggressive_coloniser	aggressive_coloniser_avoid_oldworld_races
aggressive_coloniser_avoid_oldworld_races	aggressive_coloniser_avoid_oldworld_races_and_player
aggressive_coloniser_avoid_oldworld_races	aggressive_coloniser_avoid_oldworld_races_anti_player
aggressive	aggressive_destroyer
aggressive_destroyer	aggressive_destroyer_anti_player
aggressive_destroyer_anti_player	aggressive_destroyer_anti_player_recoloniser
aggressive_destroyer	aggressive_destroyer_avoid_player
aggressive_destroyer_avoid_player	aggressive_destroyer_avoid_player_recoloniser
aggressive_destroyer	aggressive_destroyer_recoloniser
aggressive	aggressive_focused_coloniser
aggressive_focused_coloniser	aggressive_focused_coloniser_avoid_oldworld_races
aggressive_focused_coloniser_avoid_oldworld_races	aggressive_focused_coloniser_avoid_oldworld_races_and_player
aggressive_focused_coloniser_avoid_oldworld_races	aggressive_focused_coloniser_avoid_oldworld_races_anti_player
aggressive	aggressive_focused_overseas_attacker
aggressive_focused_overseas_attacker	aggressive_focused_overseas_attacker_anti_player
aggressive_focused_overseas_attacker	aggressive_focused_overseas_attacker_avoid_player
aggressive_no_target_chaos_anti_player	aggressive_no_attack_chaos_anti_player_raider
aggressive_no_target_chaos_avoid_player	aggressive_no_attack_chaos_avoid_player_raider
aggressive_no_target_chaos	aggressive_no_attack_chaos_raider
aggressive	aggressive_no_target_chaos
aggressive_no_target_chaos	aggressive_no_target_chaos_anti_player
aggressive_no_target_chaos_anti_player	aggressive_no_target_chaos_anti_player_recoloniser
aggressive_no_target_chaos	aggressive_no_target_chaos_avoid_player
