campaign_ai_manager_behaviour_junctions_tables
0
manager	behaviour	priority
EMPTY	DIPLOMACY_MANAGER	0
default	CHARACTER_POST_ASSIGNMENT_BEHAVIOUR	500
default	CHARACTER_SKILL_MANAGEMENT	500
default	CONSTRUCTION_SYSTEM_BEHAVIOUR	500
default	DIPLOMACY_MANAGER	0
default	MINIMUM_SAVING	200
default	PROVINCE_INITIATIVE_MANAGEMENT	500
default	REASSIGN_GENERALS_BEHAVIOUR	250
default	RELIGION_MANAGEMENT_BEHAVIOUR	550
default	RESEARCH_TECHNOLOGY	500
default	RITUAL_MANAGEMENT_BEHAVIOUR	250
default	TASK_MANAGEMENT_SYSTEM	0
default	TAXATION	50
