campaign_bonus_value_battle_context_specifiers_tables
1
key	night_battles_only
fighting_battle_type_ambush	False
fighting_battle_type_blockade	False
fighting_battle_type_night	True
fighting_battle_type_siege	False
fighting_battle_type_siege_subterranean	False
fighting_battle_type_subterranean	False
fighting_chaos_factions	False
fighting_culture_any_elves	False
fighting_culture_beastmen	False
fighting_culture_chaos	False
fighting_culture_darkelf	False
fighting_culture_dwarfs	False
fighting_culture_dwarfs_greenskins	False
fighting_culture_empire_and_bretonnia	False
fighting_culture_forces_of_destruction	False
fighting_culture_forces_of_order	False
fighting_culture_greenskins	False
fighting_culture_highelf	False
fighting_culture_lizardmen	False
fighting_culture_rogue_armies	False
fighting_culture_skaven	False
fighting_culture_vampire_counts	False
fighting_culture_wood_elves	False
fighting_faction_bretonnia	False
fighting_faction_carroburg	False
fighting_faction_cult_of_ulric	False
fighting_faction_empire	False
fighting_faction_hochland	False
fighting_faction_middenland	False
fighting_force_status_theirs_besieging	False
fighting_force_status_theirs_blockading	False
fighting_force_status_theirs_raiding_army	False
fighting_force_status_theirs_raiding_fleet	False
fighting_force_status_theirs_rebels	False
fighting_force_status_yours_ambushing	False
fighting_force_status_yours_ambushing_ground_type_desert	False
fighting_force_status_yours_ambushing_ground_type_forest	False
fighting_force_status_yours_attacking	False
fighting_force_status_yours_attacking_at_sea	False
fighting_force_status_yours_attacking_battle_type_break_out	False
fighting_force_status_yours_attacking_battle_type_sally_out	False
fighting_force_status_yours_besieging	False
fighting_force_status_yours_blockading	False
fighting_force_status_yours_defending	False
fighting_force_status_yours_defending_at_sea	False
fighting_force_status_yours_escorting	False
fighting_force_status_yours_night	True
fighting_force_status_yours_night_ground_type_desert	True
fighting_force_status_yours_night_ground_type_forest	True
fighting_ground_type_desert	False
fighting_ground_type_forest	False
fighting_ground_type_sea	False
fighting_norscan_factions	False
fighting_territory_enemy_or_neutral	False
fighting_territory_enemy_or_neutral_army	False
fighting_territory_enemy_or_neutral_navy	False
fighting_territory_own_or_allied	False
fighting_territory_own_or_allied_army	False
fighting_territory_own_or_allied_navy	False
