campaign_bonus_value_battle_context_territory_status_junctions_tables
0
battle_context_key	territory_status_key
fighting_territory_enemy_or_neutral_army	enemy
fighting_territory_enemy_or_neutral_army	neutral
fighting_territory_enemy_or_neutral_navy	enemy
fighting_territory_enemy_or_neutral_navy	neutral
fighting_territory_enemy_or_neutral	enemy
fighting_territory_enemy_or_neutral	neutral
fighting_territory_own_or_allied_army	allied
fighting_territory_own_or_allied_army	own
fighting_territory_own_or_allied_navy	allied
fighting_territory_own_or_allied_navy	own
fighting_territory_own_or_allied	allied
fighting_territory_own_or_allied	own
