campaign_group_member_criteria_cultures_tables
0
unknown0	unknown1
wh_main_brt_bretonnia	diplomacy_culture_brt_bretonnia
wh_main_chs_chaos	diplomacy_culture_chs_chaos
wh_main_dwf_dwarfs	diplomacy_culture_dwf_dwarfs
wh_main_emp_empire	diplomacy_culture_emp_empire
wh_main_grn_greenskins	diplomacy_culture_grn_greenskins
wh_main_vmp_vampire_counts	diplomacy_culture_vmp_vampire_counts
wh2_main_hef_high_elves	wh2_main_captive_option_enslave_high_elves_to_high_elves
wh2_main_lzd_lizardmen	wh2_main_captive_option_enslave_lizardmen_to_lizardmen
wh2_main_skv_skaven	wh2_main_captive_option_kill_lizardmen_to_skaven
wh2_main_skv_skaven	wh2_main_captive_option_release_skaven_to_skaven
wh2_main_def_dark_elves	wh2_main_event_feed_agent_action_all_failure_critical_hinder_army_dark_elves
wh2_main_hef_high_elves	wh2_main_event_feed_agent_action_all_failure_critical_hinder_army_high_elves
wh2_main_lzd_lizardmen	wh2_main_event_feed_agent_action_all_failure_critical_hinder_army_lizardmen
wh2_main_skv_skaven	wh2_main_event_feed_agent_action_all_failure_critical_hinder_army_skaven
wh2_main_def_dark_elves	wh2_main_event_feed_agent_action_all_failure_critical_hinder_character_dark_elves
wh2_main_hef_high_elves	wh2_main_event_feed_agent_action_all_failure_critical_hinder_character_high_elves
wh2_main_lzd_lizardmen	wh2_main_event_feed_agent_action_all_failure_critical_hinder_character_lizardmen
wh2_main_skv_skaven	wh2_main_event_feed_agent_action_all_failure_critical_hinder_character_skaven
wh2_main_def_dark_elves	wh2_main_event_feed_agent_action_all_failure_critical_hinder_province_dark_elves
wh2_main_hef_high_elves	wh2_main_event_feed_agent_action_all_failure_critical_hinder_province_high_elves
wh2_main_lzd_lizardmen	wh2_main_event_feed_agent_action_all_failure_critical_hinder_province_lizardmen
wh2_main_skv_skaven	wh2_main_event_feed_agent_action_all_failure_critical_hinder_province_skaven
wh2_main_def_dark_elves	wh2_main_event_feed_agent_action_all_failure_hinder_army_dark_elves
wh2_main_hef_high_elves	wh2_main_event_feed_agent_action_all_failure_hinder_army_high_elves
wh2_main_lzd_lizardmen	wh2_main_event_feed_agent_action_all_failure_hinder_army_lizardmen
wh2_main_skv_skaven	wh2_main_event_feed_agent_action_all_failure_hinder_army_skaven
wh2_main_def_dark_elves	wh2_main_event_feed_agent_action_all_failure_hinder_character_dark_elves
wh2_main_hef_high_elves	wh2_main_event_feed_agent_action_all_failure_hinder_character_high_elves
wh2_main_lzd_lizardmen	wh2_main_event_feed_agent_action_all_failure_hinder_character_lizardmen
wh2_main_skv_skaven	wh2_main_event_feed_agent_action_all_failure_hinder_character_skaven
wh2_main_def_dark_elves	wh2_main_event_feed_agent_action_all_failure_hinder_province_dark_elves
wh2_main_hef_high_elves	wh2_main_event_feed_agent_action_all_failure_hinder_province_high_elves
wh2_main_lzd_lizardmen	wh2_main_event_feed_agent_action_all_failure_hinder_province_lizardmen
wh2_main_skv_skaven	wh2_main_event_feed_agent_action_all_failure_hinder_province_skaven
wh2_main_def_dark_elves	wh2_main_event_feed_agent_action_all_hinder_character_dark_elves
wh2_main_hef_high_elves	wh2_main_event_feed_agent_action_all_hinder_character_high_elves
wh2_main_lzd_lizardmen	wh2_main_event_feed_agent_action_all_hinder_character_lizardmen
wh2_main_skv_skaven	wh2_main_event_feed_agent_action_all_hinder_character_skaven
wh2_main_def_dark_elves	wh2_main_event_feed_agent_action_all_success_critical_hinder_character_dark_elves
wh2_main_hef_high_elves	wh2_main_event_feed_agent_action_all_success_critical_hinder_character_high_elves
wh2_main_lzd_lizardmen	wh2_main_event_feed_agent_action_all_success_critical_hinder_character_lizardmen
wh2_main_skv_skaven	wh2_main_event_feed_agent_action_all_success_critical_hinder_character_skaven
wh2_main_def_dark_elves	wh2_main_event_feed_agent_action_champion_hinder_army_dark_elves
wh2_main_hef_high_elves	wh2_main_event_feed_agent_action_champion_hinder_army_high_elves
wh2_main_lzd_lizardmen	wh2_main_event_feed_agent_action_champion_hinder_army_lizardmen
wh2_main_skv_skaven	wh2_main_event_feed_agent_action_champion_hinder_army_skaven
wh2_main_def_dark_elves	wh2_main_event_feed_agent_action_champion_hinder_settlement_dark_elves
wh2_main_hef_high_elves	wh2_main_event_feed_agent_action_champion_hinder_settlement_high_elves
wh2_main_lzd_lizardmen	wh2_main_event_feed_agent_action_champion_hinder_settlement_lizardmen
wh2_main_def_dark_elves	wh2_main_event_feed_agent_action_champion_hinder_settlement_plague_priest_dark_elves
wh2_main_hef_high_elves	wh2_main_event_feed_agent_action_champion_hinder_settlement_plague_priest_high_elves
wh2_main_lzd_lizardmen	wh2_main_event_feed_agent_action_champion_hinder_settlement_plague_priest_lizardmen
wh2_main_skv_skaven	wh2_main_event_feed_agent_action_champion_hinder_settlement_plague_priest_skaven
wh2_main_skv_skaven	wh2_main_event_feed_agent_action_champion_hinder_settlement_skaven
wh2_main_def_dark_elves	wh2_main_event_feed_agent_action_champion_hinder_settlement_warlock_engineer_dark_elves
wh2_main_hef_high_elves	wh2_main_event_feed_agent_action_champion_hinder_settlement_warlock_engineer_high_elves
wh2_main_lzd_lizardmen	wh2_main_event_feed_agent_action_champion_hinder_settlement_warlock_engineer_lizardmen
wh2_main_skv_skaven	wh2_main_event_feed_agent_action_champion_hinder_settlement_warlock_engineer_skaven
wh2_main_def_dark_elves	wh2_main_event_feed_agent_action_dignitary_hinder_army_dark_elves
wh2_main_hef_high_elves	wh2_main_event_feed_agent_action_dignitary_hinder_army_high_elves
wh2_main_lzd_lizardmen	wh2_main_event_feed_agent_action_dignitary_hinder_army_lizardmen
wh2_main_skv_skaven	wh2_main_event_feed_agent_action_dignitary_hinder_army_skaven
wh2_main_def_dark_elves	wh2_main_event_feed_agent_action_dignitary_hinder_settlement_dark_elves
wh2_main_hef_high_elves	wh2_main_event_feed_agent_action_dignitary_hinder_settlement_high_elves
wh2_main_lzd_lizardmen	wh2_main_event_feed_agent_action_dignitary_hinder_settlement_lizardmen
wh2_main_skv_skaven	wh2_main_event_feed_agent_action_dignitary_hinder_settlement_skaven
wh2_main_def_dark_elves	wh2_main_event_feed_agent_action_engineer_hinder_settlement_dark_elves
wh2_main_hef_high_elves	wh2_main_event_feed_agent_action_engineer_hinder_settlement_high_elves
wh2_main_lzd_lizardmen	wh2_main_event_feed_agent_action_engineer_hinder_settlement_lizardmen
