campaign_group_member_criteria_numeric_ranges_tables
0
unknown0	unknown1	unknown2
10	wh2_loyalty_high	8
3	wh2_loyalty_low	0
60	wh2_pooled_resource_skaven_food_average	41
100	wh2_pooled_resource_skaven_food_plentiful	81
40	wh2_pooled_resource_skaven_food_shortage	21
20	wh2_pooled_resource_skaven_food_starvation	0
80	wh2_pooled_resource_skaven_food_surplus	61
100	wh_beastmen_morale_high	71
40	wh_beastmen_morale_low	21
70	wh_beastmen_morale_mid	41
20	wh_beastmen_morale_very_low	0
-11	wh_dlc05_wood_elves_food_-10_-20	-20
-21	wh_dlc05_wood_elves_food_-20_-100	-2147483647
-1	wh_dlc05_wood_elves_food_0_-10	-10
399	wh_dlc07_bretonnia_chivalry_0_200	0
799	wh_dlc07_bretonnia_chivalry_201_400	400
1199	wh_dlc07_bretonnia_chivalry_401_600	800
1599	wh_dlc07_bretonnia_chivalry_601_800	1200
9999999	wh_dlc07_bretonnia_chivalry_801_1000	1600
-1	wh_dlc07_bretonnia_chivalry_negative	-9999999
100	wh_greenskins_morale_high	71
40	wh_greenskins_morale_low	21
70	wh_greenskins_morale_mid	41
20	wh_greenskins_morale_very_low	0
