campaign_group_member_criteria_originating_subcultures_tables
0
unknown0	unknown1
diplomacy_CultureGroup_Rogue_GRN_Faction_Beastcatchas	wh2_main_rogue_beastcatchas
diplomacy_CultureGroup_Rogue_GRN_Faction_Beastcatchas_&_Negative	wh2_main_rogue_beastcatchas
diplomacy_CultureGroup_Rogue_GRN_Faction_Beastcatchas_&_Positive	wh2_main_rogue_beastcatchas
diplomacy_CultureGroup_Rogue_GRN_Faction_BlackSpiderTribe	wh2_main_rogue_black_spider_tribe
diplomacy_CultureGroup_Rogue_GRN_Faction_BlackSpiderTribe_&_Negative	wh2_main_rogue_black_spider_tribe
diplomacy_CultureGroup_Rogue_GRN_Faction_BlackSpiderTribe_&_Positive	wh2_main_rogue_black_spider_tribe
diplomacy_CultureGroup_Rogue_GRN_Faction_MangyHoundz	wh2_main_rogue_mangy_houndz
diplomacy_CultureGroup_Rogue_GRN_Faction_MangyHoundz_&_Negative	wh2_main_rogue_mangy_houndz
diplomacy_CultureGroup_Rogue_GRN_Faction_MangyHoundz_&_Positive	wh2_main_rogue_mangy_houndz
diplomacy_CultureGroup_Rogue_GRN_Faction_StuffSnatchers	wh2_main_rogue_stuff_snatchers
diplomacy_CultureGroup_Rogue_GRN_Faction_StuffSnatchers_&_Negative	wh2_main_rogue_stuff_snatchers
diplomacy_CultureGroup_Rogue_GRN_Faction_StuffSnatchers_&_Positive	wh2_main_rogue_stuff_snatchers
diplomacy_CultureGroup_Rogue_GRN_Faction_TeefSnatchaz	wh2_main_rogue_teef_snatchaz
diplomacy_CultureGroup_Rogue_GRN_Faction_TeefSnatchaz_&_Negative	wh2_main_rogue_teef_snatchaz
diplomacy_CultureGroup_Rogue_GRN_Faction_TeefSnatchaz_&_Positive	wh2_main_rogue_teef_snatchaz
diplomacy_CultureGroup_Rogue_WEF_Faction_WorldrootRangers	wh2_main_rogue_worldroot_rangers
diplomacy_CultureGroup_Rogue_WEF_Faction_WorldrootRangers_&_Negative	wh2_main_rogue_worldroot_rangers
diplomacy_CultureGroup_Rogue_WEF_Faction_WorldrootRangers_&_Positive	wh2_main_rogue_worldroot_rangers
diplomacy_CultureGroup_Rogue_WEF_Faction_WrathofNature	wh2_main_rogue_wrath_of_nature
diplomacy_CultureGroup_Rogue_WEF_Faction_WrathofNature_&_Negative	wh2_main_rogue_wrath_of_nature
diplomacy_CultureGroup_Rogue_WEF_Faction_WrathofNature_&_Positive	wh2_main_rogue_wrath_of_nature
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess	wh2_main_sc_def_dark_elves
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_Negative	wh2_main_sc_def_dark_elves
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionBeastmen	wh2_main_sc_def_dark_elves
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionBeastmen_&_Negative	wh2_main_sc_def_dark_elves
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionBeastmen_&_Positive	wh2_main_sc_def_dark_elves
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionBretonnia	wh2_main_sc_def_dark_elves
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionBretonnia_&_Negative	wh2_main_sc_def_dark_elves
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionBretonnia_&_Positive	wh2_main_sc_def_dark_elves
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionChaos	wh2_main_sc_def_dark_elves
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionChaos_&_Negative	wh2_main_sc_def_dark_elves
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionChaos_&_Positive	wh2_main_sc_def_dark_elves
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionDarkElves	wh2_main_sc_def_dark_elves
