campaign_group_rituals_tables
1
unknown0	unknown1	unknown2	unknown3	unknown4
wh2_main_ritual_def_playable	wh2_main_ritual_intervention_1_def	0	False	True
wh2_main_ritual_def_playable	wh2_main_ritual_intervention_2_def	0	False	True
wh2_main_ritual_def_playable	wh2_main_ritual_intervention_3_def	0	False	True
wh2_main_ritual_def	wh2_main_ritual_def_atharti	0	False	False
wh2_main_ritual_def	wh2_main_ritual_def_hekarti	0	False	False
wh2_main_ritual_def	wh2_main_ritual_def_khaine	0	False	False
wh2_main_ritual_def	wh2_main_ritual_def_mathlann	0	False	False
wh2_main_ritual_hef_playable	wh2_main_ritual_intervention_1_hef	0	False	True
wh2_main_ritual_hef_playable	wh2_main_ritual_intervention_2_hef	0	False	True
wh2_main_ritual_hef_playable	wh2_main_ritual_intervention_3_hef	0	False	True
wh2_main_ritual_hef	wh2_main_ritual_hef_asuryan	0	False	False
wh2_main_ritual_hef	wh2_main_ritual_hef_hoeth	0	False	False
wh2_main_ritual_hef	wh2_main_ritual_hef_isha	0	False	False
wh2_main_ritual_hef	wh2_main_ritual_hef_vaul	0	False	False
wh2_main_ritual_lzd_playable	wh2_main_ritual_intervention_1_lzd	0	False	True
wh2_main_ritual_lzd_playable	wh2_main_ritual_intervention_2_lzd	0	False	True
wh2_main_ritual_lzd_playable	wh2_main_ritual_intervention_3_lzd	0	False	True
wh2_main_ritual_lzd	wh2_main_ritual_lzd_awakening	0	False	False
wh2_main_ritual_lzd	wh2_main_ritual_lzd_ferocity	0	False	False
wh2_main_ritual_lzd	wh2_main_ritual_lzd_primeval_glory	0	False	False
wh2_main_ritual_lzd	wh2_main_ritual_lzd_sotek	0	False	False
wh2_main_ritual_skv_eshin	wh2_main_ritual_skv_thirteen_eshin	0	False	False
wh2_main_ritual_skv_mors	wh2_main_ritual_skv_thirteen_mors	0	False	False
wh2_main_ritual_skv_moulder	wh2_main_ritual_skv_thirteen_moulder	0	False	False
wh2_main_ritual_skv_pestilens	wh2_main_ritual_skv_thirteen_pestilens	0	False	False
wh2_main_ritual_skv_playable	wh2_main_ritual_intervention_1_skv	0	False	True
wh2_main_ritual_skv_playable	wh2_main_ritual_intervention_2_skv	0	False	True
wh2_main_ritual_skv_playable	wh2_main_ritual_intervention_3_skv	0	False	True
wh2_main_ritual_skv_skyre	wh2_main_ritual_skv_thirteen_skyre	0	False	False
wh2_main_ritual_skv	wh2_main_ritual_skv_ascendancy	0	False	False
wh2_main_ritual_skv	wh2_main_ritual_skv_doooom	0	False	False
wh2_main_ritual_skv	wh2_main_ritual_skv_pestilence	0	False	False
