campaign_markers_tables
2
unknown0	unknown1	unknown2
prefabs/campaign/famous_battle_marker.bmd	wh_feature_all	famous_battle_event_marker
prefabs/campaign/quest_battle_marker.bmd	wh_feature_all	interactable_marker
prefabs/campaign/island_01.bmd	wh_feature_all	island_01
prefabs/campaign/island_02.bmd	wh_feature_all	island_02
prefabs/campaign/island_03.bmd	wh_feature_all	island_03
prefabs/campaign/island_04.bmd	wh_feature_all	island_04
prefabs/campaign/island_05.bmd	wh_feature_all	island_05
prefabs/campaign/island_06.bmd	wh_feature_all	island_06
prefabs/campaign/island_07.bmd	wh_feature_all	island_07
prefabs/campaign/island_08.bmd	wh_feature_all	island_08
prefabs/campaign/island_09.bmd	wh_feature_all	island_09
prefabs/campaign/island_10.bmd	wh_feature_all	island_10
prefabs/campaign/island_11.bmd	wh_feature_all	island_11
prefabs/campaign/island_12.bmd	wh_feature_all	island_12
prefabs/campaign/island_13.bmd	wh_feature_all	island_13
prefabs/campaign/island_15.bmd	wh_feature_all	island_15
prefabs/campaign/island_16.bmd	wh_feature_all	island_16
prefabs/campaign/island_17.bmd	wh_feature_all	island_17
prefabs/campaign/island_18.bmd	wh_feature_all	island_18
prefabs/campaign/island_19.bmd	wh_feature_all	island_19
prefabs/campaign/island_20.bmd	wh_feature_all	island_20
prefabs/campaign/island_21.bmd	wh_feature_all	island_21
prefabs/campaign/island_22.bmd	wh_feature_all	island_22
prefabs/campaign/island_23.bmd	wh_feature_all	island_23
prefabs/campaign/island_24.bmd	wh_feature_all	island_24
prefabs/campaign/island_25.bmd	wh_feature_all	island_25
prefabs/campaign/island_26.bmd	wh_feature_all	island_26
prefabs/campaign/island_27.bmd	wh_feature_all	island_27
prefabs/campaign/island_28.bmd	wh_feature_all	island_28
prefabs/campaign/island_29.bmd	wh_feature_all	island_29
prefabs/campaign/island_30.bmd	wh_feature_all	island_30
prefabs/campaign/island_31.bmd	wh_feature_all	island_31
prefabs/campaign/island_32.bmd	wh_feature_all	island_32
prefabs/campaign/quest_battle_marker.bmd	wh_feature_all	mission_quest_marker
