campaign_rogue_army_leaders_tables
2
unknown0	unknown1	unknown2	unknown3	unknown4	unknown5	unknown6	unknown7	unknown8
wh2_main_rogue_abominations	dlc03_bst_beastlord	True	2147358506		False	False	wh_dlc03_art_set_bst_beastlord_01	True
wh2_main_rogue_beastcatchas	grn_goblin_great_shaman	True	2147344966		False	False	wh_main_art_set_grn_goblin_great_shaman_01	True
wh2_main_rogue_bernhoffs_brigands	emp_lord	True	1904032251		False	False	wh_main_art_set_emp_general_01	True
wh2_main_rogue_black_spider_tribe	grn_goblin_great_shaman	True	636483881	1454375978	False	False	wh_main_art_set_grn_goblin_great_shaman_02	True
wh2_main_rogue_boneclubbers_tribe	grn_orc_warboss	True	954806498	1077483803	False	False	wh_main_art_set_grn_orc_warboss_01	True
wh2_main_rogue_celestial_storm	wh2_main_lzd_saurus_old_blood	True	2049506471		False	False	wh2_main_art_set_lzd_saurus_old_blood_01	True
wh2_main_rogue_college_of_pyrotechnics	emp_lord	True	2147357032	2147356839	False	False	wh_main_art_set_emp_general_02	True
wh2_main_rogue_def_chs_vashnaar	wh2_main_def_dreadlord	True	2147360712		False	False	wh2_main_art_set_def_dreadlord_01	True
wh2_main_rogue_def_mengils_manflayers	wh2_main_def_dreadlord	True	85596645		False	False	wh2_main_art_set_def_dreadlord_01	True
wh2_main_rogue_doomseekers	dwf_lord	True	217825847	1675569139	False	False	wh_main_art_set_dwf_lord_01	True
wh2_main_rogue_gerhardts_mercenaries	emp_lord	True	2147344111		False	False	wh_main_art_set_emp_general_03	True
wh2_main_rogue_hef_tor_elithis	wh2_main_hef_prince	True	2147359017		False	False	wh2_main_art_set_hef_prince_01	True
wh2_main_rogue_hung_warband	nor_marauder_chieftain	True	2147356489	2147356240	False	False	wh_main_art_set_nor_marauder_chieftain_01	True
wh2_main_rogue_jerrods_errantry	brt_lord	True	386500320		False	False	wh_main_art_set_brt_lord_01	True
wh2_main_rogue_mangy_houndz	dlc06_grn_night_goblin_warboss	True	1463170012	1134162982	False	False	wh_dlc06_art_set_grn_night_goblin_warboss_01	False
wh2_main_rogue_morrsliebs_howlers	wh2_main_skv_warlord	True	2147360668		False	False	wh2_main_art_set_skv_warlord_01	True
wh2_main_rogue_pirates_of_the_far_sea	emp_lord	True	2147357145	2147356736	False	False	wh_main_art_set_emp_general_01	False
wh2_main_rogue_pirates_of_the_southern_ocean	emp_lord	True	2147357030	2147356796	False	False	wh_main_art_set_emp_general_01	False
wh2_main_rogue_pirates_of_trantio	emp_lord	True	2147357011	2147356888	False	False	wh_main_art_set_emp_general_04	True
wh2_main_rogue_scions_of_tesseninck	emp_lord	True	2147355314	2147354914	False	False	wh_main_art_set_emp_general_01	False
wh2_main_rogue_scourge_of_aquitaine	vmp_lord	True	512184405		False	False	wh_main_art_set_vmp_lord_01	True
wh2_main_rogue_stuff_snatchers	dlc06_grn_night_goblin_warboss	True	2147344831		False	False	wh_dlc06_art_set_grn_night_goblin_warboss_01	True
wh2_main_rogue_teef_snatchaz	dlc06_grn_night_goblin_warboss	True	2147355630		False	False	wh_dlc06_art_set_grn_night_goblin_warboss_01	False
wh2_main_rogue_the_wandering_dead	vmp_master_necromancer	True	2147357583		False	False	wh_main_art_set_vmp_master_necromancer_01	False
wh2_main_rogue_troll_skullz	grn_orc_warboss	True	1249683509		False	False	wh_main_art_set_grn_orc_warboss_02	True
wh2_main_rogue_vauls_expedition	wh2_main_hef_prince	True	2147359934		False	False	wh2_main_art_set_hef_prince_01	False
wh2_main_rogue_vmp_heirs_of_mourkain	dlc04_vmp_strigoi_ghoul_king	True	1880091843	1064541212	False	False	wh_dlc04_art_set_vmp_strigoi_ghoul_king_01	True
wh2_main_rogue_wef_hunters_of_kurnous	dlc05_wef_glade_lord	True	2147352833		False	False	wh_dlc05_art_set_wef_glade_lord_01	True
wh2_main_rogue_worldroot_rangers	dlc05_wef_ancient_treeman	True	2147359095		False	False	wh_dlc05_art_set_wef_ancient_treeman	False
wh2_main_rogue_wrath_of_nature	dlc05_wef_ancient_treeman	True	2147352825		False	False	wh_dlc05_art_set_wef_ancient_treeman	True
