campaign_rogue_army_setups_tables
0
unknown0	unknown1	unknown2	unknown3
2000	0	wh2_main_rogue_abominations	wh2_main_rogue_group_abominations
2000	1	wh2_main_rogue_abominations	wh2_main_rogue_group_abominations
2000	2	wh2_main_rogue_abominations	wh2_main_rogue_group_abominations
2000	3	wh2_main_rogue_abominations	wh2_main_rogue_group_abominations
2000	4	wh2_main_rogue_abominations	wh2_main_rogue_group_abominations
2000	0	wh2_main_rogue_beastcatchas	wh2_main_rogue_group_beastcatchas
2000	1	wh2_main_rogue_beastcatchas	wh2_main_rogue_group_beastcatchas
2000	2	wh2_main_rogue_beastcatchas	wh2_main_rogue_group_beastcatchas
2000	3	wh2_main_rogue_beastcatchas	wh2_main_rogue_group_beastcatchas
2000	4	wh2_main_rogue_beastcatchas	wh2_main_rogue_group_beastcatchas
2000	0	wh2_main_rogue_bernhoffs_brigands	wh2_main_rogue_group_bernhoffs_brigands
2000	1	wh2_main_rogue_bernhoffs_brigands	wh2_main_rogue_group_bernhoffs_brigands
2000	2	wh2_main_rogue_bernhoffs_brigands	wh2_main_rogue_group_bernhoffs_brigands
2000	3	wh2_main_rogue_bernhoffs_brigands	wh2_main_rogue_group_bernhoffs_brigands
2000	4	wh2_main_rogue_bernhoffs_brigands	wh2_main_rogue_group_bernhoffs_brigands
2000	0	wh2_main_rogue_black_spider_tribe	wh2_main_rogue_group_black_spider_tribe
2000	1	wh2_main_rogue_black_spider_tribe	wh2_main_rogue_group_black_spider_tribe
2000	2	wh2_main_rogue_black_spider_tribe	wh2_main_rogue_group_black_spider_tribe
2000	3	wh2_main_rogue_black_spider_tribe	wh2_main_rogue_group_black_spider_tribe
2000	4	wh2_main_rogue_black_spider_tribe	wh2_main_rogue_group_black_spider_tribe
2000	0	wh2_main_rogue_boneclubbers_tribe	wh2_main_rogue_group_boneclubbers_tribe
2000	1	wh2_main_rogue_boneclubbers_tribe	wh2_main_rogue_group_boneclubbers_tribe
2000	2	wh2_main_rogue_boneclubbers_tribe	wh2_main_rogue_group_boneclubbers_tribe
2000	3	wh2_main_rogue_boneclubbers_tribe	wh2_main_rogue_group_boneclubbers_tribe
2000	4	wh2_main_rogue_boneclubbers_tribe	wh2_main_rogue_group_boneclubbers_tribe
2000	0	wh2_main_rogue_celestial_storm	wh2_main_rogue_group_celestial_storm
2000	1	wh2_main_rogue_celestial_storm	wh2_main_rogue_group_celestial_storm
2000	2	wh2_main_rogue_celestial_storm	wh2_main_rogue_group_celestial_storm
2000	3	wh2_main_rogue_celestial_storm	wh2_main_rogue_group_celestial_storm
2000	4	wh2_main_rogue_celestial_storm	wh2_main_rogue_group_celestial_storm
2000	0	wh2_main_rogue_college_of_pyrotechnics	wh2_main_rogue_group_college_of_pyrotechnics
2000	1	wh2_main_rogue_college_of_pyrotechnics	wh2_main_rogue_group_college_of_pyrotechnics
2000	2	wh2_main_rogue_college_of_pyrotechnics	wh2_main_rogue_group_college_of_pyrotechnics
2000	3	wh2_main_rogue_college_of_pyrotechnics	wh2_main_rogue_group_college_of_pyrotechnics
2000	4	wh2_main_rogue_college_of_pyrotechnics	wh2_main_rogue_group_college_of_pyrotechnics
10000	0	wh2_main_rogue_def_chs_vashnaar	wh2_main_rogue_group_1
10000	1	wh2_main_rogue_def_chs_vashnaar	wh2_main_rogue_group_1
10000	2	wh2_main_rogue_def_chs_vashnaar	wh2_main_rogue_group_1
10000	3	wh2_main_rogue_def_chs_vashnaar	wh2_main_rogue_group_1
10000	4	wh2_main_rogue_def_chs_vashnaar	wh2_main_rogue_group_1
2000	0	wh2_main_rogue_def_mengils_manflayers	wh2_main_rogue_group_mengils_manflayers
2000	1	wh2_main_rogue_def_mengils_manflayers	wh2_main_rogue_group_mengils_manflayers
2000	2	wh2_main_rogue_def_mengils_manflayers	wh2_main_rogue_group_mengils_manflayers
2000	3	wh2_main_rogue_def_mengils_manflayers	wh2_main_rogue_group_mengils_manflayers
2000	4	wh2_main_rogue_def_mengils_manflayers	wh2_main_rogue_group_mengils_manflayers
2000	0	wh2_main_rogue_doomseekers	wh2_main_rogue_group_doomseekers
2000	1	wh2_main_rogue_doomseekers	wh2_main_rogue_group_doomseekers
2000	2	wh2_main_rogue_doomseekers	wh2_main_rogue_group_doomseekers
2000	3	wh2_main_rogue_doomseekers	wh2_main_rogue_group_doomseekers
2000	4	wh2_main_rogue_doomseekers	wh2_main_rogue_group_doomseekers
2000	0	wh2_main_rogue_gerhardts_mercenaries	wh2_main_rogue_group_gerhardts_mercenaries
2000	1	wh2_main_rogue_gerhardts_mercenaries	wh2_main_rogue_group_gerhardts_mercenaries
2000	2	wh2_main_rogue_gerhardts_mercenaries	wh2_main_rogue_group_gerhardts_mercenaries
2000	3	wh2_main_rogue_gerhardts_mercenaries	wh2_main_rogue_group_gerhardts_mercenaries
2000	4	wh2_main_rogue_gerhardts_mercenaries	wh2_main_rogue_group_gerhardts_mercenaries
2000	0	wh2_main_rogue_hef_tor_elithis	wh2_main_rogue_group_tor_elithis
2000	1	wh2_main_rogue_hef_tor_elithis	wh2_main_rogue_group_tor_elithis
2000	2	wh2_main_rogue_hef_tor_elithis	wh2_main_rogue_group_tor_elithis
2000	3	wh2_main_rogue_hef_tor_elithis	wh2_main_rogue_group_tor_elithis
2000	4	wh2_main_rogue_hef_tor_elithis	wh2_main_rogue_group_tor_elithis
2000	0	wh2_main_rogue_hung_warband	wh2_main_rogue_group_hung_warband
2000	1	wh2_main_rogue_hung_warband	wh2_main_rogue_group_hung_warband
2000	2	wh2_main_rogue_hung_warband	wh2_main_rogue_group_hung_warband
2000	3	wh2_main_rogue_hung_warband	wh2_main_rogue_group_hung_warband
2000	4	wh2_main_rogue_hung_warband	wh2_main_rogue_group_hung_warband
2000	0	wh2_main_rogue_jerrods_errantry	wh2_main_rogue_group_jerrods_errantry
2000	1	wh2_main_rogue_jerrods_errantry	wh2_main_rogue_group_jerrods_errantry
2000	2	wh2_main_rogue_jerrods_errantry	wh2_main_rogue_group_jerrods_errantry
2000	3	wh2_main_rogue_jerrods_errantry	wh2_main_rogue_group_jerrods_errantry
2000	4	wh2_main_rogue_jerrods_errantry	wh2_main_rogue_group_jerrods_errantry
2000	0	wh2_main_rogue_mangy_houndz	wh2_main_rogue_group_mangy_houndz
2000	1	wh2_main_rogue_mangy_houndz	wh2_main_rogue_group_mangy_houndz
2000	2	wh2_main_rogue_mangy_houndz	wh2_main_rogue_group_mangy_houndz
2000	3	wh2_main_rogue_mangy_houndz	wh2_main_rogue_group_mangy_houndz
2000	4	wh2_main_rogue_mangy_houndz	wh2_main_rogue_group_mangy_houndz
2000	0	wh2_main_rogue_morrsliebs_howlers	wh2_main_rogue_group_morrsliebs_howlers
2000	1	wh2_main_rogue_morrsliebs_howlers	wh2_main_rogue_group_morrsliebs_howlers
2000	2	wh2_main_rogue_morrsliebs_howlers	wh2_main_rogue_group_morrsliebs_howlers
2000	3	wh2_main_rogue_morrsliebs_howlers	wh2_main_rogue_group_morrsliebs_howlers
2000	4	wh2_main_rogue_morrsliebs_howlers	wh2_main_rogue_group_morrsliebs_howlers
2000	0	wh2_main_rogue_pirates_of_the_far_sea	wh2_main_rogue_group_pirates_of_the_far_sea
2000	1	wh2_main_rogue_pirates_of_the_far_sea	wh2_main_rogue_group_pirates_of_the_far_sea
2000	2	wh2_main_rogue_pirates_of_the_far_sea	wh2_main_rogue_group_pirates_of_the_far_sea
2000	3	wh2_main_rogue_pirates_of_the_far_sea	wh2_main_rogue_group_pirates_of_the_far_sea
2000	4	wh2_main_rogue_pirates_of_the_far_sea	wh2_main_rogue_group_pirates_of_the_far_sea
2000	0	wh2_main_rogue_pirates_of_the_southern_ocean	wh2_main_rogue_group_pirates_of_the_southern_ocean
2000	1	wh2_main_rogue_pirates_of_the_southern_ocean	wh2_main_rogue_group_pirates_of_the_southern_ocean
2000	2	wh2_main_rogue_pirates_of_the_southern_ocean	wh2_main_rogue_group_pirates_of_the_southern_ocean
