campaign_settlement_display_building_culture_overlays_tables
0
unknown0	unknown1
prefabs/campaign/def_city_banners.bmd	wh2_main_def_dark_elves
prefabs/campaign/hef_city_banners.bmd	wh2_main_hef_high_elves
prefabs/campaign/lzd_city_banners.bmd	wh2_main_lzd_lizardmen
placeholder	wh2_main_rogue
prefabs/campaign/skv_city_banners.bmd	wh2_main_skv_skaven
prefabs/campaign/bst_city_banners.bmd	wh_dlc03_bst_beastmen
prefabs/campaign/wef_city_banners.bmd	wh_dlc05_wef_wood_elves
prefabs/campaign/brt_city_banners.bmd	wh_main_brt_bretonnia
prefabs/campaign/chs_city_banners.bmd	wh_main_chs_chaos
prefabs/campaign/dwf_city_banners.bmd	wh_main_dwf_dwarfs
prefabs/campaign/emp_city_banners.bmd	wh_main_emp_empire
prefabs/campaign/grn_city_banners.bmd	wh_main_grn_greenskins
prefabs/campaign/vmp_city_banners.bmd	wh_main_vmp_vampire_counts
