campaign_stances_composite_scenes_tables
1
unknown0	unknown1	unknown2
astromancy_stance	wh2_stance_csc_lizardmen	MILITARY_FORCE_ACTIVE_STANCE_TYPE_ASTROMANCY
astromancy_stance_slann	wh2_stance_csc_lizardmen_slann	MILITARY_FORCE_ACTIVE_STANCE_TYPE_ASTROMANCY
lord_channelling	wh2_stance_csc_dark_elves	MILITARY_FORCE_ACTIVE_STANCE_TYPE_CHANNELING
lileaths_blessing	wh2_stance_csc_high_elves	MILITARY_FORCE_ACTIVE_STANCE_TYPE_CHANNELING
lord_channelling	wh2_stance_csc_lizardmen	MILITARY_FORCE_ACTIVE_STANCE_TYPE_CHANNELING
lord_channelling_slann	wh2_stance_csc_lizardmen_slann	MILITARY_FORCE_ACTIVE_STANCE_TYPE_CHANNELING
lord_channelling	wh_stance_csc_bretonnia	MILITARY_FORCE_ACTIVE_STANCE_TYPE_CHANNELING
lord_channelling	wh_stance_csc_chaos	MILITARY_FORCE_ACTIVE_STANCE_TYPE_CHANNELING
lord_channelling	wh_stance_csc_empire	MILITARY_FORCE_ACTIVE_STANCE_TYPE_CHANNELING
lord_channelling	wh_stance_csc_vampire_counts	MILITARY_FORCE_ACTIVE_STANCE_TYPE_CHANNELING
raiding_stance	wh2_stance_csc_dark_elves	MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID
raiding_stance	wh2_stance_csc_skaven	MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID
raiding_stance	wh_stance_csc_bretonnia	MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID
raiding_stance	wh_stance_csc_chaos	MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID
raiding_stance	wh_stance_csc_dwarfs	MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID
raiding_stance	wh_stance_csc_empire	MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID
grn_encampment	wh_stance_csc_greenskins	MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID
raiding_stance	wh_stance_csc_norsca	MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID
raiding_stance	wh_stance_csc_vampire_counts	MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID
grn_encampment	wh_stance_csc_greenskins	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP_RAIDING
wh2_main_def_encampment	wh2_stance_csc_dark_elves	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP
wh2_main_hef_encampment	wh2_stance_csc_high_elves	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP
wh2_main_lzd_encampment	wh2_stance_csc_lizardmen	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP
wh2_main_lzd_encampment	wh2_stance_csc_lizardmen_slann	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP
wh2_main_skv_encampment	wh2_stance_csc_skaven	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP
wh_dlc05_wef_encampment	wh_dlc05_stance_csc_woodelves	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP
bretonnia_camp	wh_stance_csc_bretonnia	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP
dwarf_camp	wh_stance_csc_dwarfs	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP
empire_camp	wh_stance_csc_empire	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP
norsca_encampment	wh_stance_csc_norsca	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP
wh2_main_skv_tunnel_stance	wh2_stance_csc_skaven	MILITARY_FORCE_ACTIVE_STANCE_TYPE_TUNNELING
beastman_tunnel_stance	wh_dlc03_stance_csc_beastmen	MILITARY_FORCE_ACTIVE_STANCE_TYPE_TUNNELING
wh_dlc05_wef_tunnel_stance	wh_dlc05_stance_csc_woodelves	MILITARY_FORCE_ACTIVE_STANCE_TYPE_TUNNELING
tunnel_stance	wh_stance_csc_dwarfs	MILITARY_FORCE_ACTIVE_STANCE_TYPE_TUNNELING
tunnel_stance	wh_stance_csc_greenskins	MILITARY_FORCE_ACTIVE_STANCE_TYPE_TUNNELING
