campaign_videos_tables
0
unknown0	unknown1	unknown2	unknown3	unknown4
True	wh2_main_def_dark_elves	21	ui/movies/def_horned_rat.png	warhammer2/def/def_horned_rat
False	wh2_main_def_dark_elves	16	ui/movies/def_intro.png	warhammer2/def/def_intro
True	wh2_main_def_dark_elves	17	ui/movies/def_ritual_1.png	warhammer2/def/def_ritual_1
True	wh2_main_def_dark_elves	18	ui/movies/def_ritual_2.png	warhammer2/def/def_ritual_2
True	wh2_main_def_dark_elves	19	ui/movies/def_ritual_3.png	warhammer2/def/def_ritual_3
True	wh2_main_def_dark_elves	20	ui/movies/def_ritual_4.png	warhammer2/def/def_ritual_4
True	wh2_main_def_dark_elves	22	ui/movies/def_ritual_5.png	warhammer2/def/def_ritual_5
True	wh2_main_def_dark_elves	23	ui/movies/def_win.png	warhammer2/def/def_win
True	wh2_main_hef_high_elves	5	ui/movies/hef_horned_rat.png	warhammer2/hef/hef_horned_rat
False	wh2_main_hef_high_elves	0	ui/movies/hef_intro.png	warhammer2/hef/hef_intro
True	wh2_main_hef_high_elves	1	ui/movies/hef_ritual_1.png	warhammer2/hef/hef_ritual_1
True	wh2_main_hef_high_elves	2	ui/movies/hef_ritual_2.png	warhammer2/hef/hef_ritual_2
True	wh2_main_hef_high_elves	3	ui/movies/hef_ritual_3.png	warhammer2/hef/hef_ritual_3
True	wh2_main_hef_high_elves	4	ui/movies/hef_ritual_4.png	warhammer2/hef/hef_ritual_4
True	wh2_main_hef_high_elves	6	ui/movies/hef_ritual_5.png	warhammer2/hef/hef_ritual_5
True	wh2_main_hef_high_elves	7	ui/movies/hef_win.png	warhammer2/hef/hef_win
True	wh2_main_lzd_lizardmen	13	ui/movies/lzd_horned_rat.png	warhammer2/lzd/lzd_horned_rat
False	wh2_main_lzd_lizardmen	8	ui/movies/lzd_intro.png	warhammer2/lzd/lzd_intro
True	wh2_main_lzd_lizardmen	9	ui/movies/lzd_ritual_1.png	warhammer2/lzd/lzd_ritual_1
True	wh2_main_lzd_lizardmen	10	ui/movies/lzd_ritual_2.png	warhammer2/lzd/lzd_ritual_2
True	wh2_main_lzd_lizardmen	11	ui/movies/lzd_ritual_3.png	warhammer2/lzd/lzd_ritual_3
True	wh2_main_lzd_lizardmen	12	ui/movies/lzd_ritual_4.png	warhammer2/lzd/lzd_ritual_4
True	wh2_main_lzd_lizardmen	14	ui/movies/lzd_ritual_5.png	warhammer2/lzd/lzd_ritual_5
True	wh2_main_lzd_lizardmen	15	ui/movies/lzd_win.png	warhammer2/lzd/lzd_win
True	wh2_main_skv_skaven	29	ui/movies/skv_horned_rat.png	warhammer2/skv/skv_horned_rat
False	wh2_main_skv_skaven	24	ui/movies/skv_intro.png	warhammer2/skv/skv_intro
True	wh2_main_skv_skaven	25	ui/movies/skv_ritual_1.png	warhammer2/skv/skv_ritual_1
True	wh2_main_skv_skaven	26	ui/movies/skv_ritual_2.png	warhammer2/skv/skv_ritual_2
True	wh2_main_skv_skaven	27	ui/movies/skv_ritual_3.png	warhammer2/skv/skv_ritual_3
True	wh2_main_skv_skaven	28	ui/movies/skv_ritual_4.png	warhammer2/skv/skv_ritual_4
True	wh2_main_skv_skaven	30	ui/movies/skv_ritual_5.png	warhammer2/skv/skv_ritual_5
True	wh2_main_skv_skaven	31	ui/movies/skv_win.png	warhammer2/skv/skv_win
True	*	32	ui/movies/skv_comet.png	warhammer2/skv_comet
