cdir_configs_tables
0
campaign_key	unknown2	faction_key	cdir_config_key	unknown5	value
all	True	all	CDIR_CVN_AUTORESOLVER_MODIFIER_ARMY_DAMAGE_BIG_LOSER	True	0
all	True	all	CDIR_CVN_AUTORESOLVER_MODIFIER_ARMY_DAMAGE_BIG_WINNER	True	1.9
all	True	all	CDIR_CVN_AUTORESOLVER_MODIFIER_ARMY_DAMAGE_LOSER	True	0
all	True	all	CDIR_CVN_AUTORESOLVER_MODIFIER_ARMY_DAMAGE_WINNER	True	1.5
all	True	all	CDIR_CVN_AUTORESOLVER_MODIFIER_ARMY_LOSSES_BIG_LOSER	True	0.0
all	True	all	CDIR_CVN_AUTORESOLVER_MODIFIER_ARMY_LOSSES_BIG_WINNER	True	0.0
all	True	all	CDIR_CVN_AUTORESOLVER_MODIFIER_ARMY_LOSSES_LOSER	True	0.0
all	True	all	CDIR_CVN_AUTORESOLVER_MODIFIER_ARMY_LOSSES_WINNER	True	0.0
all	True	all	CDIR_CVN_AUTORESOLVER_MODIFIER_ARMY_RESULT_BIG_LOSER	True	0.2
all	True	all	CDIR_CVN_AUTORESOLVER_MODIFIER_ARMY_RESULT_BIG_WINNER	True	0.8
all	True	all	CDIR_CVN_AUTORESOLVER_MODIFIER_ARMY_RESULT_LOSER	True	0.9
all	True	all	CDIR_CVN_AUTORESOLVER_MODIFIER_ARMY_RESULT_WINNER	True	1.5
all	True	all	CDIR_CVN_AUTORESOLVER_MODIFIER_NAVY_DAMAGE_BIG_LOSER	True	0
all	True	all	CDIR_CVN_AUTORESOLVER_MODIFIER_NAVY_DAMAGE_BIG_WINNER	True	1.9
all	True	all	CDIR_CVN_AUTORESOLVER_MODIFIER_NAVY_DAMAGE_LOSER	True	0
all	True	all	CDIR_CVN_AUTORESOLVER_MODIFIER_NAVY_DAMAGE_WINNER	True	1.5
all	True	all	CDIR_CVN_AUTORESOLVER_MODIFIER_NAVY_LOSSES_BIG_LOSER	True	0.0
all	True	all	CDIR_CVN_AUTORESOLVER_MODIFIER_NAVY_LOSSES_BIG_WINNER	True	0.0
all	True	all	CDIR_CVN_AUTORESOLVER_MODIFIER_NAVY_LOSSES_LOSER	True	0.0
all	True	all	CDIR_CVN_AUTORESOLVER_MODIFIER_NAVY_LOSSES_WINNER	True	0.0
all	True	all	CDIR_CVN_AUTORESOLVER_MODIFIER_NAVY_RESULT_BIG_LOSER	True	0.2
all	True	all	CDIR_CVN_AUTORESOLVER_MODIFIER_NAVY_RESULT_BIG_WINNER	True	0.8
all	True	all	CDIR_CVN_AUTORESOLVER_MODIFIER_NAVY_RESULT_LOSER	True	0.9
all	True	all	CDIR_CVN_AUTORESOLVER_MODIFIER_NAVY_RESULT_WINNER	True	1.5
all	True	all	CDIR_CVN_BOOST_PLAYER_RIVALS_AMOUNT	True	500
all	True	all	CDIR_CVN_BOOST_PLAYER_RIVALS_MAX	True	5
all	True	all	CDIR_CVN_BOOST_PLAYER_RIVALS_MIN	True	5
all	True	all	CDIR_CVN_BOOST_PLAYER_RIVALS_PERCENTAGE	True	0.125
all	True	all	CDIR_CVN_EVENT_GENERATOR_BASE_CHANCE	True	0.25
all	True	all	CDIR_CVN_EVENT_GENERATOR_EXTRA_CHANCE_PER_ROUND	True	0.05
all	True	all	CDIR_CVN_EVENT_GENERATOR_INCIDENT_BASE_CHANCE	True	0.1
all	True	all	CDIR_CVN_EVENT_GENERATOR_INCIDENT_CHANCE_PER_ROUND	True	0.02
all	True	all	CDIR_CVN_EVENT_GENERATOR_MIN_ROUNDS_BETWEEN_EVENTS	True	0
all	True	all	CDIR_CVN_EVENT_GENERATOR_MISSION_BASE_CHANCE	True	0.5
all	True	all	CDIR_CVN_EVENT_GENERATOR_START_AFTER_ROUND	True	0
all	True	all	CDIR_CVN_PLAYER_RIVAL_SCORE_DIPLOMATIC_RELATION_PCT	True	0.1
all	True	all	CDIR_CVN_PLAYER_RIVAL_SCORE_FAME_PCT	True	0.5
all	True	all	CDIR_CVN_PLAYER_RIVAL_SCORE_MINOR_FACTION_WEIGHT	True	0.33
all	True	all	CDIR_CVN_PLAYER_RIVAL_SCORE_PROXIMITY_PCT	True	0.2
all	True	all	CDIR_CVN_PLAYER_RIVAL_SCORE_VICTORY_REGIONS_PCT	True	0.2
all	True	all	CDIR_CVN_UBER_FACTION	True	0
