cdir_events_dilemma_choice_details_tables
0
choice_key	dilemma_key
FIRST	wh2_main_def_names_of_power_ar_1_sacrifice
SECOND	wh2_main_def_names_of_power_ar_1_sacrifice
FIRST	wh2_main_def_names_of_power_ar_2_caravan
SECOND	wh2_main_def_names_of_power_ar_2_caravan
FIRST	wh2_main_def_names_of_power_ar_3_battle
SECOND	wh2_main_def_names_of_power_ar_3_battle
FIRST	wh2_main_def_names_of_power_ar_4_beast
SECOND	wh2_main_def_names_of_power_ar_4_beast
FIRST	wh2_main_def_names_of_power_ar_5_tideofbattle
SECOND	wh2_main_def_names_of_power_ar_5_tideofbattle
FIRST	wh2_main_def_names_of_power_ar_6_raid
SECOND	wh2_main_def_names_of_power_ar_6_raid
FIRST	wh2_main_def_names_of_power_ca_1_ambush
SECOND	wh2_main_def_names_of_power_ca_1_ambush
FIRST	wh2_main_def_names_of_power_ca_2_spoils
SECOND	wh2_main_def_names_of_power_ca_2_spoils
FIRST	wh2_main_def_names_of_power_ca_3_siege
SECOND	wh2_main_def_names_of_power_ca_3_siege
FIRST	wh2_main_def_names_of_power_ca_4_sorceress
SECOND	wh2_main_def_names_of_power_ca_4_sorceress
FIRST	wh2_main_def_names_of_power_ca_5_draft
SECOND	wh2_main_def_names_of_power_ca_5_draft
FIRST	wh2_main_def_names_of_power_ca_6_captive
SECOND	wh2_main_def_names_of_power_ca_6_captive
FIRST	wh2_main_def_names_of_power_co_1_potion
SECOND	wh2_main_def_names_of_power_co_1_potion
FIRST	wh2_main_def_names_of_power_co_2_dragon
SECOND	wh2_main_def_names_of_power_co_2_dragon
FIRST	wh2_main_def_names_of_power_co_3_smith
SECOND	wh2_main_def_names_of_power_co_3_smith
FIRST	wh2_main_def_names_of_power_co_4_teacher
SECOND	wh2_main_def_names_of_power_co_4_teacher
FIRST	wh2_main_def_names_of_power_co_5_hex
SECOND	wh2_main_def_names_of_power_co_5_hex
FIRST	wh2_main_def_names_of_power_co_6_hydra
SECOND	wh2_main_def_names_of_power_co_6_hydra
FIRST	wh2_main_dilemma_encounter_at_sea_1
SECOND	wh2_main_dilemma_encounter_at_sea_1
FIRST	wh2_main_dilemma_encounter_at_sea_1_a
SECOND	wh2_main_dilemma_encounter_at_sea_1_a
FIRST	wh2_main_dilemma_encounter_at_sea_2
SECOND	wh2_main_dilemma_encounter_at_sea_2
FIRST	wh2_main_dilemma_encounter_at_sea_2_a
SECOND	wh2_main_dilemma_encounter_at_sea_2_a
FIRST	wh2_main_dilemma_encounter_at_sea_3
SECOND	wh2_main_dilemma_encounter_at_sea_3
FIRST	wh2_main_dilemma_encounter_at_sea_3_a
SECOND	wh2_main_dilemma_encounter_at_sea_3_a
FIRST	wh2_main_dilemma_encounter_at_sea_4
SECOND	wh2_main_dilemma_encounter_at_sea_4
FIRST	wh2_main_dilemma_encounter_at_sea_4_a
SECOND	wh2_main_dilemma_encounter_at_sea_4_a
FIRST	wh2_main_dilemma_grand_campaign_victory
