cdir_events_mission_followup_dilemmas_tables
0
unknown0	unknown1	unknown2
wh2_main_great_vortex_skv_queek_headtaker_warp_shard_armour_stage_2	SUCCESS	wh2_main_great_vortex_skv_queek_headtaker_warp_shard_armour_stage_3
wh2_main_skv_queek_headtaker_warp_shard_armour_stage_2	SUCCESS	wh2_main_skv_queek_headtaker_warp_shard_armour_stage_3
wh_dlc04_vmp_vlad_von_carstein_the_carstein_ring_stage_1	SUCCESS	wh_dlc04_vmp_vlad_von_carstein_the_carstein_ring_stage_2
wh_dlc07_qb_brt_alberic_trident_of_bordeleaux_stage_5	SUCCESS	wh_dlc07_brt_qb_alberic_trident_of_manann_stage_5
wh_main_dwf_ungrim_ironfist_slayer_crown_stage_2.1	SUCCESS	wh_main_dwf_ungrim_ironfist_slayer_crown_stage_3
wh_main_dwf_ungrim_ironfist_slayer_crown_stage_2	SUCCESS	wh_main_dwf_ungrim_ironfist_slayer_crown_stage_3
wh_main_emp_balthasar_gelt_amulet_of_sea_gold_stage_2	SUCCESS	wh_main_emp_balthasar_gelt_amulet_of_sea_gold_stage_3
wh_main_emp_karl_franz_silver_seal_stage_1	SUCCESS	wh_main_emp_karl_franz_silver_seal_stage_2
wh_pro01_dwf_grombrindal_amour_of_glimril_scales_stage_2	SUCCESS	wh_pro01_dwf_grombrindal_amour_of_glimril_scales_stage_3
wh_pro01_dwf_grombrindal_amour_of_glimril_scales_stage_2a	SUCCESS	wh_pro01_dwf_grombrindal_amour_of_glimril_scales_stage_3
