character_skill_nodes_skill_locks_tables
0
character_skill	character_skill_node	level
wh2_main_skill_def_spy_poison_2	wh2_main_skill_node_def_assassin_poisons_1	1
wh2_main_skill_def_spy_poison_3	wh2_main_skill_node_def_assassin_poisons_1	1
wh2_main_skill_def_spy_poison_1	wh2_main_skill_node_def_assassin_poisons_2	1
wh2_main_skill_def_spy_poison_3	wh2_main_skill_node_def_assassin_poisons_2	1
wh2_main_skill_def_spy_poison_1	wh2_main_skill_node_def_assassin_poisons_3	1
wh2_main_skill_def_spy_poison_2	wh2_main_skill_node_def_assassin_poisons_3	1
wh2_main_skill_def_death_hag_gift_2	wh2_main_skill_node_def_death_hag_gifts_1	1
wh2_main_skill_def_witchbrew	wh2_main_skill_node_def_death_hag_gifts_1	1
wh2_main_skill_def_death_hag_gift_1	wh2_main_skill_node_def_death_hag_gifts_2	1
wh2_main_skill_def_witchbrew	wh2_main_skill_node_def_death_hag_gifts_2	1
wh2_main_skill_def_death_hag_gift_1	wh2_main_skill_node_def_death_hag_gifts_3	1
wh2_main_skill_def_death_hag_gift_2	wh2_main_skill_node_def_death_hag_gifts_3	1
wh2_main_skill_def_names_of_power_2	wh2_main_skill_node_def_dreadlord_fem_names_of_power_1	1
wh2_main_skill_def_names_of_power_3	wh2_main_skill_node_def_dreadlord_fem_names_of_power_1	1
wh2_main_skill_def_names_of_power_1	wh2_main_skill_node_def_dreadlord_fem_names_of_power_2	1
wh2_main_skill_def_names_of_power_3	wh2_main_skill_node_def_dreadlord_fem_names_of_power_2	1
wh2_main_skill_def_names_of_power_1	wh2_main_skill_node_def_dreadlord_fem_names_of_power_3	1
wh2_main_skill_def_names_of_power_2	wh2_main_skill_node_def_dreadlord_fem_names_of_power_3	1
wh2_main_skill_def_names_of_power_2	wh2_main_skill_node_def_dreadlord_names_of_power_1	1
wh2_main_skill_def_names_of_power_3	wh2_main_skill_node_def_dreadlord_names_of_power_1	1
wh2_main_skill_def_names_of_power_1	wh2_main_skill_node_def_dreadlord_names_of_power_2	1
wh2_main_skill_def_names_of_power_3	wh2_main_skill_node_def_dreadlord_names_of_power_2	1
wh2_main_skill_def_names_of_power_1	wh2_main_skill_node_def_dreadlord_names_of_power_3	1
wh2_main_skill_def_names_of_power_2	wh2_main_skill_node_def_dreadlord_names_of_power_3	1
wh2_main_skill_def_malekith_warleader_1	wh2_main_skill_node_def_malekith_unique_0	1
wh2_main_skill_def_malekith_tyrant_0	wh2_main_skill_node_def_malekith_unique_2	1
wh2_main_skill_def_morathi_unique_2	wh2_main_skill_node_def_morathi_unique_0	1
wh2_main_skill_def_morathi_unique_0	wh2_main_skill_node_def_morathi_unique_2	1
wh2_main_skill_hef_noble_unique_2	wh2_main_skill_node_hef_noble_unique_1	1
wh2_main_skill_hef_noble_unique_3	wh2_main_skill_node_hef_noble_unique_1	1
wh2_main_skill_hef_noble_unique_1	wh2_main_skill_node_hef_noble_unique_2	1
wh2_main_skill_hef_noble_unique_3	wh2_main_skill_node_hef_noble_unique_2	1
wh2_main_skill_hef_noble_unique_1	wh2_main_skill_node_hef_noble_unique_3	1
wh2_main_skill_hef_noble_unique_2	wh2_main_skill_node_hef_noble_unique_3	1
wh2_main_skill_hef_dedication_addaioth	wh2_main_skill_node_hef_prince_dedication_1	1
wh2_main_skill_hef_dedication_hoeth	wh2_main_skill_node_hef_prince_dedication_1	1
wh2_main_skill_hef_dedication_hukon	wh2_main_skill_node_hef_prince_dedication_1	1
wh2_main_skill_hef_dedication_isha	wh2_main_skill_node_hef_prince_dedication_1	1
wh2_main_skill_hef_dedication_kurnous	wh2_main_skill_node_hef_prince_dedication_1	1
wh2_main_skill_hef_dedication_mathlann	wh2_main_skill_node_hef_prince_dedication_1	1
wh2_main_skill_hef_dedication_vaul	wh2_main_skill_node_hef_prince_dedication_1	1
wh2_main_skill_hef_dedication_addaioth	wh2_main_skill_node_hef_prince_dedication_2	1
wh2_main_skill_hef_dedication_asuryan	wh2_main_skill_node_hef_prince_dedication_2	1
wh2_main_skill_hef_dedication_hukon	wh2_main_skill_node_hef_prince_dedication_2	1
wh2_main_skill_hef_dedication_isha	wh2_main_skill_node_hef_prince_dedication_2	1
wh2_main_skill_hef_dedication_kurnous	wh2_main_skill_node_hef_prince_dedication_2	1
wh2_main_skill_hef_dedication_mathlann	wh2_main_skill_node_hef_prince_dedication_2	1
wh2_main_skill_hef_dedication_vaul	wh2_main_skill_node_hef_prince_dedication_2	1
wh2_main_skill_hef_dedication_addaioth	wh2_main_skill_node_hef_prince_dedication_3	1
wh2_main_skill_hef_dedication_asuryan	wh2_main_skill_node_hef_prince_dedication_3	1
wh2_main_skill_hef_dedication_hoeth	wh2_main_skill_node_hef_prince_dedication_3	1
wh2_main_skill_hef_dedication_hukon	wh2_main_skill_node_hef_prince_dedication_3	1
wh2_main_skill_hef_dedication_isha	wh2_main_skill_node_hef_prince_dedication_3	1
wh2_main_skill_hef_dedication_kurnous	wh2_main_skill_node_hef_prince_dedication_3	1
wh2_main_skill_hef_dedication_mathlann	wh2_main_skill_node_hef_prince_dedication_3	1
wh2_main_skill_hef_dedication_addaioth	wh2_main_skill_node_hef_prince_dedication_4	1
wh2_main_skill_hef_dedication_asuryan	wh2_main_skill_node_hef_prince_dedication_4	1
wh2_main_skill_hef_dedication_hoeth	wh2_main_skill_node_hef_prince_dedication_4	1
wh2_main_skill_hef_dedication_hukon	wh2_main_skill_node_hef_prince_dedication_4	1
wh2_main_skill_hef_dedication_isha	wh2_main_skill_node_hef_prince_dedication_4	1
wh2_main_skill_hef_dedication_mathlann	wh2_main_skill_node_hef_prince_dedication_4	1
wh2_main_skill_hef_dedication_vaul	wh2_main_skill_node_hef_prince_dedication_4	1
wh2_main_skill_hef_dedication_addaioth	wh2_main_skill_node_hef_prince_dedication_5	1
wh2_main_skill_hef_dedication_asuryan	wh2_main_skill_node_hef_prince_dedication_5	1
wh2_main_skill_hef_dedication_hoeth	wh2_main_skill_node_hef_prince_dedication_5	1
wh2_main_skill_hef_dedication_hukon	wh2_main_skill_node_hef_prince_dedication_5	1
wh2_main_skill_hef_dedication_kurnous	wh2_main_skill_node_hef_prince_dedication_5	1
wh2_main_skill_hef_dedication_mathlann	wh2_main_skill_node_hef_prince_dedication_5	1
wh2_main_skill_hef_dedication_vaul	wh2_main_skill_node_hef_prince_dedication_5	1
wh2_main_skill_hef_dedication_asuryan	wh2_main_skill_node_hef_prince_dedication_6	1
wh2_main_skill_hef_dedication_hoeth	wh2_main_skill_node_hef_prince_dedication_6	1
wh2_main_skill_hef_dedication_hukon	wh2_main_skill_node_hef_prince_dedication_6	1
wh2_main_skill_hef_dedication_isha	wh2_main_skill_node_hef_prince_dedication_6	1
wh2_main_skill_hef_dedication_kurnous	wh2_main_skill_node_hef_prince_dedication_6	1
wh2_main_skill_hef_dedication_mathlann	wh2_main_skill_node_hef_prince_dedication_6	1
wh2_main_skill_hef_dedication_vaul	wh2_main_skill_node_hef_prince_dedication_6	1
wh2_main_skill_hef_dedication_addaioth	wh2_main_skill_node_hef_prince_dedication_7	1
wh2_main_skill_hef_dedication_asuryan	wh2_main_skill_node_hef_prince_dedication_7	1
wh2_main_skill_hef_dedication_hoeth	wh2_main_skill_node_hef_prince_dedication_7	1
wh2_main_skill_hef_dedication_hukon	wh2_main_skill_node_hef_prince_dedication_7	1
wh2_main_skill_hef_dedication_isha	wh2_main_skill_node_hef_prince_dedication_7	1
wh2_main_skill_hef_dedication_kurnous	wh2_main_skill_node_hef_prince_dedication_7	1
wh2_main_skill_hef_dedication_vaul	wh2_main_skill_node_hef_prince_dedication_7	1
wh2_main_skill_hef_dedication_addaioth	wh2_main_skill_node_hef_prince_dedication_8	1
wh2_main_skill_hef_dedication_asuryan	wh2_main_skill_node_hef_prince_dedication_8	1
wh2_main_skill_hef_dedication_hoeth	wh2_main_skill_node_hef_prince_dedication_8	1
wh2_main_skill_hef_dedication_isha	wh2_main_skill_node_hef_prince_dedication_8	1
wh2_main_skill_hef_dedication_kurnous	wh2_main_skill_node_hef_prince_dedication_8	1
wh2_main_skill_hef_dedication_mathlann	wh2_main_skill_node_hef_prince_dedication_8	1
wh2_main_skill_hef_dedication_vaul	wh2_main_skill_node_hef_prince_dedication_8	1
wh2_main_skill_hef_dedication_addaioth	wh2_main_skill_node_hef_princess_dedication_1	1
wh2_main_skill_hef_dedication_hoeth	wh2_main_skill_node_hef_princess_dedication_1	1
wh2_main_skill_hef_dedication_hukon	wh2_main_skill_node_hef_princess_dedication_1	1
wh2_main_skill_hef_dedication_isha	wh2_main_skill_node_hef_princess_dedication_1	1
wh2_main_skill_hef_dedication_kurnous	wh2_main_skill_node_hef_princess_dedication_1	1
