confederation_effect_bundles_tables
0
culture	effect_bundle	turns
wh2_main_def_dark_elves	wh2_main_bundle_confederation_def	5
wh2_main_hef_high_elves	wh2_main_bundle_confederation_hef	5
wh2_main_lzd_lizardmen	wh2_main_bundle_confederation_lzd	5
wh2_main_skv_skaven	wh2_main_bundle_confederation_skv	5
wh_dlc03_bst_beastmen	wh_dlc03_beastmen_confederation_help	5
wh_dlc05_wef_wood_elves	wh_main_bundle_confederation_wef	5
wh_main_brt_bretonnia	wh_main_bundle_confederation_brt	4
wh_main_dwf_dwarfs	wh_main_bundle_confederation_dwf	5
wh_main_emp_empire	wh_main_bundle_confederation_emp	5
wh_main_grn_greenskins	wh_main_bundle_confederation_grn	5
wh_main_vmp_vampire_counts	wh_main_bundle_confederation_vmp	5
