culture_settlement_occupation_options_tables
8
option	acting_army_faction_effect_bundle	acting_army_faction_effect_bundle_turns	target_settlement_faction_effect_bundle	target_settlement_faction_effect_bundle_turns	group	acting_army_effect_bundle	acting_army_effect_bundle_turns	unknown8	unknown9	unknown10	unknown11	unknown12	unknown13
occupation_decision_raze_without_occupy		0		0	wh2_main_sc_rogue_pirates_of_the_southern_ocean_occupation_decision_raze_without_occupy		0	1011188887	0	Raze||All buildings are destroyed and the settlement is torched.	raze	100	0.2
occupation_decision_colonise		0		0	wh2_main_sc_def_dark_elves_occupation_decision_colonise		0	1018	0	Colonise||Settle your troops.	colonise	0	1
occupation_decision_do_nothing		0		0	wh2_main_sc_def_dark_elves_occupation_decision_do_nothing		0	1023	0	Do Nothing||Leave the settlement as it stands.	desolation	0	1
occupation_decision_loot		0		0	wh2_main_sc_def_dark_elves_occupation_decision_loot		0	1024	0	Loot & Occupy||You gain wealth from looting, but buildings in the settlement are damaged. All captives are enslaved, [[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}} is greatly reduced, and your diplomatic relations with the previous owner also suffer greatly.	loot	0	1
occupation_decision_occupy		0		0	wh2_main_sc_def_dark_elves_occupation_decision_occupy		0	1027	0	Occupy||{{tr:occupation_decision_occupy}}	occupy	0	1
occupation_decision_raze_without_occupy		0		0	wh2_main_sc_def_dark_elves_occupation_decision_raze_without_occupy		0	1032	0	Raze||All buildings are destroyed and the settlement is torched.	wh2_main_def_dark_elves_raze	100	0.2
occupation_decision_resettle		0		0	wh2_main_sc_def_dark_elves_occupation_decision_resettle		0	1034	0	Resettle||With no regions currently under your control, you have the option to settle your army here.	colonise	0	1
occupation_decision_sack		0		0	wh2_main_sc_def_dark_elves_occupation_decision_sack		0	1036	0	Sack||You do not capture the settlement but instead steal wealth and damage buildings. All captives are enslaved, [[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}} is reduced, and the previous owners will like you a lot less.	sack	0	1
occupation_decision_colonise		0		0	wh2_main_sc_hef_high_elves_occupation_decision_colonise		0	1043	0	Colonise||Settle your troops.	colonise	0	1
occupation_decision_raze_without_occupy		0		0	wh2_main_sc_rogue_beastcatchas_occupation_decision_raze_without_occupy		0	1044364106	0	Raze||All buildings are destroyed and the settlement is torched.	raze	100	0.2
occupation_decision_do_nothing		0		0	wh2_main_sc_rogue_teef_snatchaz_occupation_decision_do_nothing		0	1046022784	0	Do Nothing||Leave the settlement as it stands.	desolation	0	1
occupation_decision_do_nothing		0		0	wh2_main_sc_hef_high_elves_occupation_decision_do_nothing		0	1051	0	Do Nothing||Leave the settlement as it stands.	desolation	0	1
occupation_decision_loot		0		0	wh2_main_sc_hef_high_elves_occupation_decision_loot		0	1058	0	Loot & Occupy||You gain wealth from looting, but buildings in the settlement are damaged. All captives are enslaved, [[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}} is greatly reduced, and your diplomatic relations with the previous owner also suffer greatly.	loot	0	1
occupation_decision_occupy		0		0	wh2_main_sc_hef_high_elves_occupation_decision_occupy		0	1063	0	Occupy||{{tr:occupation_decision_occupy}}	occupy	0	1
occupation_decision_raze_without_occupy		0		0	wh2_main_sc_rogue_pirates_of_trantio_occupation_decision_raze_without_occupy		0	1069680572	0	Raze||All buildings are destroyed and the settlement is torched.	raze	100	0.2
occupation_decision_raze_without_occupy		0		0	wh2_main_sc_hef_high_elves_occupation_decision_raze_without_occupy		0	1070	0	Raze||All buildings are destroyed and the settlement is torched.	wh2_main_hef_high_elves_raze	100	0.2
occupation_decision_resettle		0		0	wh2_main_sc_hef_high_elves_occupation_decision_resettle		0	1071	0	Resettle||With no regions currently under your control, you have the option to settle your army here.	colonise	0	1
occupation_decision_sack		0		0	wh2_main_sc_rogue_mangy_houndz_occupation_decision_sack		0	1071724693	0	Sack||You do not capture the settlement but instead steal wealth and damage buildings. All captives are enslaved, [[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}} is reduced, and the previous owners will like you a lot less.	sack	0	1
