diplomacy_current_treaties_to_diplomatic_options_tables
0
can_be_cancelled	current_treaty_key	diplomatic_option_key
False	current_treaty_at_war	diplomatic_option_declare_war
True	current_treaty_client_of_player	diplomatic_option_client_state
True	current_treaty_defensive_alliance	diplomatic_option_defensive_alliance
True	current_treaty_giving_soft_military_access_indefinite	diplomatic_option_soft_access
True	current_treaty_giving_soft_military_access_turns	diplomatic_option_soft_access
True	current_treaty_has_soft_military_access_indefinite	diplomatic_option_soft_access
True	current_treaty_has_soft_military_access_turns	diplomatic_option_soft_access
True	current_treaty_military_alliance	diplomatic_option_military_alliance
True	current_treaty_non_aggression_pact	diplomatic_option_nonaggression_pact
False	current_treaty_payments_paying	diplomatic_option_payment
False	current_treaty_payments_receiving	diplomatic_option_payment
False	current_treaty_peace	diplomatic_option_peace_treaty
True	current_treaty_trade_agreement	diplomatic_option_trade_agreement
False	current_treaty_vassal_of_non_player	diplomatic_option_vassal
True	current_treaty_vassal_of_player	diplomatic_option_vassal
