effect_bonus_value_agent_junction_tables
0
effect	bonus_value_id	agent
wh2_main_effect_agent_action_cost_mod_def_death_hag	action_cost_mod	dignitary
wh2_main_effect_agent_action_cost_mod_def_khainite_assassin	action_cost_mod	spy
wh2_main_effect_agent_action_cost_mod_def_sorceress	action_cost_mod	wizard
wh2_main_effect_agent_action_cost_mod_hef_loremaster_of_hoeth	action_cost_mod	spy
wh2_main_effect_agent_action_cost_mod_hef_mage	action_cost_mod	wizard
wh2_main_effect_agent_action_cost_mod_hef_noble	action_cost_mod	champion
wh2_main_effect_agent_action_cost_mod_lzd_saurus_scar_veteran	action_cost_mod	champion
wh2_main_effect_agent_action_cost_mod_lzd_skink_chief	action_cost_mod	wizard
wh2_main_effect_agent_action_cost_mod_lzd_skink_priest	action_cost_mod	wizard
wh2_main_effect_agent_action_cost_mod_skv_assassin	action_cost_mod	spy
wh2_main_effect_agent_action_cost_mod_skv_plague_priest	action_cost_mod	wizard
wh2_main_effect_agent_action_cost_mod_skv_warlock_engineer	action_cost_mod	engineer
wh2_main_effect_agent_action_outcome_target_defence_success_chance_enemy_hidden	success_mod_opponent	champion
wh2_main_effect_agent_action_outcome_target_defence_success_chance_enemy_hidden	success_mod_opponent	dignitary
wh2_main_effect_agent_action_outcome_target_defence_success_chance_enemy_hidden	success_mod_opponent	engineer
wh2_main_effect_agent_action_outcome_target_defence_success_chance_enemy_hidden	success_mod_opponent	runesmith
wh2_main_effect_agent_action_outcome_target_defence_success_chance_enemy_hidden	success_mod_opponent	spy
wh2_main_effect_agent_action_outcome_target_defence_success_chance_enemy_hidden	success_mod_opponent	wizard
wh2_main_effect_agent_action_success_chance_def_death_hag	success_mod	dignitary
wh2_main_effect_agent_action_success_chance_def_khainite_assassin	success_mod	spy
wh2_main_effect_agent_action_success_chance_def_sorceress	success_mod	wizard
wh2_main_effect_agent_action_success_chance_hef_loremaster_of_hoeth	success_mod	spy
wh2_main_effect_agent_action_success_chance_hef_mage	success_mod	wizard
wh2_main_effect_agent_action_success_chance_hef_noble	success_mod	champion
wh2_main_effect_agent_action_success_chance_lzd_saurus_scar_veteran	success_mod	champion
wh2_main_effect_agent_action_success_chance_lzd_skink_chief	success_mod	wizard
wh2_main_effect_agent_action_success_chance_lzd_skink_priest	success_mod	wizard
wh2_main_effect_agent_action_success_chance_mage_loremaster	success_mod	runesmith
wh2_main_effect_agent_action_success_chance_mage_loremaster	success_mod	wizard
wh2_main_effect_agent_action_success_chance_skv_assassin	success_mod	spy
wh2_main_effect_agent_action_success_chance_skv_plague_priest	success_mod	wizard
wh2_main_effect_agent_action_success_chance_skv_warlock_engineer	success_mod	engineer
wh2_main_effect_agent_action_success_chance_wizard_def	success_mod	wizard
wh2_main_effect_agent_cap_increase_all_heroes	cap	champion
wh2_main_effect_agent_cap_increase_all_heroes	cap	dignitary
wh2_main_effect_agent_cap_increase_all_heroes	cap	engineer
wh2_main_effect_agent_cap_increase_all_heroes	cap	runesmith
wh2_main_effect_agent_cap_increase_all_heroes	cap	spy
wh2_main_effect_agent_cap_increase_all_heroes	cap	wizard
wh2_main_effect_agent_cap_increase_def_death_hag	cap	dignitary
wh2_main_effect_agent_cap_increase_def_khainite_assassin	cap	spy
wh2_main_effect_agent_cap_increase_def_sorceress	cap	wizard
wh2_main_effect_agent_cap_increase_hef_loremaster	cap	runesmith
wh2_main_effect_agent_cap_increase_hef_mage	cap	wizard
wh2_main_effect_agent_cap_increase_hef_noble	cap	champion
wh2_main_effect_agent_cap_increase_lzd_scar_veteran	cap	champion
wh2_main_effect_agent_cap_increase_lzd_skink_chief	cap	spy
wh2_main_effect_agent_cap_increase_lzd_skink_priest	cap	wizard
wh2_main_effect_agent_cap_increase_skv_assassin	cap	spy
wh2_main_effect_agent_cap_increase_skv_plague_priest	cap	wizard
wh2_main_effect_agent_cap_increase_skv_warlock_engineer	cap	engineer
wh2_main_effect_agent_enable_recruitment_dignitary_def	availability	dignitary
wh2_main_effect_agent_enable_recruitment_engineer_skv	availability	engineer
wh2_main_effect_agent_enable_recruitment_hef_noble	availability	champion
wh2_main_effect_agent_enable_recruitment_lzd_scar_veteran	availability	champion
wh2_main_effect_agent_enable_recruitment_runesmith_hef	availability	runesmith
wh2_main_effect_agent_enable_recruitment_spy_def	availability	spy
wh2_main_effect_agent_enable_recruitment_spy_lzd	availability	spy
wh2_main_effect_agent_enable_recruitment_spy_skv	availability	spy
wh2_main_effect_agent_enable_recruitment_wizard_def	availability	wizard
wh2_main_effect_agent_enable_recruitment_wizard_hef	availability	wizard
wh2_main_effect_agent_enable_recruitment_wizard_lzd	availability	wizard
wh2_main_effect_agent_enable_recruitment_wizard_skv	availability	wizard
wh2_main_effect_agent_recruitment_xp_all_agents_and_lords_hidden	recruitment_level	champion
wh2_main_effect_agent_recruitment_xp_all_agents_and_lords_hidden	recruitment_level	dignitary
wh2_main_effect_agent_recruitment_xp_all_agents_and_lords_hidden	recruitment_level	engineer
wh2_main_effect_agent_recruitment_xp_all_agents_and_lords_hidden	recruitment_level	general
wh2_main_effect_agent_recruitment_xp_all_agents_and_lords_hidden	recruitment_level	runesmith
wh2_main_effect_agent_recruitment_xp_all_agents_and_lords_hidden	recruitment_level	spy
wh2_main_effect_agent_recruitment_xp_all_agents_and_lords_hidden	recruitment_level	wizard
wh2_main_effect_agent_recruitment_xp_all_agents_and_lords	recruitment_level	champion
wh2_main_effect_agent_recruitment_xp_all_agents_and_lords	recruitment_level	dignitary
wh2_main_effect_agent_recruitment_xp_all_agents_and_lords	recruitment_level	engineer
wh2_main_effect_agent_recruitment_xp_all_agents_and_lords	recruitment_level	general
wh2_main_effect_agent_recruitment_xp_all_agents_and_lords	recruitment_level	runesmith
wh2_main_effect_agent_recruitment_xp_all_agents_and_lords	recruitment_level	spy
wh2_main_effect_agent_recruitment_xp_all_agents_and_lords	recruitment_level	wizard
wh2_main_effect_agent_recruitment_xp_def_death_hag	recruitment_level	dignitary
wh2_main_effect_agent_recruitment_xp_def_khainite_assassin	recruitment_level	spy
wh2_main_effect_agent_recruitment_xp_def_sorceress	recruitment_level	wizard
wh2_main_effect_agent_recruitment_xp_hef_loremaster	recruitment_level	runesmith
wh2_main_effect_agent_recruitment_xp_hef_mage	recruitment_level	wizard
wh2_main_effect_agent_recruitment_xp_hef_noble	recruitment_level	champion
wh2_main_effect_agent_recruitment_xp_lzd_scar_veteran	recruitment_level	champion
wh2_main_effect_agent_recruitment_xp_lzd_skink_chief	recruitment_level	spy
wh2_main_effect_agent_recruitment_xp_lzd_skink_priest	recruitment_level	wizard
wh2_main_effect_agent_recruitment_xp_skv_assassin	recruitment_level	spy
wh2_main_effect_agent_recruitment_xp_skv_plague_priest	recruitment_level	wizard
wh2_main_effect_agent_recruitment_xp_skv_warlock_engineer	recruitment_level	engineer
wh2_main_effect_lzd_agent_recruitment_xp_all_agents	recruitment_level	champion
wh2_main_effect_lzd_agent_recruitment_xp_all_agents	recruitment_level	dignitary
wh2_main_effect_lzd_agent_recruitment_xp_all_agents	recruitment_level	engineer
