effect_bonus_value_basic_junction_tables
0
effect	bonus_value_id
wh2_main_blackark_provided_battle_loot_mod	provided_battle_loot_mod
wh2_main_blackark_provided_captives_taken_mod	provided_captives_taken_mod
wh2_main_blackark_provided_sacking_loot_mod	provided_sacking_loot_mod
wh2_main_blackark_provided_settlement_loot_mod	provided_settlement_loot_mod
wh2_main_effect_ability_army_enable_bloodwrack_cauldron	military_force_ability_strength
wh2_main_effect_ability_army_enable_bolt_of_spite	military_force_ability_strength
wh2_main_effect_ability_army_enable_brazen_cauldron	military_force_ability_strength
wh2_main_effect_ability_army_enable_khaines_flail	military_force_ability_strength
wh2_main_effect_ability_army_enable_khaines_lash	military_force_ability_strength
wh2_main_effect_ability_army_enable_khaines_scourge	military_force_ability_strength
wh2_main_effect_ability_army_enable_sky_cauldron	military_force_ability_strength
wh2_main_effect_ability_army_enable_soul_rain	military_force_ability_strength
wh2_main_effect_ability_army_enable_soul_storm	military_force_ability_strength
wh2_main_effect_ability_army_enable_soul_torrent	military_force_ability_strength
wh2_main_effect_agent_action_failure_cost_mod	agent_action_failure_cost_mod
wh2_main_effect_agent_action_passive_boost_income_effect_negative	gdp_mod_all
wh2_main_effect_agent_action_passive_boost_income_effect_positive	gdp_mod_all
wh2_main_effect_agent_action_passive_increase_slave_income_effect	province_slaves_slave_gap_mod_all_income_bonus_modifier
wh2_main_effect_agent_action_passive_spread_public_order_effect_negative	province_public_order_happiness_character_factor
wh2_main_effect_agent_action_passive_spread_public_order_effect_positive	province_public_order_happiness_character_factor
wh2_main_effect_agent_action_passive_stimulate_growth_effect_negative	province_development_growth_added_character
wh2_main_effect_agent_action_passive_stimulate_growth_effect_positive	province_development_growth_added_character
wh2_main_effect_armour_piercing_damage	melee_damage_ap_mod_mult
wh2_main_effect_army_movement_down	mod_land_movement_campaign
wh2_main_effect_army_movement_up	mod_land_movement_campaign
wh2_main_effect_blark_provided_replenishment	provided_replenishment_percentage_bonus
wh2_main_effect_building_construction_time_mod_all	mod_build_time
wh2_main_effect_captives_unit_xp	unit_xp_mod_training
wh2_main_effect_character_mod_loyalty_all	loyalty_initial_mod
wh2_main_effect_character_stat_mod_ap_damage_missile	missile_damage_ap_mod_mult
wh2_main_effect_commandment_lzd_crafting_2	province_development_growth_added_taxes
wh2_main_effect_commandment_lzd_monuments_1	building_cost_mod
wh2_main_effect_commandment_lzd_order_1	province_public_order_happiness_factor
wh2_main_effect_commandment_lzd_spawning_1	recruitment_mod_cost_land_all
wh2_main_effect_commandment_lzd_war_2	morale
wh2_main_effect_economy_gdp_mod_culture_hef	gdp_mod_entertainment
wh2_main_effect_economy_gdp_mod_farming_vmp	gdp_mod_farming
wh2_main_effect_economy_gdp_mod_industry_hef	gdp_mod_manufacture
wh2_main_effect_economy_gdp_mod_slaves_def	gdp_mod_slaves
wh2_main_effect_economy_gdp_mod_trade_local	gdp_mod_local_trade
wh2_main_effect_economy_gdp_mod_trade_sea_global	gdp_mod_sea_trade
wh2_main_effect_economy_gdp_slaves_def	gdp_slaves
wh2_main_effect_faction_trait_unit_recruitment_duration_all	recruit_time_mod_land
wh2_main_effect_force_all_campaign_sacking_income	looting_mod
wh2_main_effect_force_all_campaign_sacking_income	sacking_mod
wh2_main_effect_force_enemy_campaign_movement_range	mod_land_movement_campaign
wh2_main_effect_force_own_campaign_movement_range	mod_land_movement_campaign
wh2_main_effect_geomancy_building_dummy	geomancy
wh2_main_effect_grant_immortality_hero	immortal
wh2_main_effect_grant_immortality_lord	immortal
wh2_main_effect_hef_influence_gain	influence
wh2_main_effect_hef_influence_intrigue_cost_mod	diplomatic_relations_influence_cost_mod
wh2_main_effect_melee_damage_increase_additive	melee_damage_mod_add
wh2_main_effect_melee_damage_increase	melee_damage_mod_mult
wh2_main_effect_percentage_of_xp_to_give_other_characters_of_same_type_hidden	percentage_of_xp_to_give_other_characters_of_same_type
wh2_main_effect_percentage_of_xp_to_steal_from_characters_of_same_type_hidden	percentage_of_xp_to_steal_from_characters_of_same_type
wh2_main_effect_physical_resistance_increase	damage_resistance_physical_mod
wh2_main_effect_plague_infectivity_mod	plague_infectivity_mod
wh2_main_effect_plague_lifetime_mod	plague_lifetime_mod
wh2_main_effect_province_growth_characters_factionwide	province_development_growth_added_character
wh2_main_effect_public_order_characters_factionwide	province_public_order_happiness_character_factor
wh2_main_effect_public_order_penalty_other_religions_skaven	happiness_mod_religious_unrest
wh2_main_effect_research_cost_mod	research_cost_mod
wh2_main_effect_ritual_currency_def_add	ritual_currency_add
wh2_main_effect_ritual_currency_def_mod	ritual_currency_percentage_mod
wh2_main_effect_ritual_currency_hef_add	ritual_currency_add
wh2_main_effect_ritual_currency_hef_mod	ritual_currency_percentage_mod
wh2_main_effect_ritual_currency_lzd_add	ritual_currency_add
wh2_main_effect_ritual_currency_lzd_mod	ritual_currency_percentage_mod
wh2_main_effect_ritual_currency_skv_add	ritual_currency_add
wh2_main_effect_ritual_currency_skv_mod	ritual_currency_percentage_mod
wh2_main_effect_slave_decline_modifier	province_slaves_reduction_per_turn_modifier
wh2_main_effect_slave_income_modifier	province_slaves_slave_gap_mod_all_income_bonus_modifier
wh2_main_effect_slave_public_order_modifier	province_slaves_slave_public_order_modifier
wh2_main_effect_stance_line_of_sight_mod	line_of_sight_extension
wh2_main_effect_technology_economy_gdp_mod_culture_mining_empire	gdp_mod_entertainment
wh2_main_effect_technology_economy_gdp_mod_culture_mining_empire	gdp_mod_mining
wh2_main_effect_technology_economy_gdp_mod_mining_lzd	gdp_mod_mining
wh2_main_magic_pool_factionwide	starting_winds_of_magic_mod
wh_dlc03_effect_bloodlust_modifier_alliance	military_force_morale_modifier_faction
wh_dlc03_effect_bloodlust_modifier_animosity	military_force_morale_modifier_animosity
wh_dlc03_effect_bloodlust_modifier_characters	military_force_morale_modifier_characters
wh_dlc03_effect_bloodlust_modifier_fortify_stance	military_force_morale_modifier_settle_stance
wh_dlc03_effect_bloodlust_modifier_non_aggression	military_force_morale_modifier_faction
wh_dlc03_effect_bloodlust_modifier_peace	military_force_morale_modifier_animosity
wh_dlc03_effect_bloodlust_modifier_raid_stance	military_force_morale_modifier_raid_stance
wh_dlc03_effect_bloodlust_modifier_siege_stance	military_force_morale_modifier_tax
wh_dlc03_effect_bloodlust_modifier	military_force_morale_modifier_faction
wh_dlc03_effect_force_all_campaign_replenishment_rate_horde	unrestricted_replenishment_bonus
wh_dlc03_effect_force_army_campaign_tunnelling_evasion_chance	tunnel_interception_evasion_chance
wh_dlc03_effect_replenishment_full	unrestricted_replenishment_bonus
wh_dlc03_effect_replenishment_removed	unrestricted_replenishment_bonus
wh_dlc03_effect_stance_ambush_removal_hidden	ambush_chance_of_success_attack_bonus
wh_dlc03_effect_stealth_bonus_hidden	stealth_mod
wh_dlc03_effect_tech_army_campaign_beastpath_evasion_chance	tunnel_interception_evasion_chance
wh_dlc03_effect_technology_research_points_hidden	research_points
wh_dlc03_effect_technology_research_points	research_points
wh_dlc04_effect_force_all_campaign_loot_income_not_shown	looting_mod
wh_dlc04_effect_force_all_campaign_razing_income_not_shown	razing_mod
wh_dlc04_effect_force_all_campaign_sacking_income_not_shown	sacking_mod
wh_dlc05_effect_amber_building_hidden	food_production_buildings
wh_dlc05_effect_amber_building	food_production_buildings
wh_dlc05_effect_amber_events	food_production_events
wh_dlc05_effect_amber_quest_events_hidden	food_production_events
wh_dlc05_effect_amber_quest_events	food_production_events
wh_dlc05_effect_building_army_xp_gain	unit_xp_mod_training
wh_dlc05_effect_economy_gdp_mod_wines	gdp_mod_farming
wh_dlc05_effect_force_all_campaign_replenishment_rate_building	replenishment_percentage_bonus
wh_dlc05_effect_global_recruitment_duration_all	global_recruit_time_mod_land
wh_dlc05_effect_occupation_decision_colonise_cost_increase_hidden	occupation_decision_colonise_cost_mod
wh_dlc05_effect_public_order_global_building	province_public_order_happiness_building_positive_factor
wh_dlc05_effect_tech_army_campaign_worldroot_evasion_chance	tunnel_interception_evasion_chance
wh_dlc05_morghur_trait_immortalitiy	recuperation_time_mod
wh_dlc06_effect_enable_magic_attacks_building_hidden	unit_is_magical
wh_dlc06_effect_enable_magic_attacks_building	unit_is_magical
wh_dlc07_effect_chivalry_building	food_production_buildings
wh_dlc07_effect_chivalry_events	food_production_events
wh_dlc07_effect_chivalry_technology	food_production_technologies
wh_dlc07_effect_economy_gdp_agriculture_farming	gdp_farming
wh_dlc07_effect_economy_gdp_mod_farming	gdp_mod_farming
wh_dlc07_effect_economy_gdp_mod_industrialization	gdp_mod_farming
wh_dlc07_effect_economy_gdp_mod_industry	gdp_mod_manufacture
wh_dlc07_effect_economy_gdp_mod_yield_of_the_sea	gdp_mod_sea_trade
wh_dlc07_effect_economy_gdp_trade_sea_brt	gdp_sea_trade
wh_main_effect_agent_action_outcome_parent_army_ap	mod_land_movement_campaign
wh_main_effect_agent_action_outcome_parent_army_xp_gain_factionwide	unit_xp_mod_training
wh_main_effect_agent_action_outcome_parent_army_xp_gain	unit_xp_mod_training
wh_main_effect_agent_action_outcome_target_army_ap	general_start_of_turn_action_point_penalty
wh_main_effect_agent_action_outcome_target_army_replenishment_increase	replenishment_percentage_bonus
wh_main_effect_agent_field_line_of_sight_mod	line_of_sight_extension
wh_main_effect_agent_movement_range_mod	general_admiral_action_point_bonus
wh_main_effect_ambush_defence_success_chance_kholek	ambush_chance_of_success_defence_bonus
wh_main_effect_animosity_military_force_morale_modifier_animosity	military_force_morale_modifier_animosity
wh_main_effect_blackark_growth_core	military_force_development_growth_core
wh_main_effect_blackark_growth_tech	military_force_development_growth_tech
wh_main_effect_building_construction_cost_mod	building_conversion_cost_mod
wh_main_effect_building_construction_cost_mod	building_cost_mod
wh_main_effect_building_road	roads
wh_main_effect_building_trade_route_sea_hidden	trade_route_cap_sea
wh_main_effect_character_campaign_spotting_chance	passive_detection
wh_main_effect_character_line_of_sight_mod_hidden	line_of_sight_extension
wh_main_effect_character_mod_ancillary_drop	post_battle_ancillary_drop_chance_mod
wh_main_effect_character_mod_ancillary_steal	post_battle_ancillary_steal_chance_mod
wh_main_effect_character_passive_religious_conversion	agent_religion_conversion
wh_main_effect_character_stat_enable_magic_attacks_hidden	unit_is_magical
wh_main_effect_character_stat_enable_magic_attacks	unit_is_magical
wh_main_effect_character_stat_mod_unit_health	general_bodyguard_size_mod
wh_main_effect_character_wound_recovery_time_mod	recuperation_time_mod
wh_main_effect_commandment_dwarfs_empower_the_guilds_growth_base	province_development_growth_added_province
wh_main_effect_commandment_dwarfs_high_kings_tribute_tax_base	tax_bonus_building
wh_main_effect_commandment_dwarfs_steel_and_stone_recruitment_cost_base	recruitment_mod_cost_land_all
wh_main_effect_commandment_dwarfs_steel_and_stone_recruitment_cost_base	recruitment_mod_cost_naval_all
wh_main_effect_conquest_enable_night_battles	can_fight_night_battles
wh_main_effect_conquest_enable_night_battles	can_fight_night_battles_naval
wh_main_effect_conquest_resistance_to_occupation_mod	region_resistance_modifier
wh_main_effect_defence_tower_level_hidden	autoresolver_tower_level
wh_main_effect_economy_gdp_agriculture_animal_husbandry	gdp_animal_husbandry
wh_main_effect_economy_gdp_agriculture_farming	gdp_farming
wh_main_effect_economy_gdp_culture	gdp_entertainment
wh_main_effect_economy_gdp_industry	gdp_manufacture
wh_main_effect_economy_gdp_learning	gdp_learning
wh_main_effect_economy_gdp_manufacture	gdp_manufacture
wh_main_effect_economy_gdp_mining	gdp_mining
wh_main_effect_economy_gdp_mod_all_adjacent_provinces	gdp_mod_all
wh_main_effect_economy_gdp_mod_all_enemy	gdp_mod_all
wh_main_effect_economy_gdp_mod_all	gdp_mod_all
wh_main_effect_economy_gdp_mod_subsistence	gdp_mod_subsistence
wh_main_effect_economy_gdp_mod_trade_sea	gdp_mod_sea_trade
wh_main_effect_economy_gdp_other	gdp_other
wh_main_effect_economy_gdp_subsistance	gdp_subsistence
wh_main_effect_economy_gdp_trade_land	gdp_land_trade
wh_main_effect_economy_gdp_trade_local	gdp_local_trade
wh_main_effect_economy_gdp_trade_sea	gdp_sea_trade
wh_main_effect_economy_tax_mod	tax_bonus_technology
wh_main_effect_economy_trade_good_commodity_mod	resource_production_mod
wh_main_effect_economy_trade_tariff_mod	trade_income_mod
wh_main_effect_faction_mercenary_levy_can_recruit_from_local_hordes	mercenary_levy_can_recruit_from_local_hordes
wh_main_effect_faction_mercenary_levy_units_per_region_mod	mercenary_levy_units_per_region_mod
wh_main_effect_force_all_campaign_captives	captives_taken_mod
wh_main_effect_force_all_campaign_loot_income	looting_mod
wh_main_effect_force_all_campaign_military_morale_factor_fortify_stance	military_force_morale_modifier_fortify_stance
wh_main_effect_force_all_campaign_military_morale_factor_politics	military_force_morale_modifier_politics
wh_main_effect_force_all_campaign_military_morale_factor_tax	military_force_morale_modifier_tax
wh_main_effect_force_all_campaign_movement_range	mod_land_movement_campaign
wh_main_effect_force_all_campaign_movement_range	mod_ship_movement_campaign
wh_main_effect_force_all_campaign_post_battle_loot_mod_hidden	post_battle_loot_mod
wh_main_effect_force_all_campaign_post_battle_loot_mod	post_battle_loot_mod
wh_main_effect_force_all_campaign_raid_income	raid_income_mod
wh_main_effect_force_all_campaign_razing_income	razing_mod
wh_main_effect_force_all_campaign_recruitment_cost_all_not_shown	recruitment_mod_cost_land_all
wh_main_effect_force_all_campaign_recruitment_cost_all_not_shown	recruitment_mod_cost_naval_all
wh_main_effect_force_all_campaign_recruitment_cost_all	recruitment_mod_cost_land_all
wh_main_effect_force_all_campaign_recruitment_cost_all	recruitment_mod_cost_naval_all
wh_main_effect_force_all_campaign_reinforcement_range	reinforcement_radius_bonus
wh_main_effect_force_all_campaign_replenishment_rate	replenishment_percentage_bonus
wh_main_effect_force_all_campaign_sacking_income	sacking_mod
wh_main_effect_force_all_campaign_stance_ap_cost	stance_ap_cost_refundable_on_off
wh_main_effect_force_all_campaign_stance_ap_cost	stance_ap_percentage_cost
wh_main_effect_force_all_recruitment_points	recruitment_points
wh_main_effect_force_army_battle_charge_bonus	charge_bonus_for_land_units
wh_main_effect_force_army_battle_enemy_unit_morale	morale
wh_main_effect_force_army_campaign_ambush_attack_success_chance	ambush_chance_of_success_attack_bonus
wh_main_effect_force_army_campaign_ambush_defence_success_chance_hidden	ambush_chance_of_success_defence_bonus
wh_main_effect_force_army_campaign_ambush_defence_success_chance	ambush_chance_of_success_defence_bonus
wh_main_effect_force_army_campaign_local_happiness_repression	province_public_order_happiness_military_activity_factor
wh_main_effect_force_army_campaign_military_morale_add_enemy_territory	military_force_morale_modifier_foreign_territory
wh_main_effect_force_army_campaign_movement_range	mod_land_movement_campaign
wh_main_effect_force_army_campaign_recruitment_cost_land	recruitment_mod_cost_land_all
wh_main_effect_force_army_campaign_recruitment_points	recruitment_points
wh_main_effect_force_army_campaign_siege_attack_holdout_time	siege_time_reduction_for_attacker
wh_main_effect_force_army_campaign_siege_defend_holdout_time_hidden	siege_time_mod
wh_main_effect_force_army_campaign_siege_defend_holdout_time	siege_time_mod
wh_main_effect_force_army_campaign_tunnelling_evasion_chance	tunnel_interception_evasion_chance
wh_main_effect_force_building_cost_mod	military_force_building_cost_mod
wh_main_effect_force_campaign_morale_neighbouring_wars	morale_bonus_for_concurrent_wars
wh_main_effect_force_campaign_stance_begin_fatigued_3_winded	unit_starting_fatigue_state
wh_main_effect_force_campaign_stance_begin_fatigued_4_tired	unit_starting_fatigue_state
wh_main_effect_force_navy_campaign_local_piracy	region_gdp_trade_piracy_effect_mod
wh_main_effect_force_navy_campaign_movement_range	mod_ship_movement_campaign
wh_main_effect_force_unit_stat_ammunition	ammo_mod
wh_main_effect_force_unit_stat_armour	armour_mod
