effect_bonus_value_battle_context_junctions_tables
0
battle_context_key	bonus_value_id	effect_key
fighting_culture_darkelf	morale	wh2_main_effect_bonus_morale_fighting_against_def
fighting_culture_wood_elves	unit_flaming_attack_mod	wh2_main_effect_character_stat_enable_flaming_attacks_versus_woodelves
fighting_culture_dwarfs	melee_damage_ap_mod_add	wh2_main_effect_character_stat_mod_ap_damage_versus_dwarfs
fighting_culture_dwarfs_greenskins	melee_attack_mod	wh2_main_effect_character_stat_mod_melee_attack_versus_dwarfs_greenskins
fighting_culture_beastmen	melee_damage_ap_mod_mult	wh2_main_effect_character_stat_mod_melee_damage_versus_beastmen
fighting_culture_beastmen	melee_damage_mod_mult	wh2_main_effect_character_stat_mod_melee_damage_versus_beastmen
fighting_culture_chaos	melee_damage_ap_mod_mult	wh2_main_effect_character_stat_mod_melee_damage_versus_chaos_norsca
fighting_culture_chaos	melee_damage_mod_mult	wh2_main_effect_character_stat_mod_melee_damage_versus_chaos_norsca
fighting_culture_darkelf	melee_damage_ap_mod_mult	wh2_main_effect_character_stat_mod_melee_damage_versus_dark_elves
fighting_culture_darkelf	melee_damage_mod_mult	wh2_main_effect_character_stat_mod_melee_damage_versus_dark_elves
fighting_culture_dwarfs_greenskins	melee_damage_ap_mod_mult	wh2_main_effect_character_stat_mod_melee_damage_versus_dwarfs_greenskins
fighting_culture_dwarfs_greenskins	melee_damage_mod_mult	wh2_main_effect_character_stat_mod_melee_damage_versus_dwarfs_greenskins
fighting_culture_dwarfs	melee_damage_ap_mod_mult	wh2_main_effect_character_stat_mod_melee_damage_versus_dwarfs
fighting_culture_dwarfs	melee_damage_mod_mult	wh2_main_effect_character_stat_mod_melee_damage_versus_dwarfs
fighting_culture_forces_of_destruction	melee_damage_ap_mod_mult	wh2_main_effect_character_stat_mod_melee_damage_versus_forces_of_destruction
fighting_culture_forces_of_destruction	melee_damage_mod_mult	wh2_main_effect_character_stat_mod_melee_damage_versus_forces_of_destruction
fighting_culture_forces_of_order	melee_damage_ap_mod_mult	wh2_main_effect_character_stat_mod_melee_damage_versus_forces_of_order
fighting_culture_forces_of_order	melee_damage_mod_mult	wh2_main_effect_character_stat_mod_melee_damage_versus_forces_of_order
fighting_culture_highelf	melee_damage_ap_mod_mult	wh2_main_effect_character_stat_mod_melee_damage_versus_high_elves
fighting_culture_highelf	melee_damage_mod_mult	wh2_main_effect_character_stat_mod_melee_damage_versus_high_elves
fighting_culture_empire_and_bretonnia	melee_damage_ap_mod_mult	wh2_main_effect_character_stat_mod_melee_damage_versus_humans
fighting_culture_empire_and_bretonnia	melee_damage_mod_mult	wh2_main_effect_character_stat_mod_melee_damage_versus_humans
fighting_culture_lizardmen	melee_damage_ap_mod_mult	wh2_main_effect_character_stat_mod_melee_damage_versus_lizardmen
fighting_culture_lizardmen	melee_damage_mod_mult	wh2_main_effect_character_stat_mod_melee_damage_versus_lizardmen
fighting_culture_skaven	melee_damage_ap_mod_mult	wh2_main_effect_character_stat_mod_melee_damage_versus_skaven
fighting_culture_skaven	melee_damage_mod_mult	wh2_main_effect_character_stat_mod_melee_damage_versus_skaven
fighting_culture_vampire_counts	melee_damage_ap_mod_mult	wh2_main_effect_character_stat_mod_melee_damage_versus_vampire_counts
fighting_culture_vampire_counts	melee_damage_mod_mult	wh2_main_effect_character_stat_mod_melee_damage_versus_vampire_counts
fighting_force_status_yours_besieging	morale	wh2_main_effect_force_army_battle_unit_morale_siege_attack_bad
fighting_ground_type_sea	melee_attack_mod	wh2_main_effect_force_navy_melee_attack
fighting_ground_type_sea	morale	wh2_main_effect_force_navy_morale
fighting_culture_darkelf	melee_attack_mod	wh2_main_effect_force_unit_stat_melee_attack_versus_dark_elves
fighting_culture_dwarfs	melee_attack_mod	wh2_main_effect_force_unit_stat_melee_attack_versus_dwarfs
fighting_culture_empire_and_bretonnia	melee_attack_mod	wh2_main_effect_force_unit_stat_melee_attack_versus_empire
fighting_culture_skaven	melee_attack_mod	wh2_main_effect_force_unit_stat_melee_attack_versus_skaven
fighting_culture_vampire_counts	melee_attack_mod	wh2_main_effect_force_unit_stat_melee_attack_versus_undead
fighting_culture_highelf	melee_attack_mod	wh2_main_effect_force_unit_stat_morale_melee_attack_versus_high_elves
fighting_culture_darkelf	melee_defence_mod	wh2_main_effect_force_unit_stat_morale_melee_defense_versus_dark_elves
fighting_culture_darkelf	morale	wh2_main_effect_force_unit_stat_morale_versus_dark_elves
fighting_culture_highelf	morale	wh2_main_effect_force_unit_stat_morale_versus_high_elves
