effect_bonus_value_unit_set_unit_ability_junctions_tables
0
effect	bonus_value_id	unit_set_ability
enable	wh2_main_effect_ability_enable_garrison_heroes	wh2_main_def_cha_sorceress_dark_0_garrison_1
enable	wh2_main_effect_ability_enable_garrison_heroes	wh2_main_def_cha_sorceress_dark_0_garrison_2
enable	wh2_main_effect_ability_enable_garrison_heroes	wh2_main_hef_cha_mage_high_0_garrison_1
enable	wh2_main_effect_ability_enable_garrison_heroes	wh2_main_hef_cha_mage_high_0_garrison_2
enable	wh2_main_effect_ability_enable_garrison_heroes	wh2_main_lzd_cha_skink_priest_beasts_0_garrison_1
enable	wh2_main_effect_ability_enable_garrison_heroes	wh2_main_lzd_cha_skink_priest_beasts_0_garrison_2
enable	wh2_main_effect_ability_enable_garrison_heroes	wh2_main_skv_cha_plague_priest_0_garrison_1
enable	wh2_main_effect_ability_enable_garrison_heroes	wh2_main_skv_cha_plague_priest_0_garrison_2
enable	wh2_main_effect_ability_enable_garrison_heroes	wh2_main_skv_cha_warlock_engineer_garrison_1
enable	wh2_main_effect_ability_enable_garrison_heroes	wh_dlc05_wef_cha_spellsinger_life_0_garrison_1
enable	wh2_main_effect_ability_enable_garrison_heroes	wh_dlc05_wef_cha_spellsinger_life_0_garrison_2
enable	wh2_main_effect_ability_enable_garrison_heroes	wh_main_brt_cha_damsel_0_garrison_1
enable	wh2_main_effect_ability_enable_garrison_heroes	wh_main_brt_cha_damsel_0_garrison_2
enable	wh2_main_effect_ability_enable_garrison_heroes	wh_main_emp_cha_wizard_fire_0_garrison_1
enable	wh2_main_effect_ability_enable_garrison_heroes	wh_main_emp_cha_wizard_fire_0_garrison_2
enable	wh2_main_effect_ability_enable_garrison_heroes	wh_main_grn_cha_orc_shaman_0_garrison_1
enable	wh2_main_effect_ability_enable_garrison_heroes	wh_main_grn_cha_orc_shaman_0_garrison_2
enable	wh2_main_effect_ability_enable_garrison_heroes	wh_main_vmp_cha_necromancer_0_garrison_1
enable	wh2_main_effect_ability_enable_garrison_heroes	wh_main_vmp_cha_necromancer_0_garrison_2
enable	wh2_main_effect_ability_enable_garrison_heroes	wh_main_vmp_cha_vampire_0_garrison_1
