effect_bundles_tables
1
key	localised_description	localised_title	ui_icon	bundle_target
wh2_main_bundle_agent_action_assist_army_cannot_fail_increase_mobility_target	This army has an embedded [[img:icon_hero]][[/img]]Hero.	{{tr:agent_action_name_increase_mobility}}	campaign_movement.png	force
wh2_main_bundle_agent_action_assist_army_cannot_fail_replenish_troops_target	This army has an embedded [[img:icon_hero]][[/img]]Hero.	{{tr:agent_action_name_replenish_troops}}	replenishment.png	force
wh2_main_bundle_agent_action_assist_army_cannot_fail_scavenge_target	This army has an embedded [[img:icon_hero]][[/img]]Hero.	{{tr:agent_action_name_scavenge}}	income.png	force
wh2_main_bundle_agent_action_assist_army_cannot_fail_scouting_target	This army has an embedded [[img:icon_hero]][[/img]]Hero.	{{tr:agent_action_name_scouting}}	item_ability.png	force
wh2_main_bundle_agent_action_assist_army_cannot_fail_training_target	This army has an embedded [[img:icon_hero]][[/img]]Hero.	{{tr:agent_action_name_training}}	experience.png	force
wh2_main_bundle_agent_action_hinder_settlement_success_gain_influence_actor	[HIDDEN]	[HIDDEN]	 	character
wh2_main_bundle_agent_action_hinder_settlement_success_steal_technology_actor	This [[img:icon_hero]][[/img]]Hero has stolen technology from a foreign settlement.	{{tr:agent_action_name_steal_technology}}	technology.png	character
wh2_main_bundle_agent_action_hinder_settlement_success_steal_technology_target	This settlement has had technology stolen by a foreign [[img:icon_hero]][[/img]]Hero.	{{tr:agent_action_name_steal_technology}}	technology.png	region
wh2_main_bundle_agent_action_passive_cannot_fail_boost_income_actor	[HIDDEN]	[HIDDEN]	 	character
wh2_main_bundle_agent_action_passive_cannot_fail_increase_slave_income_actor	[HIDDEN]	[HIDDEN]	 	character
wh2_main_bundle_agent_action_passive_cannot_fail_increase_trade_actor	[HIDDEN]	[HIDDEN]	 	character
wh2_main_bundle_agent_action_passive_cannot_fail_spread_corruption	[HIDDEN]	[HIDDEN]	 	character
wh2_main_bundle_agent_action_passive_cannot_fail_spread_public_order_actor	[HIDDEN]	[HIDDEN]	 	character
wh2_main_bundle_agent_action_passive_cannot_fail_stimulate_growth	[HIDDEN]	[HIDDEN]	 	character
wh2_main_bundle_captives_kill_dark_elves	The recent murder of captives was a pleasing and instructive entertainment for this force.	Murdered Captives	experience.png	force
wh2_main_bundle_captives_kill_high_elves	The recent execution of captives has further tempered this force for war.	Executed Captives	experience.png	force
wh2_main_bundle_captives_kill_lizardmen	The recent killing of captives has left this force more capable of fulfilling the Old Ones' plan.	Killed Captives	experience.png	force
wh2_main_bundle_captives_kill_lizardmen_to_skaven	Sacrificing these vermin has pleased the Serpent God, improving the warriors' fervour for battle.	Sacrifice to Sotek	experience.png	force
wh2_main_bundle_captives_kill_skaven	Forcing the captives into slavery has improved this army's fervour.	Enslave	morale.png	force
wh2_main_bundle_captives_release_dark_elves	Men are reluctant to join the ranks of this army.	Ransomed Captives	replenishment.png	force
wh2_main_bundle_captives_release_high_elves	Men are reluctant to join the ranks of this army.	Ransomed Captives	replenishment.png	force
wh2_main_bundle_captives_release_lizardmen	This army is struggling after giving up a source of fresh flesh.	Released Captives	replenishment.png	force
wh2_main_bundle_captives_release_skaven	This army is struggling after giving up a source of fresh flesh.	Ransomed Captives	replenishment.png	force
wh2_main_bundle_character_weapon_strength_up	Power is power - hunger, on the other hand, is fleeting.	Accept his offer	weapon_damage.png	character
wh2_main_bundle_confederation_def	The sudden expansion of territory has caused instability throughout the land.	Confederation	confederation.png	faction
wh2_main_bundle_confederation_hef	The sudden expansion of territory has caused instability throughout the land.	Confederation	confederation.png	faction
wh2_main_bundle_confederation_lzd	The sudden expansion of territory has caused instability throughout the land.	Confederation	confederation.png	faction
wh2_main_bundle_confederation_skv	The sudden expansion of territory has caused instability throughout the land.	Confederation	confederation.png	faction
wh2_main_bundle_faction_elven_espionage	Your trade agreements have allowed for spying.	Elven Espionage	subterfuge.png	faction
wh2_main_bundle_final_battle_army_abilities	 	 	 	force
wh2_main_bundle_force_siege_equipment_def	[HIDDEN] Adds DARK ELF siege equipment	[HIDDEN]	 	force
wh2_main_bundle_force_siege_equipment_hef	[HIDDEN] Adds HIGH ELF siege equipment	[HIDDEN]	 	force
wh2_main_bundle_force_siege_equipment_lzd	[HIDDEN] Adds LIZARDMEN siege equipment	[HIDDEN]	 	force
wh2_main_bundle_force_siege_equipment_skv	[HIDDEN] Adds SKAVEN siege equipment	[HIDDEN]	 	force
wh2_main_bundle_greenskin_animosity_bonus	 	 	 	faction
wh2_main_bundle_laying_siege_menace_below_corruption_bonus_1	 	The Menace Below	religion_skaven.png	force
wh2_main_bundle_laying_siege_menace_below_corruption_bonus_2	 	The Menace Below	religion_skaven.png	force
wh2_main_bundle_laying_siege_menace_below_corruption_bonus_3	 	The Menace Below	religion_skaven.png	force
wh2_main_bundle_magic_standard_banner_of_ellyrion	 	Banner of Ellyrion	public_order.png	character
wh2_main_bundle_magic_standard_banner_of_murder	 	Banner of Murder	public_order.png	character
wh2_main_bundle_magic_standard_banner_of_the_under_empire	 	Banner of the Under-Empire	public_order.png	character
wh2_main_bundle_magic_standard_banner_of_the_world_dragon	 	Banner of the World Dragon	public_order.png	character
wh2_main_bundle_magic_standard_banner_of_verminous_scurrying	 	Banner of Verminous Scurrying	public_order.png	character
wh2_main_bundle_magic_standard_battle_banner	 	Battle Banner	public_order.png	character
wh2_main_bundle_magic_standard_dread_banner	 	Dread Banner	public_order.png	character
wh2_main_bundle_magic_standard_dwarf_hide_banner	 	Dwarf-Hide Banner	public_order.png	character
wh2_main_bundle_magic_standard_grand_banner_of_clan_superiority	 	Grand Banner of Clan Superiority	public_order.png	character
wh2_main_bundle_magic_standard_horn_of_isha	 	Horn of Isha	public_order.png	character
wh2_main_bundle_magic_standard_huanchis_blessed_totem	 	Huanchi's Blessed Totem	public_order.png	character
wh2_main_bundle_magic_standard_hydra_banner	 	Hydra Banner	public_order.png	character
wh2_main_bundle_magic_standard_lion_standard	 	Lion Standard	public_order.png	character
wh2_main_bundle_magic_standard_sacred_banner_of_the_horned_rat	 	Sacred Banner of the Horned Rat	public_order.png	character
wh2_main_bundle_magic_standard_sea_serpent_standard	 	Sea Serpent Standard	public_order.png	character
wh2_main_bundle_magic_standard_shroud_of_dripping_death	 	Shroud of Dripping Death	public_order.png	character
wh2_main_bundle_magic_standard_skavenpelt_banner	 	Skavenpelt Banner	public_order.png	character
wh2_main_bundle_magic_standard_standard_of_hag_graef	 	Standard of Hag Graef	public_order.png	character
wh2_main_bundle_magic_standard_storm_banner	 	Storm Banner	public_order.png	character
wh2_main_bundle_magic_standard_sun_standard_of_chotec	 	Sun Standard of Chotec	public_order.png	character
wh2_main_bundle_magic_standard_sunburst_standard_of_hexoatl	 	Sunburst Standard of Hexoatl	public_order.png	character
wh2_main_bundle_magic_standard_the_blood_banner	 	The Blood Banner	public_order.png	character
wh2_main_bundle_magic_standard_the_jaguar_standard	 	The Jaguar Standard	public_order.png	character
wh2_main_bundle_magic_standard_totem_of_prophecy	 	Totem of Prophecy	public_order.png	character
wh2_main_bundle_military_movement_range_positive	[HIDDEN]	[HIDDEN]	campaign_movement_positive.png	force
wh2_main_bundle_military_upkeep_free_force_chaos_corruption	[HIDDEN]	[HIDDEN]	 	force
wh2_main_bundle_mpc_vortex_ritual_cost	[HIDDEN] Vortex ritual costs are doubled in MPC	 	 	faction
wh2_main_bundle_plague_skaven_all	This settlement has been infected with a [[img:icon_plague]][[/img]]plague. It may spread to neighbouring settlements or local armies.	Plague	plague.png	region
wh2_main_bundle_plague_skaven_all_force	This force has been infected with a [[img:icon_plague]][[/img]]plague. It may spread to nearby settlements or armies.	Plague	plague.png	force
wh2_main_bundle_plague_skaven_skv	This settlement has been infected with a [[img:icon_plague]][[/img]]plague. It may spread to neighbouring settlements or local armies.	Plague	plague.png	region
wh2_main_bundle_plague_skaven_skv_force	This force has been infected with a [[img:icon_plague]][[/img]]plague. It may spread to nearby settlements or armies.	Plague	plague.png	force
wh2_main_bundle_pre_battle_purchase_menace_below_0	 	The Menace Below	 	force
wh2_main_bundle_pre_battle_purchase_menace_below_1	 	The Menace Below	 	force
wh2_main_bundle_pre_battle_purchase_menace_below_2	 	The Menace Below	 	force
wh2_main_bundle_pre_battle_purchase_menace_below_3	 	The Menace Below	 	force
wh2_main_bundle_pre_battle_purchase_menace_below_4	 	The Menace Below	 	force
wh2_main_bundle_pre_battle_purchase_menace_below_5	 	The Menace Below	 	force
wh2_main_bundle_quest_battle_feral_cold_ones	 	 	 	force
wh2_main_bundle_scripted_prevent_ambush	[HIDDEN] effect bundle prevents this force from being ambushed	[HIDDEN] scripted effect	 	force
wh2_main_bundle_stance_army_astromancy	Increases this army's vision and defence, allowing for Vanguard Deployment in battle.	Stance: Astromancy	astromancy.png	force
wh2_main_bundle_stance_army_channelling_hef	Increases the favourability of the Winds of Magic when fighting battles and enhances the effectiveness of spellcasters.	Stance: Lileath's Blessing	lileaths_blessing.png	force
wh2_main_bundle_stance_army_stalking	Conceals the army whilst moving, allowing it to ambush enemies along the way.	Stance: Stalking	stalking.png	force
wh2_main_bundle_stance_black_ark_patrol	Allows the Black Ark to construct buildings and recruit units directly to the vessel.	Stance: Dread Expansion	icon_effects_patrol.png	force
wh2_main_bundle_stance_navy_double_time_hef	Increases this fleet's campaign map navigation range and line of sight.	Stance: Flank Speed	icon_effects_double_time.png	force
wh2_main_climate_suitable	The climate in this region is suitable for your faction. There are no penalties for occupying this settlement.	Suitable Climate	 	region
wh2_main_climate_uninhabitable	The climate in this region is uninhabitable for your faction. All construction and recruitment times are increased and income, replenishment, growth and public order are reduced severely.	Uninhabitable Climate	climate_uninhabitable.png	region
wh2_main_climate_unsuitable	The climate in this region is harsh and unpleasant for your faction. Construction times of settlements are increased and income, replenishment and public order are lowered.	Unpleasant Climate	climate_unpleasant.png	region
wh2_main_dilemma_loyalty_def_sorceror_delinquent_payload	There is power to be had and, by the gods, you shall have it!	The Sorcerer Delinquent	skaven_food.png	faction
wh2_main_dilemma_loyalty_positive_def_audience_4	As a test of loyalty, force this Lord to turn in any deviant that has as much as whispered a word in criticism of your rule... starting with some family members!	Root out some rebels!	public_order.png	faction
wh2_main_dilemma_loyalty_positive_def_black_council_1	You will never reclaim what is rightfully yours with so few troops! Tell the Lords to draft anyone capable of bearing arms immediately, on pain of death!	Bolster the military	military_spending.png	faction
wh2_main_dilemma_loyalty_positive_def_black_council_2	Seize the best architects and craftsmen, and confiscate private stocks of building materials! Your cities must grow!	Demand improvements!	construction.png	faction
wh2_main_dilemma_loyalty_positive_def_black_council_3	Production must increase, and for that we need slaves! Each Lord is expected to deliver their due.	Set slave quotas	treasury.png	faction
wh2_main_dilemma_loyalty_positive_def_black_council_4	Perhaps offer a carrot instead of using the stick? Offer a rare bit of praise to one of your Lords, so that he may lead by example.	Reward the loyal Lord	public_order.png	faction
wh2_main_dilemma_loyalty_positive_def_curse_of_kurnous_2	Kurnous is not worshipped here! Have the forest burned along with the estate… and its Lord!	Heretic!	charge.png	faction
wh2_main_dilemma_loyalty_positive_def_curse_of_kurnous_3	Release some slaves! He who returns the most heads shall have a reward!	Organise a hunt	public_order.png	faction
wh2_main_dilemma_loyalty_positive_def_insurgents_2	They shall suffer annihilation and you will reap the benefits!	Send their souls to the Dark Prince!	religion_chaos.png	faction
wh2_main_dilemma_loyalty_positive_def_insurgents_3	Let the streets run red with their blood. Khaine will be pleased this day!	Sacrifice to Khaine!	religion.png	faction
wh2_main_dilemma_loyalty_positive_def_relic_2	Send a messenger granting a pardon but ensure he also mentions that the annual tribute will be double from now on.	Let them keep it	growth.png	faction
wh2_main_dilemma_loyalty_positive_def_statue_1	Melt it down to produce something useful. Hukon is not worshipped here.	Topple the statue!	public_order.png	faction
wh2_main_dilemma_loyalty_positive_def_statue_3	What a great opportunity to provide suitable praise to Hukon? Have the Lord tied to the statue and publicly flogged!	Hukon be praised!	charge.png	faction
wh2_main_dilemma_loyalty_positive_def_traitors_1	Your wrath will be as merciless as it is bloody! Summon the troops and the populace to the central square. They shall have a spectacle they will not soon forget!	Torture them to death!	public_order.png	faction
wh2_main_dilemma_loyalty_positive_def_tribute_3	This Lord has got it right! Why aren't the others making similar contributions to the treasury?	Raise everyone else's taxes	treasury.png	faction
wh2_main_dilemma_loyalty_positive_def_wrongly_accused_2	They are all guilty of wasting your time, so all of them shall face your wrath! Unless each pays their weight paid in gold… before the sun sets!	Punish everyone!	loyalty.png	faction
wh2_main_dilemma_loyalty_positive_def_wrongly_accused_4	Politics are boring and this farce of a trial isn't even remotely amusing. This case is dismissed, let's have a feast instead!	Call for a feast	public_order.png	faction
wh2_main_dilemma_loyalty_positive_skv_dust_it_off_3	Get some Skavenslaves to purge-clean this mess now! Further experiments are forbidden-banned from now on!	Forbid further experiments	religion.png	faction
wh2_main_dilemma_loyalty_positive_skv_keg_of_doom_3	We can use this powder to quickly expand our tunnels, yes-yes!	Expand tunnels	growth.png	faction
wh2_main_dilemma_loyalty_positive_skv_loyal_mine_mine_2	If the lesser-thralls wish to fight over such petty trinkets then let them. However, in reparation, it is only expected that tribute to you is increased.	Let them fight over it	treasury.png	faction
wh2_main_dilemma_loyalty_positive_skv_loyal_musk_1	He must be hiding something! Take his eye, so it makes remaining one look at you in awe, yes-yes!	Ensure loyalty... take eye!	loyalty.png	faction
wh2_main_dilemma_loyalty_positive_skv_loyal_musk_3	Test his loyalty-devotion, yes-yes! Have him slay his least-treacherous minion in front of you.	Slay underling	public_order.png	faction
wh2_main_dilemma_loyalty_positive_skv_noise_problem_2	Smash-kill-burn it! Skavendom is safe from this threat-menace now!	Destroy the Daemon!	public_order.png	faction
wh2_main_dilemma_loyalty_positive_skv_noise_problem_3	Our Warlock Engineers should pick it apart and find out how it works!	Investigate the box	technology.png	faction
wh2_main_dilemma_loyalty_positive_skv_shiny_scale_stuff_3	You can have the metal, yes-yes, but my Warlock Engineers will decipher the secrets!	Copy the symbols	technology.png	faction
wh2_main_dilemma_loyalty_positive_skv_test_of_loyalty_1	Place the Lord-subject in a device that shall pull his tail until he chitters, then we'll see just how loyal he is!	Tail-stretcher	icon_effects_ambush.png	faction
wh2_main_dilemma_loyalty_positive_skv_test_of_loyalty_2	Have Eshin follow this one, make it known that the watcher is always there and able to strike at any moment; this should ensure confession, yes-yes!	Eshin-stalker	agent.png	faction
