effect_bundles_to_effects_junctions_tables
2
effect_bundle_key	effect_key	effect_scope	value	advancement_stage
wh2_main_bundle_captives_kill_dark_elves	wh2_main_effect_captives_unit_xp	force_to_force_own	100	start_turn_completed
wh2_main_bundle_captives_kill_high_elves	wh2_main_effect_captives_unit_xp	force_to_force_own	100	start_turn_completed
wh2_main_bundle_captives_kill_lizardmen_to_skaven	wh2_main_effect_captives_unit_xp	force_to_force_own	100	start_turn_completed
wh2_main_bundle_captives_kill_lizardmen_to_skaven	wh_main_effect_force_unit_stat_morale	force_to_force_own	4	start_turn_completed
wh2_main_bundle_captives_kill_lizardmen	wh2_main_effect_captives_unit_xp	force_to_force_own	100	start_turn_completed
wh2_main_bundle_captives_kill_skaven	wh_main_effect_force_unit_stat_morale	force_to_force_own	4	start_turn_completed
wh2_main_bundle_captives_release_dark_elves	wh_main_effect_force_all_campaign_replenishment_rate	force_to_force_own	-5	start_turn_completed
wh2_main_bundle_captives_release_high_elves	wh_main_effect_force_all_campaign_replenishment_rate	force_to_force_own	-5	start_turn_completed
wh2_main_bundle_captives_release_lizardmen	wh_main_effect_force_all_campaign_replenishment_rate	force_to_force_own	-5	start_turn_completed
wh2_main_bundle_captives_release_skaven	wh_main_effect_force_all_campaign_replenishment_rate	force_to_force_own	-5	start_turn_completed
wh2_main_bundle_character_weapon_strength_up	wh2_main_effect_character_stat_mod_melee_damage_add	faction_to_force_own_unseen	20	start_turn_completed
wh2_main_bundle_confederation_def	wh2_main_faction_diplomacy_penalty_dark_elves_confederation	faction_to_faction_own_unseen	-40	start_turn_completed
wh2_main_bundle_confederation_def	wh_main_effect_faction_confederation_dummy	faction_to_faction_own_unseen	1	start_turn_completed
wh2_main_bundle_confederation_def	wh_main_effect_public_order_events	faction_to_province_own_unseen	-8	start_turn_completed
wh2_main_bundle_confederation_hef	wh2_main_faction_diplomacy_penalty_high_elves_confederation	faction_to_faction_own_unseen	-40	start_turn_completed
wh2_main_bundle_confederation_hef	wh_main_effect_faction_confederation_dummy	faction_to_faction_own_unseen	1	start_turn_completed
wh2_main_bundle_confederation_hef	wh_main_effect_public_order_events	faction_to_province_own_unseen	-8	start_turn_completed
wh2_main_bundle_confederation_lzd	wh2_main_faction_diplomacy_penalty_lizardmen_confederation	faction_to_faction_own_unseen	-40	start_turn_completed
wh2_main_bundle_confederation_lzd	wh_main_effect_faction_confederation_dummy	faction_to_faction_own_unseen	1	start_turn_completed
wh2_main_bundle_confederation_lzd	wh_main_effect_public_order_events	faction_to_province_own_unseen	-8	start_turn_completed
wh2_main_bundle_confederation_skv	wh2_main_faction_diplomacy_penalty_skaven_confederation	faction_to_faction_own_unseen	-40	start_turn_completed
wh2_main_bundle_confederation_skv	wh_main_effect_faction_confederation_dummy	faction_to_faction_own_unseen	1	start_turn_completed
wh2_main_bundle_confederation_skv	wh_main_effect_public_order_events	faction_to_province_own_unseen	-8	start_turn_completed
wh2_main_bundle_faction_elven_espionage	wh2_main_effect_faction_elven_espionage	faction_to_faction_own_unseen	1	start_turn_completed
